t,x,y
0.000000E0,-9.472731E-2,-3.978934E-2
3.484133E-2,-9.404870E-2,-3.917532E-2
6.968266E-2,-9.221446E-2,-3.877325E-2
1.045240E-1,-9.053878E-2,-3.638714E-2
1.393653E-1,-8.961134E-2,-3.470076E-2
1.742066E-1,-8.930422E-2,-3.488763E-2
2.090480E-1,-8.915902E-2,-3.605436E-2
2.438893E-1,-8.915128E-2,-3.658531E-2
2.787306E-1,-8.308189E-2,-4.166836E-2
3.135720E-1,-6.678555E-2,-5.101012E-2
3.484133E-1,-6.252211E-2,-5.419978E-2
3.832546E-1,-6.290561E-2,-5.475146E-2
4.180959E-1,-5.682863E-2,-5.661045E-2
4.529373E-1,-4.193563E-2,-5.847934E-2
4.877786E-1,-4.547813E-2,-5.930585E-2
5.226199E-1,-4.020718E-2,-5.922030E-2
5.574612E-1,-2.908715E-2,-5.976294E-2
5.923026E-1,-2.927964E-2,-6.153473E-2
6.271439E-1,-3.728632E-2,-6.366565E-2
6.619852E-1,-4.072501E-2,-6.491158E-2
6.968266E-1,-4.118394E-2,-6.613004E-2
7.316679E-1,-4.168792E-2,-6.699285E-2
7.665092E-1,-4.327290E-2,-6.857025E-2
8.013505E-1,-4.350590E-2,-7.041098E-2
8.361919E-1,-4.445637E-2,-7.184061E-2
8.710332E-1,-4.568346E-2,-7.392453E-2
9.058745E-1,-4.929268E-2,-7.777463E-2
9.407159E-1,-5.381763E-2,-7.687783E-2
9.755572E-1,-5.977129E-2,-7.601756E-2
1.010399E0,-6.916099E-2,-7.466061E-2
1.045240E0,-7.134151E-2,-7.421798E-2
1.080081E0,-8.012660E-2,-7.135170E-2
1.114922E0,-8.442109E-2,-6.911882E-2
1.149764E0,-8.858516E-2,-6.741740E-2
1.184605E0,-9.061891E-2,-6.626457E-2
1.219446E0,-1.015796E-1,-5.915839E-2
1.254288E0,-1.006720E-1,-6.015327E-2
1.289129E0,-1.017604E-1,-5.892920E-2
1.323970E0,-1.062548E-1,-5.560559E-2
1.358812E0,-1.045424E-1,-5.627950E-2
1.393653E0,-1.008684E-1,-5.139131E-2
1.428494E0,-1.007630E-1,-4.684469E-2
1.463336E0,-9.970636E-2,-4.515406E-2
1.498177E0,-9.689621E-2,-4.409791E-2
1.533018E0,-9.737305E-2,-4.341014E-2
1.567860E0,-9.477130E-2,-4.134162E-2
1.602701E0,-9.431769E-2,-3.963334E-2
1.637542E0,-9.330649E-2,-3.907240E-2
1.672384E0,-9.201004E-2,-3.807931E-2
1.707225E0,-9.036064E-2,-3.582876E-2
1.742066E0,-8.943062E-2,-3.481219E-2
1.776908E0,-8.943664E-2,-3.523179E-2
1.811749E0,-8.900764E-2,-3.569155E-2
1.846590E0,-8.880751E-2,-3.609684E-2
1.881432E0,-8.320010E-2,-4.121149E-2
1.916273E0,-6.691843E-2,-5.060543E-2
1.951114E0,-6.251032E-2,-5.417650E-2
1.985956E0,-6.296054E-2,-5.485453E-2
2.020797E0,-5.702826E-2,-5.613870E-2
2.055638E0,-4.233577E-2,-5.837253E-2
2.090480E0,-4.472504E-2,-5.875138E-2
2.125321E0,-4.350572E-2,-5.852075E-2
2.160162E0,-4.351780E-2,-5.856334E-2
2.195004E0,-4.621245E-2,-6.048462E-2
2.229845E0,-4.708077E-2,-6.238040E-2
2.264686E0,-4.848103E-2,-6.400707E-2
2.299528E0,-4.821284E-2,-6.442528E-2
2.334369E0,-5.034879E-2,-6.612333E-2
2.369210E0,-5.047491E-2,-6.734293E-2
2.404052E0,-5.213531E-2,-6.933692E-2
2.438893E0,-5.287901E-2,-7.080915E-2
2.473734E0,-5.331025E-2,-7.202693E-2
2.508576E0,-5.462398E-2,-7.442099E-2
2.543417E0,-5.473958E-2,-7.560590E-2
2.578258E0,-5.526736E-2,-7.597547E-2
2.613100E0,-5.510234E-2,-7.593077E-2
2.647941E0,-5.530063E-2,-7.645085E-2
2.682782E0,-5.522555E-2,-7.664283E-2
2.717624E0,-5.525289E-2,-7.643593E-2
2.752465E0,-5.525062E-2,-7.652289E-2
2.787306E0,-5.539101E-2,-7.674379E-2
2.822148E0,-5.538192E-2,-7.667285E-2
2.856989E0,-5.540972E-2,-7.654687E-2
