micros,encoder
2904.00,	 1.0000000000
6172.00,	 16383.0000000000
9592.00,	 2.0000000000
12848.00,	 0.0000000000
16188.00,	 2.0000000000
19512.00,	 0.0000000000
22856.00,	 16383.0000000000
26328.00,	 3.0000000000
29648.00,	 16383.0000000000
33132.00,	 16383.0000000000
36604.00,	 3.0000000000
39924.00,	 1.0000000000
43244.00,	 2.0000000000
46552.00,	 16383.0000000000
50028.00,	 2.0000000000
53348.00,	 16383.0000000000
56824.00,	 0.0000000000
60164.00,	 0.0000000000
63516.00,	 16383.0000000000
66992.00,	 0.0000000000
70332.00,	 0.0000000000
73676.00,	 16383.0000000000
77164.00,	 16382.0000000000
80644.00,	 1.0000000000
83976.00,	 1.0000000000
87292.00,	 16383.0000000000
90780.00,	 16382.0000000000
94272.00,	 1.0000000000
97588.00,	 1.0000000000
100904.00,	 2.0000000000
104272.00,	 16383.0000000000
107808.00,	 1.0000000000
111180.00,	 0.0000000000
114584.00,	 16383.0000000000
118120.00,	 1.0000000000
121492.00,	 2.0000000000
124864.00,	 2.0000000000
128228.00,	 2.0000000000
131596.00,	 16383.0000000000
135104.00,	 16383.0000000000
138620.00,	 2.0000000000
141956.00,	 0.0000000000
145336.00,	 1.0000000000
148688.00,	 0.0000000000
152056.00,	 1.0000000000
155408.00,	 3.0000000000
158756.00,	 2.0000000000
162096.00,	 3.0000000000
165436.00,	 2.0000000000
168784.00,	 1.0000000000
172148.00,	 1.0000000000
175492.00,	 2.0000000000
178840.00,	 0.0000000000
182220.00,	 0.0000000000
185596.00,	 16382.0000000000
189100.00,	 0.0000000000
192476.00,	 2.0000000000
195820.00,	 1.0000000000
199164.00,	 1.0000000000
202516.00,	 2.0000000000
205868.00,	 0.0000000000
209236.00,	 0.0000000000
212612.00,	 2.0000000000
215956.00,	 0.0000000000
219340.00,	 1.0000000000
222680.00,	 0.0000000000
226060.00,	 1.0000000000
229412.00,	 16383.0000000000
232916.00,	 16382.0000000000
236428.00,	 1.0000000000
239788.00,	 16383.0000000000
243300.00,	 16382.0000000000
246816.00,	 16383.0000000000
250316.00,	 0.0000000000
253696.00,	 1.0000000000
257048.00,	 1.0000000000
260388.00,	 2.0000000000
263728.00,	 0.0000000000
267108.00,	 16383.0000000000
270620.00,	 1.0000000000
273968.00,	 1.0000000000
277316.00,	 1.0000000000
280672.00,	 16383.0000000000
284176.00,	 2.0000000000
287520.00,	 0.0000000000
290904.00,	 2.0000000000
294244.00,	 1.0000000000
297596.00,	 2.0000000000
300944.00,	 0.0000000000
304328.00,	 16383.0000000000
307832.00,	 2.0000000000
311180.00,	 16383.0000000000
314696.00,	 1.0000000000
318036.00,	 0.0000000000
321416.00,	 16383.0000000000
324932.00,	 0.0000000000
328300.00,	 0.0000000000
331680.00,	 0.0000000000
335072.00,	 1.0000000000
338420.00,	 16381.0000000000
341932.00,	 1.0000000000
345284.00,	 16383.0000000000
348784.00,	 0.0000000000
352164.00,	 0.0000000000
355556.00,	 0.0000000000
358932.00,	 2.0000000000
362276.00,	 2.0000000000
365628.00,	 16383.0000000000
369128.00,	 1.0000000000
372476.00,	 0.0000000000
375860.00,	 1.0000000000
379204.00,	 0.0000000000
382576.00,	 1.0000000000
385924.00,	 0.0000000000
389304.00,	 0.0000000000
392672.00,	 16380.0000000000
396184.00,	 1.0000000000
399536.00,	 3.0000000000
402876.00,	 2.0000000000
406228.00,	 0.0000000000
409612.00,	 0.0000000000
412980.00,	 2.0000000000
416320.00,	 1.0000000000
419668.00,	 16382.0000000000
423180.00,	 16383.0000000000
426680.00,	 0.0000000000
430072.00,	 0.0000000000
433456.00,	 3.0000000000
