micros,encoder
2904.00,	 3.0000000000
6168.00,	 0.0000000000
9456.00,	 0.0000000000
12740.00,	 2.0000000000
16052.00,	 3.0000000000
19360.00,	 1.0000000000
22680.00,	 1.0000000000
25996.00,	 1.0000000000
29312.00,	 2.0000000000
32624.00,	 0.0000000000
35976.00,	 1.0000000000
39288.00,	 16383.0000000000
42764.00,	 2.0000000000
46092.00,	 3.0000000000
49404.00,	 3.0000000000
52716.00,	 2.0000000000
56028.00,	 1.0000000000
59344.00,	 3.0000000000
62668.00,	 2.0000000000
65980.00,	 2.0000000000
69292.00,	 2.0000000000
72612.00,	 1.0000000000
75936.00,	 4.0000000000
79252.00,	 1.0000000000
82568.00,	 2.0000000000
85880.00,	 16383.0000000000
89368.00,	 3.0000000000
92684.00,	 16383.0000000000
96172.00,	 1.0000000000
99496.00,	 4.0000000000
102812.00,	 3.0000000000
106180.00,	 4.0000000000
109544.00,	 1.0000000000
112912.00,	 1.0000000000
116276.00,	 1.0000000000
119648.00,	 1.0000000000
123032.00,	 3.0000000000
126400.00,	 3.0000000000
129772.00,	 3.0000000000
133140.00,	 5.0000000000
136480.00,	 1.0000000000
139824.00,	 1.0000000000
143172.00,	 3.0000000000
146528.00,	 1.0000000000
149868.00,	 5.0000000000
153208.00,	 5.0000000000
156556.00,	 4.0000000000
159908.00,	 3.0000000000
163248.00,	 2.0000000000
166600.00,	 0.0000000000
169992.00,	 0.0000000000
173372.00,	 4.0000000000
176708.00,	 1.0000000000
180056.00,	 1.0000000000
183408.00,	 1.0000000000
186748.00,	 16383.0000000000
190248.00,	 1.0000000000
193608.00,	 0.0000000000
196976.00,	 1.0000000000
200316.00,	 2.0000000000
203664.00,	 1.0000000000
207012.00,	 1.0000000000
210352.00,	 2.0000000000
213700.00,	 1.0000000000
217044.00,	 1.0000000000
220392.00,	 1.0000000000
223740.00,	 2.0000000000
227092.00,	 1.0000000000
230448.00,	 3.0000000000
233788.00,	 2.0000000000
237128.00,	 1.0000000000
240476.00,	 3.0000000000
243832.00,	 0.0000000000
247204.00,	 1.0000000000
250544.00,	 16383.0000000000
254060.00,	 2.0000000000
257400.00,	 2.0000000000
260748.00,	 3.0000000000
264096.00,	 6.0000000000
267448.00,	 2.0000000000
270796.00,	 1.0000000000
274144.00,	 0.0000000000
277528.00,	 5.0000000000
280868.00,	 4.0000000000
284208.00,	 16383.0000000000
287720.00,	 4.0000000000
291064.00,	 3.0000000000
