t,Bx,By,Ax,Ay
0.000000E0,4.495728E2,-2.474153E2,3.735190E2,-1.766399E2
3.336667E-2,4.497187E2,-2.473959E2,3.734970E2,-1.765765E2
6.673333E-2,4.495750E2,-2.472756E2,3.735069E2,-1.765707E2
1.001000E-1,4.496544E2,-2.473303E2,3.736054E2,-1.766397E2
1.334667E-1,4.495772E2,-2.473098E2,3.734418E2,-1.766705E2
1.668333E-1,4.496078E2,-2.472774E2,3.735509E2,-1.766031E2
2.002000E-1,4.493864E2,-2.473474E2,3.733767E2,-1.765732E2
2.335667E-1,4.494978E2,-2.472974E2,3.734828E2,-1.766408E2
2.669333E-1,4.498089E2,-2.472313E2,3.734267E2,-1.768344E2
3.003000E-1,4.493868E2,-2.475119E2,3.734620E2,-1.766092E2
3.336667E-1,4.496470E2,-2.474352E2,3.736650E2,-1.765815E2
3.670333E-1,4.494700E2,-2.473418E2,3.738651E2,-1.767160E2
4.004000E-1,4.495268E2,-2.472741E2,3.734078E2,-1.767386E2
4.337667E-1,4.496567E2,-2.474920E2,3.735363E2,-1.767737E2
4.671333E-1,4.494436E2,-2.471953E2,3.734340E2,-1.766175E2
5.005000E-1,4.496164E2,-2.473009E2,3.734776E2,-1.765944E2
5.338667E-1,4.496089E2,-2.472709E2,3.733450E2,-1.764693E2
5.672333E-1,4.496295E2,-2.472686E2,3.732751E2,-1.765241E2
6.006000E-1,4.494987E2,-2.473684E2,3.733907E2,-1.764546E2
6.339667E-1,4.495615E2,-2.473616E2,3.735498E2,-1.764218E2
6.673333E-1,4.496901E2,-2.473127E2,3.732530E2,-1.763022E2
7.007000E-1,4.494318E2,-2.472068E2,3.735739E2,-1.761803E2
7.340667E-1,4.491119E2,-2.471892E2,3.735460E2,-1.763096E2
7.674333E-1,4.494252E2,-2.472878E2,3.734854E2,-1.761523E2
8.008000E-1,4.496815E2,-2.471928E2,3.736767E2,-1.761793E2
8.341667E-1,4.494886E2,-2.470082E2,3.735609E2,-1.761243E2
8.675333E-1,4.496320E2,-2.470539E2,3.736281E2,-1.757177E2
9.009000E-1,4.498308E2,-2.468001E2,3.738932E2,-1.753873E2
9.342667E-1,4.498136E2,-2.461572E2,3.740448E2,-1.750274E2
9.676333E-1,4.495575E2,-2.458725E2,3.739687E2,-1.744811E2
1.001000E0,4.495430E2,-2.454892E2,3.738400E2,-1.734591E2
1.034367E0,4.495403E2,-2.453221E2,3.744932E2,-1.734254E2
1.067733E0,4.494660E2,-2.449251E2,3.748849E2,-1.731144E2
1.101100E0,4.499936E2,-2.446881E2,3.749206E2,-1.726476E2
1.134467E0,4.498940E2,-2.443278E2,3.752403E2,-1.722517E2
1.167833E0,4.500471E2,-2.435962E2,3.751557E2,-1.708790E2
1.201200E0,4.498846E2,-2.429794E2,3.758887E2,-1.704569E2
1.234567E0,4.499854E2,-2.426760E2,3.760009E2,-1.702840E2
1.267933E0,4.498847E2,-2.422654E2,3.762243E2,-1.696616E2
1.301300E0,4.500400E2,-2.417401E2,3.767782E2,-1.688003E2
1.334667E0,4.501552E2,-2.415072E2,3.769403E2,-1.682918E2
1.368033E0,4.503365E2,-2.410206E2,3.773742E2,-1.681019E2
1.401400E0,4.502839E2,-2.407357E2,3.779183E2,-1.672319E2
1.434767E0,4.508935E2,-2.400713E2,3.779478E2,-1.661642E2
