t,Ax,Ay,Bx,By
0.000000E0,3.293179E2,-6.194881E1,4.041580E2,-1.330353E2
4.696382E-3,3.294612E2,-6.185218E1,4.042205E2,-1.328923E2
9.392765E-3,3.295278E2,-6.176446E1,4.041926E2,-1.328404E2
1.408915E-2,3.296122E2,-6.154738E1,4.042671E2,-1.327642E2
1.878553E-2,3.296676E2,-6.007535E1,4.042708E2,-1.315015E2
2.348191E-2,3.304219E2,-5.830846E1,4.044265E2,-1.306669E2
2.817829E-2,3.314298E2,-5.619047E1,4.045987E2,-1.287830E2
3.287468E-2,3.328836E2,-5.392901E1,4.054174E2,-1.268557E2
3.757106E-2,3.341483E2,-5.119833E1,4.061796E2,-1.248434E2
4.226744E-2,3.356515E2,-4.813127E1,4.065419E2,-1.227794E2
4.696382E-2,3.375466E2,-4.570074E1,4.074496E2,-1.208900E2
5.166021E-2,3.394308E2,-4.345378E1,4.082783E2,-1.190190E2
5.635659E-2,3.411314E2,-4.099804E1,4.090894E2,-1.173414E2
6.105297E-2,3.451025E2,-3.608831E1,4.116764E2,-1.136804E2
6.574935E-2,3.502277E2,-3.146568E1,4.145598E2,-1.106899E2
7.044574E-2,3.526080E2,-2.889034E1,4.162465E2,-1.091178E2
7.514212E-2,3.553054E2,-2.708821E1,4.180282E2,-1.079595E2
7.983850E-2,3.579624E2,-2.505065E1,4.198922E2,-1.066843E2
8.453488E-2,3.607052E2,-2.292653E1,4.216618E2,-1.055460E2
8.923127E-2,3.634610E2,-2.164771E1,4.231414E2,-1.052403E2
9.392765E-2,3.662691E2,-2.109405E1,4.245015E2,-1.052818E2
9.862403E-2,3.689922E2,-2.069250E1,4.260868E2,-1.053034E2
1.033204E-1,3.721564E2,-1.995382E1,4.280703E2,-1.050590E2
1.080168E-1,3.752579E2,-1.892280E1,4.305047E2,-1.043147E2
1.127132E-1,3.777621E2,-1.718170E1,4.328600E2,-1.031548E2
1.174096E-1,3.810809E2,-1.607946E1,4.358228E2,-1.017323E2
1.221059E-1,3.836721E2,-1.451012E1,4.378564E2,-1.008947E2
1.268023E-1,3.882770E2,-1.208107E1,4.416492E2,-9.895523E1
1.314987E-1,3.918691E2,-1.039089E1,4.433959E2,-9.752986E1
1.361951E-1,3.937118E2,-9.484323E0,4.441978E2,-9.718475E1
1.408915E-1,3.951166E2,-8.649415E0,4.450761E2,-9.665333E1
1.455879E-1,3.967551E2,-7.514706E0,4.460307E2,-9.565473E1
