t,Bx,By,Ax,Ay
0.000000E0,1.367407E-1,-3.552869E-2,1.086712E-1,-8.974479E-3
3.333333E-2,1.367870E-1,-3.566247E-2,1.085349E-1,-9.157551E-3
6.666667E-2,1.367731E-1,-3.562814E-2,1.085507E-1,-9.140915E-3
1.000000E-1,1.367705E-1,-3.546809E-2,1.087041E-1,-8.941606E-3
1.333333E-1,1.368767E-1,-3.465204E-2,1.091784E-1,-7.633493E-3
1.666667E-1,1.374980E-1,-3.319275E-2,1.102483E-1,-5.863438E-3
2.000000E-1,1.382305E-1,-3.171154E-2,1.115540E-1,-3.822025E-3
2.333333E-1,1.384544E-1,-3.094146E-2,1.123293E-1,-2.884222E-3
2.666667E-1,1.395365E-1,-2.951237E-2,1.138029E-1,-8.790052E-4
3.000000E-1,1.412598E-1,-2.792353E-2,1.167028E-1,1.627858E-3
3.333333E-1,1.425155E-1,-2.715123E-2,1.186693E-1,3.034180E-3
3.666667E-1,1.438135E-1,-2.651186E-2,1.207199E-1,4.245088E-3
4.000000E-1,1.452359E-1,-2.578907E-2,1.228006E-1,5.268871E-3
4.333333E-1,1.469880E-1,-2.489722E-2,1.252087E-1,6.664217E-3
4.666667E-1,1.492576E-1,-2.390351E-2,1.282050E-1,7.887442E-3
5.000000E-1,1.514037E-1,-2.324196E-2,1.307340E-1,8.770393E-3
5.333333E-1,1.535247E-1,-2.275023E-2,1.333099E-1,9.338542E-3
5.666667E-1,1.550592E-1,-2.276567E-2,1.354279E-1,9.742756E-3
6.000000E-1,1.565365E-1,-2.241722E-2,1.372041E-1,1.033919E-2
6.333333E-1,1.574924E-1,-2.183136E-2,1.386491E-1,1.115952E-2
6.666667E-1,1.585438E-1,-2.075868E-2,1.400937E-1,1.229548E-2
7.000000E-1,1.587506E-1,-2.042790E-2,1.405401E-1,1.279766E-2
7.333333E-1,1.595512E-1,-1.960268E-2,1.416429E-1,1.375607E-2
7.666667E-1,1.605130E-1,-1.826554E-2,1.417723E-1,1.470864E-2
8.000000E-1,1.623747E-1,-1.660145E-2,1.432664E-1,1.629971E-2
8.333333E-1,1.626851E-1,-1.447593E-2,1.432873E-1,1.837209E-2
8.666667E-1,1.626313E-1,-1.293114E-2,1.432614E-1,1.989422E-2
9.000000E-1,1.605603E-1,-9.051056E-3,1.419508E-1,2.453291E-2
9.333333E-1,1.591408E-1,-6.069287E-3,1.410117E-1,2.777872E-2
9.666667E-1,1.579988E-1,-2.560413E-3,1.402610E-1,3.104038E-2
1.000000E0,1.563722E-1,5.752638E-4,1.393751E-1,3.433667E-2
1.033333E0,1.520001E-1,4.449062E-3,1.371203E-1,3.887583E-2
1.066667E0,1.464519E-1,1.100496E-2,1.332706E-1,4.532027E-2
1.100000E0,1.415002E-1,1.872499E-2,1.286057E-1,5.364176E-2
1.133333E0,1.363556E-1,2.894223E-2,1.232131E-1,6.370562E-2
1.166667E0,1.311537E-1,4.039569E-2,1.175137E-1,7.482625E-2
1.200000E0,1.237285E-1,5.238964E-2,1.113381E-1,8.709703E-2
1.233333E0,1.138278E-1,6.399001E-2,1.048887E-1,9.962423E-2
1.266667E0,1.084133E-1,6.920950E-2,1.016043E-1,1.056885E-1
1.300000E0,9.279268E-2,8.688909E-2,9.130838E-2,1.236881E-1
1.333333E0,8.158960E-2,9.830697E-2,8.418937E-2,1.347200E-1
1.366667E0,7.116187E-2,1.085140E-1,7.734494E-2,1.443557E-1
1.400000E0,6.076215E-2,1.184036E-1,7.044076E-2,1.536035E-1
1.433333E0,5.092021E-2,1.272642E-1,6.378702E-2,1.609855E-1
1.466667E0,4.069845E-2,1.351987E-1,5.705064E-2,1.673660E-1
1.500000E0,3.050801E-2,1.422000E-1,5.009622E-2,1.724427E-1
1.533333E0,2.529530E-2,1.453509E-1,4.648067E-2,1.743287E-1
1.566667E0,9.250750E-3,1.535895E-1,3.501042E-2,1.784734E-1
1.600000E0,-1.388147E-3,1.579885E-1,2.694132E-2,1.802622E-1
1.633333E0,-1.211698E-2,1.619653E-1,1.844276E-2,1.810188E-1
1.666667E0,-2.287216E-2,1.650505E-1,9.560491E-3,1.809525E-1
1.700000E0,-3.388514E-2,1.676241E-1,1.739086E-4,1.803293E-1
1.733333E0,-4.490469E-2,1.694229E-1,-9.500369E-3,1.788022E-1
1.766667E0,-5.039282E-2,1.700763E-1,-1.441811E-2,1.779077E-1
1.800000E0,-6.152642E-2,1.711063E-1,-2.453665E-2,1.755747E-1
1.833333E0,-7.822496E-2,1.713568E-1,-4.026498E-2,1.705138E-1
1.866667E0,-8.929039E-2,1.704520E-1,-5.148089E-2,1.665859E-1
1.900000E0,-1.005038E-1,1.691604E-1,-6.282694E-2,1.616965E-1
1.933333E0,-1.117481E-1,1.669484E-1,-7.414066E-2,1.560040E-1
1.966667E0,-1.230383E-1,1.639631E-1,-8.598529E-2,1.498928E-1
2.000000E0,-1.343073E-1,1.607048E-1,-9.818460E-2,1.429991E-1
2.033333E0,-1.456973E-1,1.566529E-1,-1.107800E-1,1.356851E-1
2.066667E0,-1.570228E-1,1.522044E-1,-1.238698E-1,1.281288E-1
2.100000E0,-1.682729E-1,1.470163E-1,-1.371750E-1,1.202678E-1
2.133333E0,-1.794559E-1,1.411235E-1,-1.507205E-1,1.118157E-1
2.166667E0,-1.907280E-1,1.348249E-1,-1.643797E-1,1.028701E-1
2.200000E0,-2.016218E-1,1.274758E-1,-1.780280E-1,9.327046E-2
2.233333E0,-2.125516E-1,1.193552E-1,-1.920824E-1,8.357168E-2
2.266667E0,-2.230913E-1,1.103739E-1,-2.060122E-1,7.303200E-2
2.300000E0,-2.284408E-1,1.057298E-1,-2.132173E-1,6.761607E-2
2.333333E0,-2.438009E-1,8.943426E-2,-2.342570E-1,5.031682E-2
2.366667E0,-2.541047E-1,7.735819E-2,-2.483599E-1,3.806124E-2
2.400000E0,-2.644298E-1,6.446573E-2,-2.623922E-1,2.540543E-2
2.433333E0,-2.744821E-1,5.013976E-2,-2.766545E-1,1.201722E-2
