t,Ax,Ay,Bx,By
0.000000E0,1.335026E-1,-7.189777E-2,1.593281E-1,-1.005367E-1
3.336667E-2,1.335091E-1,-7.190685E-2,1.592534E-1,-1.005002E-1
6.673333E-2,1.334721E-1,-7.189871E-2,1.592732E-1,-1.004813E-1
1.001000E-1,1.334926E-1,-7.186686E-2,1.592568E-1,-1.004806E-1
1.334667E-1,1.334745E-1,-7.182234E-2,1.592535E-1,-1.004546E-1
1.668333E-1,1.334826E-1,-7.173729E-2,1.592162E-1,-1.004191E-1
2.002000E-1,1.334700E-1,-7.163494E-2,1.592504E-1,-1.003851E-1
2.335667E-1,1.335226E-1,-7.143899E-2,1.592781E-1,-1.003069E-1
2.669333E-1,1.336195E-1,-7.119887E-2,1.592814E-1,-1.001135E-1
3.003000E-1,1.336757E-1,-7.093522E-2,1.593021E-1,-9.991779E-2
3.336667E-1,1.337526E-1,-7.066053E-2,1.593131E-1,-9.970673E-2
3.670333E-1,1.340193E-1,-7.025148E-2,1.593253E-1,-9.945951E-2
4.004000E-1,1.342082E-1,-6.989445E-2,1.593983E-1,-9.918297E-2
4.337667E-1,1.344081E-1,-6.949524E-2,1.594064E-1,-9.880226E-2
4.671333E-1,1.346962E-1,-6.900185E-2,1.595843E-1,-9.856430E-2
5.005000E-1,1.349316E-1,-6.854514E-2,1.597349E-1,-9.817830E-2
5.338667E-1,1.352855E-1,-6.806713E-2,1.598825E-1,-9.790689E-2
5.672333E-1,1.356274E-1,-6.765286E-2,1.599690E-1,-9.765440E-2
6.006000E-1,1.359372E-1,-6.715754E-2,1.601580E-1,-9.743093E-2
6.339667E-1,1.363040E-1,-6.673088E-2,1.602582E-1,-9.718074E-2
6.673333E-1,1.367184E-1,-6.626306E-2,1.604017E-1,-9.692368E-2
7.007000E-1,1.371781E-1,-6.584923E-2,1.604943E-1,-9.672153E-2
7.340667E-1,1.375725E-1,-6.547532E-2,1.606492E-1,-9.654788E-2
7.674333E-1,1.379622E-1,-6.516182E-2,1.607749E-1,-9.632779E-2
8.008000E-1,1.383746E-1,-6.473626E-2,1.610237E-1,-9.608347E-2
8.341667E-1,1.388581E-1,-6.432044E-2,1.611402E-1,-9.587846E-2
8.675333E-1,1.393508E-1,-6.387763E-2,1.614287E-1,-9.558114E-2
9.009000E-1,1.398251E-1,-6.341000E-2,1.616761E-1,-9.534482E-2
9.342667E-1,1.403221E-1,-6.298355E-2,1.619697E-1,-9.494756E-2
9.676333E-1,1.408629E-1,-6.253083E-2,1.622516E-1,-9.455427E-2
1.001000E0,1.413649E-1,-6.204644E-2,1.625429E-1,-9.421939E-2
1.034367E0,1.418727E-1,-6.153321E-2,1.628847E-1,-9.381098E-2
1.067733E0,1.423935E-1,-6.099328E-2,1.631983E-1,-9.337053E-2
1.101100E0,1.428963E-1,-6.044525E-2,1.635088E-1,-9.285831E-2
