t,Ax,Ay,Bx,By
0.000000E0,1.473310E-1,-6.945364E-2,1.732992E-1,-9.787994E-2
3.336667E-2,1.473118E-1,-6.943026E-2,1.733211E-1,-9.783393E-2
6.673333E-2,1.473142E-1,-6.941890E-2,1.733198E-1,-9.784308E-2
1.001000E-1,1.473238E-1,-6.942086E-2,1.733251E-1,-9.783689E-2
1.334667E-1,1.473261E-1,-6.941425E-2,1.733095E-1,-9.784469E-2
1.668333E-1,1.473365E-1,-6.937839E-2,1.733191E-1,-9.782197E-2
2.002000E-1,1.473215E-1,-6.936680E-2,1.733152E-1,-9.782019E-2
2.335667E-1,1.473203E-1,-6.936909E-2,1.733235E-1,-9.781443E-2
2.669333E-1,1.473287E-1,-6.935903E-2,1.733069E-1,-9.782293E-2
3.003000E-1,1.473146E-1,-6.938519E-2,1.732916E-1,-9.781685E-2
3.336667E-1,1.473006E-1,-6.941430E-2,1.732758E-1,-9.783687E-2
3.670333E-1,1.473211E-1,-6.940101E-2,1.732479E-1,-9.783540E-2
4.004000E-1,1.473120E-1,-6.936059E-2,1.732220E-1,-9.782274E-2
4.337667E-1,1.473462E-1,-6.930582E-2,1.732264E-1,-9.780267E-2
4.671333E-1,1.473396E-1,-6.921832E-2,1.732276E-1,-9.778221E-2
5.005000E-1,1.474162E-1,-6.902802E-2,1.732160E-1,-9.771361E-2
5.338667E-1,1.474343E-1,-6.877568E-2,1.732510E-1,-9.753665E-2
5.672333E-1,1.475885E-1,-6.848671E-2,1.732949E-1,-9.716131E-2
6.006000E-1,1.477283E-1,-6.811273E-2,1.732954E-1,-9.695877E-2
6.339667E-1,1.478884E-1,-6.764469E-2,1.733153E-1,-9.665829E-2
6.673333E-1,1.480508E-1,-6.733151E-2,1.733667E-1,-9.629889E-2
7.007000E-1,1.482536E-1,-6.677145E-2,1.733745E-1,-9.598335E-2
7.340667E-1,1.484590E-1,-6.623738E-2,1.734448E-1,-9.550364E-2
7.674333E-1,1.486525E-1,-6.571616E-2,1.734402E-1,-9.504332E-2
8.008000E-1,1.488933E-1,-6.511082E-2,1.734650E-1,-9.460381E-2
8.341667E-1,1.490810E-1,-6.449513E-2,1.734925E-1,-9.404724E-2
8.675333E-1,1.493088E-1,-6.382965E-2,1.735004E-1,-9.357451E-2
9.009000E-1,1.495056E-1,-6.317366E-2,1.735101E-1,-9.311863E-2
9.342667E-1,1.497576E-1,-6.259828E-2,1.734816E-1,-9.265934E-2
9.676333E-1,1.500032E-1,-6.194495E-2,1.734747E-1,-9.217480E-2
1.001000E0,1.501816E-1,-6.139356E-2,1.734618E-1,-9.171368E-2
1.034367E0,1.504273E-1,-6.069535E-2,1.734775E-1,-9.126413E-2
1.067733E0,1.506385E-1,-6.010221E-2,1.734713E-1,-9.081552E-2
1.101100E0,1.508569E-1,-5.933019E-2,1.734733E-1,-9.025241E-2
1.134467E0,1.511013E-1,-5.863700E-2,1.734593E-1,-8.968796E-2
1.167833E0,1.513218E-1,-5.796344E-2,1.734526E-1,-8.921330E-2
1.201200E0,1.515252E-1,-5.727729E-2,1.734711E-1,-8.865300E-2
1.234567E0,1.517588E-1,-5.660276E-2,1.734356E-1,-8.811381E-2
1.267933E0,1.519493E-1,-5.589656E-2,1.734515E-1,-8.755599E-2
1.301300E0,1.522066E-1,-5.516524E-2,1.734694E-1,-8.700561E-2
1.334667E0,1.523922E-1,-5.451969E-2,1.734604E-1,-8.649634E-2
1.368033E0,1.526280E-1,-5.380694E-2,1.734705E-1,-8.592276E-2
1.401400E0,1.527635E-1,-5.314749E-2,1.734569E-1,-8.533828E-2
1.434767E0,1.529609E-1,-5.245191E-2,1.734416E-1,-8.484317E-2
1.468133E0,1.531674E-1,-5.174022E-2,1.734026E-1,-8.421802E-2
1.501500E0,1.533341E-1,-5.103757E-2,1.733891E-1,-8.360332E-2
1.534867E0,1.534705E-1,-5.030135E-2,1.733362E-1,-8.301993E-2
1.568233E0,1.535741E-1,-4.953057E-2,1.732742E-1,-8.237573E-2
1.601600E0,1.536734E-1,-4.880368E-2,1.731790E-1,-8.174739E-2
1.634967E0,1.537498E-1,-4.805225E-2,1.730593E-1,-8.108305E-2
1.668333E0,1.537430E-1,-4.726636E-2,1.728040E-1,-8.044476E-2
1.701700E0,1.537352E-1,-4.644951E-2,1.725821E-1,-7.971960E-2
1.735067E0,1.537037E-1,-4.559271E-2,1.722868E-1,-7.903598E-2
1.768433E0,1.536785E-1,-4.475651E-2,1.720286E-1,-7.835792E-2
1.801800E0,1.535822E-1,-4.397463E-2,1.716859E-1,-7.762644E-2
1.835167E0,1.534506E-1,-4.305711E-2,1.713128E-1,-7.682240E-2
1.868533E0,1.532227E-1,-4.215935E-2,1.708823E-1,-7.596284E-2
1.901900E0,1.530220E-1,-4.108815E-2,1.704675E-1,-7.505544E-2
1.935267E0,1.527506E-1,-4.012606E-2,1.700018E-1,-7.412051E-2
1.968633E0,1.524475E-1,-3.902221E-2,1.695116E-1,-7.318484E-2
2.002000E0,1.521258E-1,-3.791896E-2,1.689748E-1,-7.219857E-2
2.035367E0,1.517194E-1,-3.681672E-2,1.684829E-1,-7.113472E-2
2.068733E0,1.512946E-1,-3.571480E-2,1.679489E-1,-7.015030E-2
2.102100E0,1.508708E-1,-3.452631E-2,1.674509E-1,-6.898828E-2
2.135467E0,1.504339E-1,-3.343545E-2,1.668331E-1,-6.798029E-2
2.168833E0,1.500208E-1,-3.222462E-2,1.663070E-1,-6.687151E-2
2.202200E0,1.496835E-1,-3.105182E-2,1.657524E-1,-6.579129E-2
2.235567E0,1.491817E-1,-2.987743E-2,1.651726E-1,-6.467456E-2
2.268933E0,1.487085E-1,-2.874245E-2,1.645686E-1,-6.354504E-2
2.302300E0,1.481944E-1,-2.752171E-2,1.639981E-1,-6.239176E-2
2.335667E0,1.476786E-1,-2.627582E-2,1.633771E-1,-6.115029E-2
2.369033E0,1.471403E-1,-2.496657E-2,1.627612E-1,-5.977589E-2
2.402400E0,1.465395E-1,-2.351610E-2,1.620897E-1,-5.836383E-2
2.435767E0,1.458922E-1,-2.215675E-2,1.614239E-1,-5.691908E-2
2.469133E0,1.452228E-1,-2.067617E-2,1.607099E-1,-5.556098E-2
2.502500E0,1.446248E-1,-1.915567E-2,1.600823E-1,-5.392944E-2
2.535867E0,1.439102E-1,-1.750912E-2,1.593672E-1,-5.233493E-2
2.569233E0,1.431259E-1,-1.575633E-2,1.586794E-1,-5.062420E-2
2.602600E0,1.423019E-1,-1.405348E-2,1.578435E-1,-4.891410E-2
2.635967E0,1.414503E-1,-1.229976E-2,1.569831E-1,-4.716486E-2
2.669333E0,1.406369E-1,-1.042623E-2,1.561462E-1,-4.531852E-2
2.702700E0,1.396689E-1,-8.510966E-3,1.552609E-1,-4.334649E-2
2.736067E0,1.387039E-1,-6.479216E-3,1.542908E-1,-4.131109E-2
2.769433E0,1.378073E-1,-4.454952E-3,1.532756E-1,-3.917318E-2
2.802800E0,1.368014E-1,-2.269542E-3,1.520488E-1,-3.707704E-2
2.836167E0,1.356906E-1,-1.679534E-4,1.510190E-1,-3.484292E-2
2.869533E0,1.344721E-1,2.204245E-3,1.498586E-1,-3.246702E-2
2.902900E0,1.334323E-1,4.451752E-3,1.485403E-1,-3.011275E-2
2.936267E0,1.321715E-1,6.979817E-3,1.472709E-1,-2.765329E-2
2.969633E0,1.309362E-1,9.542651E-3,1.458210E-1,-2.526302E-2
3.003000E0,1.296069E-1,1.209021E-2,1.443445E-1,-2.274405E-2
3.036367E0,1.283335E-1,1.474883E-2,1.428930E-1,-2.008292E-2
3.069733E0,1.268422E-1,1.767689E-2,1.413946E-1,-1.750296E-2
3.103100E0,1.255153E-1,2.043443E-2,1.398926E-1,-1.485575E-2
3.136467E0,1.239662E-1,2.318461E-2,1.379721E-1,-1.216686E-2
3.169833E0,1.225039E-1,2.630119E-2,1.359649E-1,-8.873040E-3
3.203200E0,1.211852E-1,2.912883E-2,1.339136E-1,-5.846633E-3
3.236567E0,1.196779E-1,3.194933E-2,1.319511E-1,-3.160158E-3
3.269933E0,1.181647E-1,3.504803E-2,1.297673E-1,-4.077944E-4
3.303300E0,1.164630E-1,3.817670E-2,1.275279E-1,2.613443E-3
3.336667E0,1.151083E-1,4.112597E-2,1.250906E-1,5.496434E-3
3.370033E0,1.133976E-1,4.427158E-2,1.227147E-1,8.536852E-3
3.403400E0,1.116234E-1,4.730621E-2,1.204121E-1,1.142992E-2
3.436767E0,1.096313E-1,5.054199E-2,1.180501E-1,1.423747E-2
3.470133E0,1.077316E-1,5.346964E-2,1.156570E-1,1.711572E-2
3.503500E0,1.060128E-1,5.646006E-2,1.136264E-1,1.999207E-2
3.536867E0,1.042494E-1,5.948466E-2,1.113216E-1,2.272050E-2
3.570233E0,1.030958E-1,6.268670E-2,1.090826E-1,2.544015E-2
3.603600E0,1.014134E-1,6.530024E-2,1.067588E-1,2.823702E-2
3.636967E0,9.975107E-2,6.790334E-2,1.044154E-1,3.082601E-2
3.670333E0,9.801988E-2,7.051925E-2,1.021196E-1,3.360708E-2
3.703700E0,9.638025E-2,7.303556E-2,9.979730E-2,3.611863E-2
3.737067E0,9.473098E-2,7.554551E-2,9.745537E-2,3.877436E-2
3.770433E0,9.323480E-2,7.785160E-2,9.501049E-2,4.119479E-2
3.803800E0,9.161668E-2,8.015277E-2,9.272148E-2,4.381602E-2
3.837167E0,9.002638E-2,8.253374E-2,9.032474E-2,4.625027E-2
3.870533E0,8.846983E-2,8.465910E-2,8.819602E-2,4.855720E-2
3.903900E0,8.686803E-2,8.668949E-2,8.598601E-2,5.075397E-2
3.937267E0,8.529882E-2,8.893678E-2,8.358278E-2,5.321367E-2
3.970633E0,8.372036E-2,9.079530E-2,8.136373E-2,5.543168E-2
4.004000E0,8.216539E-2,9.264478E-2,7.915304E-2,5.759528E-2
4.037367E0,8.051920E-2,9.446113E-2,7.685040E-2,5.990930E-2
4.070733E0,7.890718E-2,9.641647E-2,7.448546E-2,6.186229E-2
4.104100E0,7.731278E-2,9.824138E-2,7.233772E-2,6.379438E-2
4.137467E0,7.568335E-2,9.995006E-2,6.997992E-2,6.595544E-2
4.170833E0,7.407890E-2,1.015931E-1,6.754357E-2,6.778128E-2
4.204200E0,7.242567E-2,1.034992E-1,6.535534E-2,6.963172E-2
4.237567E0,7.085157E-2,1.050515E-1,6.312597E-2,7.133725E-2
4.270933E0,6.920085E-2,1.065294E-1,6.089303E-2,7.330449E-2
4.304300E0,6.754615E-2,1.079492E-1,5.857239E-2,7.493077E-2
4.337667E0,6.595733E-2,1.094940E-1,5.625864E-2,7.651238E-2
4.371033E0,6.435451E-2,1.108233E-1,5.393903E-2,7.830447E-2
4.404400E0,6.273085E-2,1.121439E-1,5.153424E-2,7.983160E-2
4.437767E0,6.107868E-2,1.133129E-1,4.920382E-2,8.158237E-2
4.471133E0,5.941937E-2,1.146184E-1,4.696478E-2,8.305883E-2
4.504500E0,5.772134E-2,1.157060E-1,4.471421E-2,8.437344E-2
4.537867E0,5.602382E-2,1.168824E-1,4.227102E-2,8.591513E-2
4.571233E0,5.417295E-2,1.179255E-1,3.994622E-2,8.724372E-2
4.604600E0,5.246935E-2,1.189310E-1,3.765777E-2,8.868057E-2
4.637967E0,5.074752E-2,1.198630E-1,3.529099E-2,8.989377E-2
4.671333E0,4.898850E-2,1.206657E-1,3.292949E-2,9.117361E-2
4.704700E0,4.721462E-2,1.214175E-1,3.053213E-2,9.228239E-2
4.738067E0,4.555196E-2,1.221171E-1,2.816182E-2,9.355473E-2
4.771433E0,4.377623E-2,1.227469E-1,2.583624E-2,9.466208E-2
4.804800E0,4.202174E-2,1.233219E-1,2.346989E-2,9.578054E-2
4.838167E0,4.031972E-2,1.238645E-1,2.110628E-2,9.675411E-2
4.871533E0,3.857080E-2,1.241739E-1,1.886182E-2,9.779372E-2
4.904900E0,3.685255E-2,1.245980E-1,1.646168E-2,9.865656E-2
4.938267E0,3.503313E-2,1.248180E-1,1.413503E-2,9.957213E-2
4.971633E0,3.338450E-2,1.250538E-1,1.172927E-2,1.003835E-1
5.005000E0,3.147049E-2,1.253789E-1,9.460598E-3,1.011684E-1
5.038367E0,2.962721E-2,1.254423E-1,7.105417E-3,1.018636E-1
5.071733E0,2.778756E-2,1.253985E-1,4.785041E-3,1.025032E-1
5.105100E0,2.592806E-2,1.255089E-1,2.373483E-3,1.031180E-1
5.138467E0,2.401150E-2,1.254136E-1,-5.367773E-5,1.036671E-1
5.171833E0,2.208155E-2,1.254212E-1,-2.504873E-3,1.041109E-1
5.205200E0,2.005269E-2,1.251925E-1,-4.882389E-3,1.045662E-1
5.238567E0,1.812649E-2,1.248476E-1,-7.338723E-3,1.049268E-1
5.271933E0,1.612593E-2,1.246313E-1,-9.786143E-3,1.052719E-1
5.305300E0,1.413696E-2,1.240616E-1,-1.224272E-2,1.055454E-1
5.338667E0,1.201526E-2,1.237726E-1,-1.479104E-2,1.058297E-1
5.372033E0,9.954237E-3,1.232327E-1,-1.731443E-2,1.060211E-1
5.405400E0,7.799656E-3,1.225222E-1,-1.985050E-2,1.061622E-1
5.438767E0,5.654657E-3,1.219438E-1,-2.239656E-2,1.062876E-1
5.472133E0,3.426489E-3,1.213213E-1,-2.495631E-2,1.062613E-1
5.505500E0,1.318907E-3,1.206164E-1,-2.748310E-2,1.062605E-1
5.538867E0,-8.855205E-4,1.199591E-1,-2.991448E-2,1.061816E-1
5.572233E0,-3.056960E-3,1.192392E-1,-3.240843E-2,1.060669E-1
5.605600E0,-5.306790E-3,1.186008E-1,-3.496760E-2,1.059380E-1
5.638967E0,-7.582421E-3,1.177485E-1,-3.745623E-2,1.057741E-1
5.672333E0,-9.748150E-3,1.170504E-1,-3.994443E-2,1.056504E-1
