t,Ax,Ay,Bx,By
0.000000E0,4.301714E-1,-1.927230E-1,4.549440E-1,-2.221028E-1
3.336667E-2,4.304689E-1,-1.921868E-1,4.550309E-1,-2.216532E-1
6.673333E-2,4.308278E-1,-1.917665E-1,4.551421E-1,-2.213799E-1
1.001000E-1,4.310771E-1,-1.912253E-1,4.552866E-1,-2.208688E-1
1.334667E-1,4.313939E-1,-1.906903E-1,4.554291E-1,-2.205448E-1
1.668333E-1,4.317496E-1,-1.901122E-1,4.555908E-1,-2.200244E-1
2.002000E-1,4.320888E-1,-1.896486E-1,4.557437E-1,-2.197660E-1
2.335667E-1,4.324296E-1,-1.891212E-1,4.558823E-1,-2.193729E-1
2.669333E-1,4.327166E-1,-1.886054E-1,4.559805E-1,-2.190618E-1
3.003000E-1,4.330477E-1,-1.881214E-1,4.560649E-1,-2.186189E-1
3.336667E-1,4.333983E-1,-1.875529E-1,4.562466E-1,-2.182895E-1
3.670333E-1,4.337673E-1,-1.869861E-1,4.563701E-1,-2.178707E-1
4.004000E-1,4.340717E-1,-1.864760E-1,4.564892E-1,-2.174316E-1
4.337667E-1,4.343992E-1,-1.858534E-1,4.566370E-1,-2.170171E-1
4.671333E-1,4.347362E-1,-1.852742E-1,4.567544E-1,-2.164929E-1
5.005000E-1,4.351152E-1,-1.845920E-1,4.568419E-1,-2.160971E-1
5.338667E-1,4.354633E-1,-1.839952E-1,4.569340E-1,-2.155967E-1
5.672333E-1,4.357758E-1,-1.833004E-1,4.570865E-1,-2.151043E-1
6.006000E-1,4.360629E-1,-1.827123E-1,4.571762E-1,-2.147040E-1
6.339667E-1,4.363885E-1,-1.820501E-1,4.573146E-1,-2.141548E-1
6.673333E-1,4.367158E-1,-1.813999E-1,4.574423E-1,-2.136380E-1
7.007000E-1,4.369791E-1,-1.807796E-1,4.575389E-1,-2.131120E-1
7.340667E-1,4.372637E-1,-1.801456E-1,4.575834E-1,-2.126164E-1
7.674333E-1,4.375505E-1,-1.794708E-1,4.576784E-1,-2.120759E-1
8.008000E-1,4.377446E-1,-1.788251E-1,4.576597E-1,-2.114823E-1
8.341667E-1,4.379735E-1,-1.780849E-1,4.576009E-1,-2.109673E-1
8.675333E-1,4.381176E-1,-1.774565E-1,4.575927E-1,-2.103839E-1
