t,Ax,Ay,Bx,By
0.000000E0,1.539986E-1,-4.525733E-2,,
3.336667E-2,1.539670E-1,-4.525427E-2,1.795996E-1,-7.393732E-2
6.673333E-2,1.539749E-1,-4.525470E-2,1.795963E-1,-7.391068E-2
1.001000E-1,1.539783E-1,-4.524372E-2,1.795994E-1,-7.390451E-2
1.334667E-1,1.539698E-1,-4.523860E-2,1.795877E-1,-7.387098E-2
1.668333E-1,1.540103E-1,-4.519584E-2,1.795950E-1,-7.385140E-2
2.002000E-1,1.540515E-1,-4.514317E-2,1.796040E-1,-7.381420E-2
2.335667E-1,1.540491E-1,-4.501501E-2,1.796348E-1,-7.378271E-2
2.669333E-1,1.541355E-1,-4.475929E-2,1.796840E-1,-7.367631E-2
3.003000E-1,1.541542E-1,-4.459276E-2,1.797033E-1,-7.348951E-2
3.336667E-1,1.542893E-1,-4.445048E-2,1.797339E-1,-7.333816E-2
3.670333E-1,1.544344E-1,-4.415469E-2,1.797611E-1,-7.313423E-2
4.004000E-1,1.546637E-1,-4.383693E-2,1.798208E-1,-7.292579E-2
4.337667E-1,1.548227E-1,-4.365122E-2,1.799210E-1,-7.269084E-2
4.671333E-1,1.550536E-1,-4.336548E-2,1.800394E-1,-7.250579E-2
5.005000E-1,1.553242E-1,-4.295165E-2,1.801151E-1,-7.226515E-2
5.338667E-1,1.556337E-1,-4.253446E-2,1.802366E-1,-7.207677E-2
5.672333E-1,1.559241E-1,-4.223560E-2,1.803610E-1,-7.177419E-2
6.006000E-1,1.562930E-1,-4.191415E-2,1.805439E-1,-7.157919E-2
6.339667E-1,1.566646E-1,-4.154392E-2,1.806958E-1,-7.133136E-2
6.673333E-1,1.569546E-1,-4.106031E-2,1.809196E-1,-7.115376E-2
7.007000E-1,1.573038E-1,-4.082958E-2,1.810801E-1,-7.088499E-2
7.340667E-1,1.576559E-1,-4.039434E-2,1.813441E-1,-7.071711E-2
7.674333E-1,1.580706E-1,-4.005729E-2,1.815565E-1,-7.045230E-2
8.008000E-1,1.584908E-1,-3.955758E-2,1.817981E-1,-7.014521E-2
8.341667E-1,1.589548E-1,-3.924600E-2,1.820710E-1,-6.990223E-2
8.675333E-1,1.593887E-1,-3.879509E-2,1.823179E-1,-6.960504E-2
9.009000E-1,1.598284E-1,-3.832206E-2,1.826082E-1,-6.929803E-2
9.342667E-1,1.602451E-1,-3.788000E-2,1.828343E-1,-6.902894E-2
9.676333E-1,1.606417E-1,-3.738853E-2,1.830585E-1,-6.867804E-2
1.001000E0,1.611123E-1,-3.689766E-2,1.832613E-1,-6.830598E-2
1.034367E0,1.614994E-1,-3.640217E-2,1.834967E-1,-6.794237E-2
