t,Ax,Ay,Bx,By
0.000000E0,1.557647E-1,-7.249877E-2,1.838968E-1,-9.927235E-2
3.336667E-2,1.556220E-1,-7.241200E-2,1.838950E-1,-9.926137E-2
6.673333E-2,1.556491E-1,-7.234593E-2,1.838952E-1,-9.928827E-2
1.001000E-1,1.556456E-1,-7.235721E-2,1.838718E-1,-9.928703E-2
1.334667E-1,1.556443E-1,-7.234625E-2,1.839951E-1,-9.921755E-2
1.668333E-1,1.556045E-1,-7.233846E-2,1.838737E-1,-9.927275E-2
2.002000E-1,1.556003E-1,-7.231190E-2,1.838739E-1,-9.922097E-2
2.335667E-1,1.556190E-1,-7.225020E-2,1.838491E-1,-9.923857E-2
2.669333E-1,1.556889E-1,-7.225186E-2,1.838236E-1,-9.918872E-2
3.003000E-1,1.556168E-1,-7.217737E-2,1.837917E-1,-9.917331E-2
3.336667E-1,1.556106E-1,-7.201191E-2,1.838327E-1,-9.917756E-2
3.670333E-1,1.556617E-1,-7.192130E-2,1.838352E-1,-9.913821E-2
4.004000E-1,1.556596E-1,-7.184127E-2,1.838182E-1,-9.911765E-2
4.337667E-1,1.557521E-1,-7.181163E-2,1.837991E-1,-9.911471E-2
4.671333E-1,1.556511E-1,-7.177774E-2,1.837998E-1,-9.912029E-2
5.005000E-1,1.556783E-1,-7.154291E-2,1.838359E-1,-9.906537E-2
5.338667E-1,1.557717E-1,-7.146512E-2,1.838467E-1,-9.881392E-2
5.672333E-1,1.557013E-1,-7.121980E-2,1.838396E-1,-9.867882E-2
6.006000E-1,1.558078E-1,-7.102438E-2,1.838422E-1,-9.868906E-2
6.339667E-1,1.558268E-1,-7.088568E-2,1.838652E-1,-9.846841E-2
6.673333E-1,1.558695E-1,-7.078318E-2,1.838919E-1,-9.843637E-2
7.007000E-1,1.561071E-1,-7.061220E-2,1.839494E-1,-9.829350E-2
7.340667E-1,1.561469E-1,-7.045119E-2,1.840377E-1,-9.810561E-2
7.674333E-1,1.561234E-1,-7.007845E-2,1.840256E-1,-9.779482E-2
8.008000E-1,1.562589E-1,-6.981408E-2,1.840328E-1,-9.760609E-2
8.341667E-1,1.563768E-1,-6.968013E-2,1.839453E-1,-9.740804E-2
8.675333E-1,1.564821E-1,-6.947030E-2,1.840278E-1,-9.721887E-2
9.009000E-1,1.565359E-1,-6.916592E-2,1.840288E-1,-9.709624E-2
9.342667E-1,1.567413E-1,-6.896207E-2,1.839597E-1,-9.685742E-2
9.676333E-1,1.568856E-1,-6.875971E-2,1.840581E-1,-9.671687E-2
1.001000E0,1.570937E-1,-6.864080E-2,1.841378E-1,-9.664850E-2
1.034367E0,1.570660E-1,-6.827084E-2,1.842363E-1,-9.649486E-2
1.067733E0,1.572313E-1,-6.786984E-2,1.841981E-1,-9.635869E-2
1.101100E0,1.573509E-1,-6.763368E-2,1.842727E-1,-9.625532E-2
1.134467E0,1.575400E-1,-6.746762E-2,1.844021E-1,-9.594763E-2
1.167833E0,1.576445E-1,-6.726879E-2,1.844837E-1,-9.552319E-2
1.201200E0,1.577540E-1,-6.690823E-2,1.844546E-1,-9.542687E-2
1.234567E0,1.578196E-1,-6.666649E-2,1.845101E-1,-9.521301E-2
1.267933E0,1.580544E-1,-6.657120E-2,1.844333E-1,-9.508442E-2
1.301300E0,1.581258E-1,-6.630107E-2,1.845276E-1,-9.500474E-2
1.334667E0,1.582730E-1,-6.594994E-2,1.845985E-1,-9.493369E-2
1.368033E0,1.582027E-1,-6.549687E-2,1.846793E-1,-9.474640E-2
1.401400E0,1.584579E-1,-6.538581E-2,1.847296E-1,-9.458314E-2
1.434767E0,1.586076E-1,-6.520965E-2,1.848172E-1,-9.446225E-2
1.468133E0,1.587696E-1,-6.498770E-2,1.849000E-1,-9.441283E-2
1.501500E0,1.589050E-1,-6.477097E-2,1.849090E-1,-9.416039E-2
1.534867E0,1.590711E-1,-6.437672E-2,1.849370E-1,-9.400587E-2
1.568233E0,1.592949E-1,-6.426046E-2,1.851093E-1,-9.379264E-2
1.601600E0,1.595137E-1,-6.409445E-2,1.851934E-1,-9.364224E-2
1.634967E0,1.594688E-1,-6.374579E-2,1.852422E-1,-9.333981E-2
1.668333E0,1.596952E-1,-6.341398E-2,1.852476E-1,-9.323241E-2
1.701700E0,1.598623E-1,-6.325136E-2,1.853378E-1,-9.296800E-2
1.735067E0,1.601058E-1,-6.318455E-2,1.855622E-1,-9.299820E-2
1.768433E0,1.601811E-1,-6.296058E-2,1.855887E-1,-9.292061E-2
1.801800E0,1.603538E-1,-6.268312E-2,1.856584E-1,-9.270490E-2
1.835167E0,1.607184E-1,-6.238177E-2,1.859139E-1,-9.261682E-2
1.868533E0,1.607075E-1,-6.226061E-2,1.859525E-1,-9.258979E-2
1.901900E0,1.610002E-1,-6.212558E-2,1.859874E-1,-9.238073E-2
1.935267E0,1.612518E-1,-6.181952E-2,1.861209E-1,-9.231505E-2
1.968633E0,1.613860E-1,-6.150243E-2,1.862417E-1,-9.214498E-2
2.002000E0,1.616513E-1,-6.118960E-2,1.865007E-1,-9.196601E-2
2.035367E0,1.618914E-1,-6.105512E-2,1.865868E-1,-9.152279E-2
2.068733E0,1.621122E-1,-6.092408E-2,1.867363E-1,-9.142199E-2
2.102100E0,1.622555E-1,-6.065589E-2,1.868874E-1,-9.113461E-2
2.135467E0,1.625326E-1,-6.037617E-2,1.869050E-1,-9.110614E-2
2.168833E0,1.627643E-1,-6.026863E-2,1.869629E-1,-9.104271E-2
2.202200E0,1.630402E-1,-6.002474E-2,1.870055E-1,-9.093045E-2
2.235567E0,1.631226E-1,-5.977469E-2,1.872794E-1,-9.096396E-2
2.268933E0,1.634376E-1,-5.952696E-2,1.875229E-1,-9.067109E-2
2.302300E0,1.636160E-1,-5.926490E-2,1.876992E-1,-9.060369E-2
2.335667E0,1.639019E-1,-5.911285E-2,1.878085E-1,-9.041404E-2
2.369033E0,1.640706E-1,-5.902943E-2,1.879797E-1,-9.032662E-2
2.402400E0,1.643874E-1,-5.876563E-2,1.880396E-1,-9.034932E-2
2.435767E0,1.646288E-1,-5.862231E-2,1.885009E-1,-9.003350E-2
2.469133E0,1.648778E-1,-5.850717E-2,1.885205E-1,-9.010272E-2
2.502500E0,1.652808E-1,-5.834444E-2,1.887030E-1,-8.990686E-2
2.535867E0,1.655134E-1,-5.797910E-2,1.888100E-1,-8.979056E-2
2.569233E0,1.657905E-1,-5.802765E-2,1.889575E-1,-8.975027E-2
2.602600E0,1.660680E-1,-5.772085E-2,1.893926E-1,-8.932145E-2
2.635967E0,1.664203E-1,-5.771388E-2,1.895380E-1,-8.930982E-2
2.669333E0,1.666760E-1,-5.750563E-2,1.898036E-1,-8.912705E-2
2.702700E0,1.668858E-1,-5.714392E-2,1.897184E-1,-8.921895E-2
2.736067E0,1.670288E-1,-5.701002E-2,1.897502E-1,-8.909787E-2
2.769433E0,1.674202E-1,-5.682166E-2,1.898395E-1,-8.917897E-2
2.802800E0,1.677996E-1,-5.679662E-2,1.898843E-1,-8.891264E-2
2.836167E0,1.680652E-1,-5.669938E-2,1.902667E-1,-8.896725E-2
2.869533E0,1.683202E-1,-5.683621E-2,1.904438E-1,-8.901255E-2
2.902900E0,1.686320E-1,-5.674600E-2,1.905719E-1,-8.899550E-2
2.936267E0,1.689159E-1,-5.672111E-2,1.908592E-1,-8.908349E-2
2.969633E0,1.692243E-1,-5.666220E-2,1.912020E-1,-8.901513E-2
3.003000E0,1.694663E-1,-5.669596E-2,1.912235E-1,-8.905971E-2
3.036367E0,1.697481E-1,-5.663755E-2,1.914681E-1,-8.906705E-2
3.069733E0,1.700998E-1,-5.662918E-2,1.913388E-1,-8.910202E-2
3.103100E0,1.703652E-1,-5.673345E-2,1.919627E-1,-8.901626E-2
3.136467E0,1.706261E-1,-5.671447E-2,1.919694E-1,-8.928090E-2
3.169833E0,1.709391E-1,-5.646684E-2,1.922885E-1,-8.910738E-2
3.203200E0,1.712273E-1,-5.630393E-2,1.923420E-1,-8.898078E-2
3.236567E0,1.715447E-1,-5.625180E-2,1.926891E-1,-8.906710E-2
3.269933E0,1.718974E-1,-5.632834E-2,1.929430E-1,-8.918678E-2
3.303300E0,1.723240E-1,-5.630906E-2,1.932948E-1,-8.914674E-2
3.336667E0,1.725549E-1,-5.611733E-2,1.935511E-1,-8.895868E-2
3.370033E0,1.728664E-1,-5.602882E-2,1.937677E-1,-8.892822E-2
3.403400E0,1.733241E-1,-5.598720E-2,1.940960E-1,-8.902905E-2
3.436767E0,1.736698E-1,-5.586505E-2,1.943758E-1,-8.895916E-2
3.470133E0,1.739653E-1,-5.582697E-2,1.945160E-1,-8.898664E-2
3.503500E0,1.741837E-1,-5.551870E-2,1.949197E-1,-8.858361E-2
3.536867E0,1.742494E-1,-5.521848E-2,1.952627E-1,-8.850423E-2
3.570233E0,1.747299E-1,-5.525371E-2,1.953924E-1,-8.849000E-2
3.603600E0,1.750568E-1,-5.507545E-2,1.955384E-1,-8.835303E-2
3.636967E0,1.754697E-1,-5.505356E-2,1.960608E-1,-8.832722E-2
3.670333E0,1.758320E-1,-5.501103E-2,1.962251E-1,-8.819915E-2
3.703700E0,1.760703E-1,-5.503469E-2,1.968801E-1,-8.819159E-2
3.737067E0,1.763197E-1,-5.479538E-2,1.969712E-1,-8.816810E-2
3.770433E0,1.766392E-1,-5.465443E-2,1.970296E-1,-8.810519E-2
3.803800E0,1.769003E-1,-5.464226E-2,1.977326E-1,-8.813544E-2
3.837167E0,1.770653E-1,-5.445943E-2,1.976471E-1,-8.807575E-2
3.870533E0,1.773048E-1,-5.443895E-2,1.979076E-1,-8.806312E-2
3.903900E0,1.775274E-1,-5.431946E-2,1.979553E-1,-8.779454E-2
3.937267E0,1.777884E-1,-5.424987E-2,1.985441E-1,-8.788324E-2
3.970633E0,1.781128E-1,-5.426554E-2,1.986205E-1,-8.772835E-2
4.004000E0,1.783306E-1,-5.408966E-2,1.986828E-1,-8.777031E-2
4.037367E0,1.786325E-1,-5.405012E-2,1.987419E-1,-8.766443E-2
4.070733E0,1.788700E-1,-5.412788E-2,1.989281E-1,-8.767177E-2
4.104100E0,1.791440E-1,-5.390845E-2,1.993673E-1,-8.766948E-2
4.137467E0,1.793835E-1,-5.395386E-2,1.993631E-1,-8.761893E-2
4.170833E0,1.795167E-1,-5.388821E-2,1.995376E-1,-8.768588E-2
4.204200E0,1.796652E-1,-5.396830E-2,1.994978E-1,-8.765999E-2
4.237567E0,1.799229E-1,-5.385587E-2,1.995359E-1,-8.760486E-2
4.270933E0,1.800043E-1,-5.379218E-2,1.995519E-1,-8.759488E-2
4.304300E0,1.802344E-1,-5.379106E-2,1.995306E-1,-8.773169E-2
4.337667E0,1.803729E-1,-5.377881E-2,1.996139E-1,-8.763344E-2
4.371033E0,1.804718E-1,-5.383395E-2,1.996601E-1,-8.764055E-2
4.404400E0,1.806287E-1,-5.355837E-2,1.996553E-1,-8.781142E-2
4.437767E0,1.808219E-1,-5.344301E-2,2.001079E-1,-8.768876E-2
4.471133E0,1.809151E-1,-5.336152E-2,2.001604E-1,-8.762566E-2
4.504500E0,1.810942E-1,-5.341693E-2,2.002167E-1,-8.763323E-2
4.537867E0,1.811486E-1,-5.334639E-2,2.002436E-1,-8.760220E-2
4.571233E0,1.811444E-1,-5.345666E-2,2.001418E-1,-8.764615E-2
4.604600E0,1.811122E-1,-5.341052E-2,2.002968E-1,-8.740879E-2
4.637967E0,1.810685E-1,-5.330067E-2,2.002208E-1,-8.756416E-2
4.671333E0,1.812014E-1,-5.307874E-2,2.003374E-1,-8.720905E-2
4.704700E0,1.812405E-1,-5.285704E-2,2.001932E-1,-8.734324E-2
4.738067E0,1.813531E-1,-5.264249E-2,2.002780E-1,-8.703060E-2
4.771433E0,1.814398E-1,-5.230272E-2,2.004512E-1,-8.687659E-2
