t,Ax,Ay,Bx,By
0.000000E0,4.064599E-1,-1.991858E-1,4.324628E-1,-2.274066E-1
3.336667E-2,4.064298E-1,-1.992105E-1,4.324695E-1,-2.273897E-1
6.673333E-2,4.064453E-1,-1.992064E-1,4.324680E-1,-2.274022E-1
1.001000E-1,4.064436E-1,-1.991978E-1,4.324677E-1,-2.274020E-1
1.334667E-1,4.064386E-1,-1.992104E-1,4.324640E-1,-2.274008E-1
1.668333E-1,4.064253E-1,-1.992050E-1,4.324784E-1,-2.274050E-1
2.002000E-1,4.064282E-1,-1.992021E-1,4.324742E-1,-2.274129E-1
2.335667E-1,4.064374E-1,-1.992200E-1,4.324776E-1,-2.274136E-1
2.669333E-1,4.064269E-1,-1.991940E-1,4.324600E-1,-2.274293E-1
3.003000E-1,4.064307E-1,-1.991984E-1,4.324693E-1,-2.274179E-1
3.336667E-1,4.064149E-1,-1.992327E-1,4.324475E-1,-2.274333E-1
3.670333E-1,4.064192E-1,-1.992127E-1,4.324657E-1,-2.274197E-1
4.004000E-1,4.064255E-1,-1.992045E-1,4.324470E-1,-2.274063E-1
4.337667E-1,4.064116E-1,-1.992367E-1,4.324581E-1,-2.274149E-1
4.671333E-1,4.064239E-1,-1.992117E-1,4.324485E-1,-2.274258E-1
5.005000E-1,4.064038E-1,-1.992249E-1,4.324494E-1,-2.274146E-1
5.338667E-1,4.064146E-1,-1.992111E-1,4.324544E-1,-2.274354E-1
5.672333E-1,4.064141E-1,-1.992231E-1,4.324478E-1,-2.274234E-1
6.006000E-1,4.064169E-1,-1.992178E-1,4.324554E-1,-2.274104E-1
6.339667E-1,4.064327E-1,-1.992024E-1,4.324480E-1,-2.274142E-1
6.673333E-1,4.064332E-1,-1.991818E-1,4.324592E-1,-2.274054E-1
7.007000E-1,4.064499E-1,-1.991397E-1,4.324399E-1,-2.273895E-1
7.340667E-1,4.064800E-1,-1.991103E-1,4.324663E-1,-2.273673E-1
7.674333E-1,4.065187E-1,-1.990463E-1,4.324612E-1,-2.273093E-1
8.008000E-1,4.065513E-1,-1.990131E-1,4.324614E-1,-2.273032E-1
8.341667E-1,4.065867E-1,-1.988495E-1,4.324950E-1,-2.272632E-1
8.675333E-1,4.067156E-1,-1.986034E-1,4.325059E-1,-2.271592E-1
9.009000E-1,4.069003E-1,-1.983990E-1,4.325298E-1,-2.269322E-1
9.342667E-1,4.070882E-1,-1.980849E-1,4.325964E-1,-2.266987E-1
9.676333E-1,4.072721E-1,-1.977235E-1,4.326394E-1,-2.264472E-1
1.001000E0,4.074882E-1,-1.973355E-1,4.326571E-1,-2.262705E-1
1.034367E0,4.076954E-1,-1.969254E-1,4.327227E-1,-2.258616E-1
1.067733E0,4.080084E-1,-1.964695E-1,4.328654E-1,-2.255588E-1
1.101100E0,4.083125E-1,-1.959903E-1,4.329873E-1,-2.251828E-1
1.134467E0,4.085667E-1,-1.955081E-1,4.331230E-1,-2.248464E-1
1.167833E0,4.089171E-1,-1.949223E-1,4.333238E-1,-2.244601E-1
1.201200E0,4.093078E-1,-1.943582E-1,4.334680E-1,-2.240404E-1
1.234567E0,4.096785E-1,-1.938085E-1,4.336148E-1,-2.235852E-1
1.267933E0,4.099867E-1,-1.932775E-1,4.338650E-1,-2.231758E-1
1.301300E0,4.103229E-1,-1.927082E-1,4.340363E-1,-2.227303E-1
1.334667E0,4.106898E-1,-1.921752E-1,4.342305E-1,-2.223666E-1
1.368033E0,4.110793E-1,-1.916483E-1,4.344172E-1,-2.219254E-1
1.401400E0,4.114847E-1,-1.911521E-1,4.346272E-1,-2.215322E-1
1.434767E0,4.119003E-1,-1.905396E-1,4.348002E-1,-2.211091E-1
1.468133E0,4.123417E-1,-1.899648E-1,4.349626E-1,-2.206547E-1
1.501500E0,4.127390E-1,-1.894257E-1,4.351394E-1,-2.202455E-1
1.534867E0,4.132086E-1,-1.888424E-1,4.352956E-1,-2.198053E-1
1.568233E0,4.136552E-1,-1.882310E-1,4.355120E-1,-2.193570E-1
1.601600E0,4.140914E-1,-1.876662E-1,4.356829E-1,-2.189015E-1
1.634967E0,4.145144E-1,-1.870470E-1,4.358256E-1,-2.184730E-1
1.668333E0,4.149814E-1,-1.864656E-1,4.360536E-1,-2.179805E-1
1.701700E0,4.153792E-1,-1.858919E-1,4.362191E-1,-2.175674E-1
1.735067E0,4.158234E-1,-1.852956E-1,4.364522E-1,-2.170659E-1
