t,Ax,Ay,Bx,By
0.000000E0,1.179568E-1,-4.409339E-2,1.406394E-1,-6.919746E-2
3.336667E-2,1.178963E-1,-4.410046E-2,1.406170E-1,-6.917619E-2
6.673333E-2,1.178992E-1,-4.410648E-2,1.406100E-1,-6.917411E-2
1.001000E-1,1.179021E-1,-4.412968E-2,1.405977E-1,-6.917104E-2
1.334667E-1,1.178960E-1,-4.410485E-2,1.405874E-1,-6.916676E-2
1.668333E-1,1.178912E-1,-4.406751E-2,1.405792E-1,-6.915861E-2
2.002000E-1,1.179078E-1,-4.405968E-2,1.405807E-1,-6.915468E-2
2.335667E-1,1.179177E-1,-4.402041E-2,1.405726E-1,-6.912173E-2
2.669333E-1,1.179350E-1,-4.400346E-2,1.405784E-1,-6.909314E-2
3.003000E-1,1.179864E-1,-4.394331E-2,1.405891E-1,-6.907768E-2
3.336667E-1,1.180032E-1,-4.369797E-2,1.406257E-1,-6.903189E-2
3.670333E-1,1.180474E-1,-4.346790E-2,1.406485E-1,-6.886107E-2
4.004000E-1,1.181579E-1,-4.335176E-2,1.406768E-1,-6.868798E-2
4.337667E-1,1.182700E-1,-4.316105E-2,1.407154E-1,-6.857283E-2
4.671333E-1,1.184348E-1,-4.282164E-2,1.407289E-1,-6.843722E-2
5.005000E-1,1.186525E-1,-4.259413E-2,1.407857E-1,-6.827686E-2
5.338667E-1,1.188785E-1,-4.228371E-2,1.408276E-1,-6.799286E-2
5.672333E-1,1.190955E-1,-4.194314E-2,1.409624E-1,-6.784344E-2
6.006000E-1,1.193629E-1,-4.162362E-2,1.410998E-1,-6.762632E-2
6.339667E-1,1.196496E-1,-4.122975E-2,1.412046E-1,-6.731771E-2
6.673333E-1,1.199384E-1,-4.087261E-2,1.413813E-1,-6.708455E-2
7.007000E-1,1.202828E-1,-4.050942E-2,1.415529E-1,-6.673760E-2
7.340667E-1,1.206454E-1,-4.007747E-2,1.417473E-1,-6.657173E-2
7.674333E-1,1.209897E-1,-3.970568E-2,1.419257E-1,-6.624239E-2
8.008000E-1,1.213138E-1,-3.932714E-2,1.421377E-1,-6.596020E-2
