t,Ax,Ay,Bx,By
0.000000E0,1.323967E-1,-4.931290E-2,1.583261E-1,-7.781954E-2
3.336667E-2,1.324231E-1,-4.931290E-2,1.583107E-1,-7.775857E-2
6.673333E-2,1.324068E-1,-4.924948E-2,1.583128E-1,-7.773849E-2
1.001000E-1,1.323997E-1,-4.920830E-2,1.583159E-1,-7.771097E-2
1.334667E-1,1.324175E-1,-4.915897E-2,1.583179E-1,-7.767899E-2
1.668333E-1,1.324450E-1,-4.911505E-2,1.583068E-1,-7.764047E-2
2.002000E-1,1.324062E-1,-4.896532E-2,1.583140E-1,-7.752260E-2
2.335667E-1,1.324809E-1,-4.873459E-2,1.582940E-1,-7.733185E-2
2.669333E-1,1.325325E-1,-4.855601E-2,1.582850E-1,-7.716517E-2
3.003000E-1,1.326399E-1,-4.840621E-2,1.582785E-1,-7.697428E-2
3.336667E-1,1.327478E-1,-4.803265E-2,1.583284E-1,-7.686929E-2
3.670333E-1,1.329235E-1,-4.772970E-2,1.583692E-1,-7.659983E-2
4.004000E-1,1.330918E-1,-4.742350E-2,1.584182E-1,-7.637934E-2
4.337667E-1,1.333348E-1,-4.701410E-2,1.584867E-1,-7.610692E-2
4.671333E-1,1.335424E-1,-4.661291E-2,1.585336E-1,-7.578130E-2
5.005000E-1,1.338635E-1,-4.613179E-2,1.587078E-1,-7.553146E-2
5.338667E-1,1.341935E-1,-4.570429E-2,1.588560E-1,-7.527399E-2
5.672333E-1,1.344770E-1,-4.528005E-2,1.589677E-1,-7.493464E-2
6.006000E-1,1.348023E-1,-4.485889E-2,1.591683E-1,-7.472840E-2
6.339667E-1,1.351290E-1,-4.449277E-2,1.593602E-1,-7.434852E-2
6.673333E-1,1.355285E-1,-4.405394E-2,1.595719E-1,-7.407539E-2
7.007000E-1,1.358919E-1,-4.366436E-2,1.597560E-1,-7.378827E-2
7.340667E-1,1.363326E-1,-4.320285E-2,1.600155E-1,-7.348818E-2
7.674333E-1,1.367290E-1,-4.278369E-2,1.601753E-1,-7.316413E-2
8.008000E-1,1.370958E-1,-4.229701E-2,1.604307E-1,-7.279095E-2
8.341667E-1,1.374899E-1,-4.179793E-2,1.605777E-1,-7.246004E-2
8.675333E-1,1.379336E-1,-4.130407E-2,1.607795E-1,-7.209649E-2
9.009000E-1,1.382813E-1,-4.071883E-2,1.609502E-1,-7.168876E-2
9.342667E-1,1.387089E-1,-4.010563E-2,1.611376E-1,-7.131781E-2
9.676333E-1,1.390784E-1,-3.950983E-2,1.612822E-1,-7.085029E-2
1.001000E0,1.394723E-1,-3.888577E-2,1.613581E-1,-7.042531E-2
1.034367E0,1.398230E-1,-3.826856E-2,1.615365E-1,-6.993453E-2
1.067733E0,1.402329E-1,-3.761163E-2,1.616484E-1,-6.935811E-2
1.101100E0,1.405206E-1,-3.693950E-2,1.617318E-1,-6.880498E-2
1.134467E0,1.407803E-1,-3.626627E-2,1.618098E-1,-6.824187E-2
1.167833E0,1.410344E-1,-3.555544E-2,1.618946E-1,-6.768214E-2
1.201200E0,1.413282E-1,-3.474879E-2,1.619244E-1,-6.710144E-2
1.234567E0,1.415490E-1,-3.398342E-2,1.619299E-1,-6.648497E-2
1.267933E0,1.417945E-1,-3.328132E-2,1.619179E-1,-6.584570E-2
1.301300E0,1.420069E-1,-3.243968E-2,1.618823E-1,-6.518146E-2
1.334667E0,1.421760E-1,-3.164838E-2,1.618164E-1,-6.447393E-2
1.368033E0,1.422701E-1,-3.085785E-2,1.617516E-1,-6.370267E-2
1.401400E0,1.423820E-1,-3.003302E-2,1.616351E-1,-6.304249E-2
1.434767E0,1.424771E-1,-2.912485E-2,1.614850E-1,-6.224275E-2
1.468133E0,1.425975E-1,-2.818405E-2,1.613315E-1,-6.142651E-2
1.501500E0,1.426950E-1,-2.724116E-2,1.611426E-1,-6.063077E-2
1.534867E0,1.427378E-1,-2.622777E-2,1.609707E-1,-5.974415E-2
1.568233E0,1.427978E-1,-2.519617E-2,1.607606E-1,-5.890947E-2
1.601600E0,1.428465E-1,-2.406685E-2,1.605459E-1,-5.789185E-2
1.634967E0,1.428006E-1,-2.302822E-2,1.602636E-1,-5.701075E-2
1.668333E0,1.427767E-1,-2.191270E-2,1.599817E-1,-5.600944E-2
1.701700E0,1.427356E-1,-2.074222E-2,1.596896E-1,-5.495155E-2
1.735067E0,1.426408E-1,-1.958543E-2,1.592529E-1,-5.393101E-2
1.768433E0,1.425686E-1,-1.832881E-2,1.588393E-1,-5.293315E-2
1.801800E0,1.423435E-1,-1.713159E-2,1.584146E-1,-5.178564E-2
1.835167E0,1.421810E-1,-1.588340E-2,1.579459E-1,-5.069027E-2
1.868533E0,1.420785E-1,-1.461066E-2,1.574925E-1,-4.955177E-2
1.901900E0,1.418497E-1,-1.337525E-2,1.570382E-1,-4.838196E-2
1.935267E0,1.416272E-1,-1.211423E-2,1.565380E-1,-4.725246E-2
1.968633E0,1.412437E-1,-1.088068E-2,1.560364E-1,-4.614681E-2
2.002000E0,1.410019E-1,-9.662771E-3,1.554854E-1,-4.495067E-2
2.035367E0,1.407862E-1,-8.354698E-3,1.549736E-1,-4.373773E-2
2.068733E0,1.404934E-1,-7.062411E-3,1.544800E-1,-4.255519E-2
2.102100E0,1.401842E-1,-5.763389E-3,1.539138E-1,-4.132435E-2
2.135467E0,1.397285E-1,-4.428553E-3,1.534099E-1,-4.003178E-2
2.168833E0,1.394555E-1,-3.186976E-3,1.529573E-1,-3.872255E-2
2.202200E0,1.391549E-1,-1.784275E-3,1.524792E-1,-3.742817E-2
2.235567E0,1.387194E-1,-3.856341E-4,1.518904E-1,-3.607439E-2
2.268933E0,1.382028E-1,1.103115E-3,1.513709E-1,-3.461845E-2
2.302300E0,1.379131E-1,2.647190E-3,1.508438E-1,-3.315817E-2
2.335667E0,1.373869E-1,4.231912E-3,1.501747E-1,-3.161572E-2
2.369033E0,1.368650E-1,5.806727E-3,1.495270E-1,-3.002784E-2
2.402400E0,1.361346E-1,7.567695E-3,1.488589E-1,-2.839548E-2
2.435767E0,1.355644E-1,9.274695E-3,1.480523E-1,-2.667292E-2
2.469133E0,1.348446E-1,1.113966E-2,1.471826E-1,-2.497488E-2
2.502500E0,1.341122E-1,1.305451E-2,1.462755E-1,-2.311424E-2
2.535867E0,1.333698E-1,1.510385E-2,1.453940E-1,-2.121193E-2
2.569233E0,1.326138E-1,1.722477E-2,1.444548E-1,-1.919227E-2
2.602600E0,1.318063E-1,1.936981E-2,1.433650E-1,-1.712004E-2
2.635967E0,1.309289E-1,2.158102E-2,1.422026E-1,-1.499221E-2
2.669333E0,1.300055E-1,2.390804E-2,1.410755E-1,-1.262422E-2
2.702700E0,1.291673E-1,2.642271E-2,1.399705E-1,-1.011306E-2
2.736067E0,1.281744E-1,2.917920E-2,1.388783E-1,-7.545674E-3
2.769433E0,1.270665E-1,3.181322E-2,1.376262E-1,-4.953671E-3
2.802800E0,1.260862E-1,3.477356E-2,1.363838E-1,-2.124168E-3
2.836167E0,1.248850E-1,3.776461E-2,1.349795E-1,9.651567E-4
2.869533E0,1.237238E-1,4.089016E-2,1.333897E-1,4.165456E-3
2.902900E0,1.225161E-1,4.405133E-2,1.318094E-1,7.441450E-3
2.936267E0,1.212726E-1,4.726232E-2,1.302068E-1,1.074798E-2
2.969633E0,1.198289E-1,5.081699E-2,1.285025E-1,1.417352E-2
3.003000E0,1.183511E-1,5.421383E-2,1.268717E-1,1.754893E-2
3.036367E0,1.170132E-1,5.796430E-2,1.251475E-1,2.113658E-2
3.069733E0,1.155930E-1,6.145989E-2,1.232627E-1,2.481073E-2
3.103100E0,1.140443E-1,6.524449E-2,1.214661E-1,2.852799E-2
3.136467E0,1.126386E-1,6.910560E-2,1.196508E-1,3.224460E-2
3.169833E0,1.112697E-1,7.260015E-2,1.177581E-1,3.603565E-2
3.203200E0,1.098611E-1,7.627155E-2,1.157554E-1,3.941696E-2
3.236567E0,1.084005E-1,7.957481E-2,1.136948E-1,4.299733E-2
3.269933E0,1.069176E-1,8.317166E-2,1.117145E-1,4.639891E-2
3.303300E0,1.054573E-1,8.686135E-2,1.100195E-1,4.979962E-2
3.336667E0,1.041929E-1,9.020677E-2,1.081215E-1,5.348264E-2
3.370033E0,1.028974E-1,9.343926E-2,1.064195E-1,5.676322E-2
3.403400E0,1.014679E-1,9.699907E-2,1.046873E-1,6.012893E-2
3.436767E0,1.001144E-1,1.000787E-1,1.028561E-1,6.323779E-2
3.470133E0,9.862270E-2,1.035892E-1,1.010517E-1,6.648981E-2
3.503500E0,9.723464E-2,1.066677E-1,9.906273E-2,6.981043E-2
3.536867E0,9.590047E-2,1.101239E-1,9.726083E-2,7.296120E-2
3.570233E0,9.444504E-2,1.130359E-1,9.541530E-2,7.622373E-2
3.603600E0,9.305817E-2,1.162538E-1,9.345289E-2,7.937157E-2
3.636967E0,9.171328E-2,1.190286E-1,9.163957E-2,8.212303E-2
3.670333E0,9.039464E-2,1.221322E-1,8.971021E-2,8.528340E-2
3.703700E0,8.906755E-2,1.248701E-1,8.795968E-2,8.838670E-2
3.737067E0,8.772335E-2,1.275790E-1,8.598965E-2,9.141801E-2
3.770433E0,8.622357E-2,1.305309E-1,8.413412E-2,9.408250E-2
3.803800E0,8.498054E-2,1.331252E-1,8.230286E-2,9.703557E-2
3.837167E0,8.355786E-2,1.359502E-1,8.037943E-2,9.985921E-2
3.870533E0,8.227763E-2,1.384104E-1,7.849744E-2,1.024302E-1
3.903900E0,8.078741E-2,1.410490E-1,7.675757E-2,1.051758E-1
3.937267E0,7.943817E-2,1.433944E-1,7.477902E-2,1.078253E-1
3.970633E0,7.810833E-2,1.457105E-1,7.278661E-2,1.104747E-1
4.004000E0,7.672557E-2,1.482127E-1,7.090852E-2,1.130579E-1
4.037367E0,7.532846E-2,1.504298E-1,6.903761E-2,1.153322E-1
4.070733E0,7.393387E-2,1.528163E-1,6.716304E-2,1.178413E-1
4.104100E0,7.263169E-2,1.548744E-1,6.525001E-2,1.202237E-1
4.137467E0,7.126443E-2,1.571360E-1,6.332360E-2,1.226457E-1
4.170833E0,6.986727E-2,1.590685E-1,6.134829E-2,1.249851E-1
4.204200E0,6.829726E-2,1.611893E-1,5.940112E-2,1.270891E-1
4.237567E0,6.704931E-2,1.630241E-1,5.762759E-2,1.294251E-1
4.270933E0,6.556022E-2,1.650397E-1,5.565066E-2,1.315707E-1
4.304300E0,6.402535E-2,1.669987E-1,5.377676E-2,1.337471E-1
4.337667E0,6.265279E-2,1.685733E-1,5.185020E-2,1.356068E-1
4.371033E0,6.109169E-2,1.704445E-1,4.999297E-2,1.376946E-1
4.404400E0,5.964463E-2,1.722169E-1,4.804590E-2,1.396629E-1
4.437767E0,5.798023E-2,1.739257E-1,4.611646E-2,1.416522E-1
4.471133E0,5.668405E-2,1.753687E-1,4.412769E-2,1.435481E-1
4.504500E0,5.520140E-2,1.769851E-1,4.229913E-2,1.452348E-1
4.537867E0,5.366381E-2,1.785789E-1,4.031143E-2,1.470192E-1
4.571233E0,5.211557E-2,1.801005E-1,3.849799E-2,1.488477E-1
4.604600E0,5.068158E-2,1.812666E-1,3.660300E-2,1.505523E-1
4.637967E0,4.911676E-2,1.827699E-1,3.455360E-2,1.522420E-1
4.671333E0,4.768760E-2,1.841337E-1,3.277540E-2,1.537029E-1
4.704700E0,4.605601E-2,1.854787E-1,3.085072E-2,1.552769E-1
4.738067E0,4.468803E-2,1.864692E-1,2.893178E-2,1.568448E-1
4.771433E0,4.322626E-2,1.877525E-1,2.697113E-2,1.583146E-1
4.804800E0,4.166805E-2,1.888964E-1,2.500265E-2,1.597959E-1
4.838167E0,4.011956E-2,1.900181E-1,2.310687E-2,1.612375E-1
4.871533E0,3.853264E-2,1.911045E-1,2.121000E-2,1.623739E-1
4.904900E0,3.705084E-2,1.918585E-1,1.933203E-2,1.637045E-1
4.938267E0,3.564273E-2,1.928256E-1,1.746132E-2,1.649140E-1
4.971633E0,3.417334E-2,1.937096E-1,1.547900E-2,1.662121E-1
5.005000E0,3.267564E-2,1.943048E-1,1.369296E-2,1.672304E-1
5.038367E0,3.121057E-2,1.951343E-1,1.181305E-2,1.683677E-1
5.071733E0,2.969835E-2,1.958506E-1,9.913207E-3,1.694708E-1
5.105100E0,2.823113E-2,1.964752E-1,8.045045E-3,1.703917E-1
5.138467E0,2.675325E-2,1.968321E-1,6.085508E-3,1.713131E-1
5.171833E0,2.527442E-2,1.972853E-1,4.216848E-3,1.722703E-1
5.205200E0,2.376407E-2,1.976273E-1,2.283625E-3,1.731256E-1
5.238567E0,2.216837E-2,1.979488E-1,3.327622E-4,1.739272E-1
5.271933E0,2.062120E-2,1.981842E-1,-1.670655E-3,1.746234E-1
5.305300E0,1.899436E-2,1.983315E-1,-3.695285E-3,1.753358E-1
5.338667E0,1.740642E-2,1.983602E-1,-5.687833E-3,1.759838E-1
5.372033E0,1.577284E-2,1.984043E-1,-7.755960E-3,1.764745E-1
5.405400E0,1.410355E-2,1.983951E-1,-9.751589E-3,1.770109E-1
5.438767E0,1.246776E-2,1.983233E-1,-1.175238E-2,1.775195E-1
5.472133E0,1.083557E-2,1.981757E-1,-1.378068E-2,1.779048E-1
5.505500E0,9.143974E-3,1.979139E-1,-1.582806E-2,1.782534E-1
5.538867E0,7.439671E-3,1.977906E-1,-1.786118E-2,1.785189E-1
5.572233E0,5.694885E-3,1.974599E-1,-1.981827E-2,1.788289E-1
5.605600E0,3.990305E-3,1.970674E-1,-2.184551E-2,1.789942E-1
5.638967E0,2.290461E-3,1.968890E-1,-2.387565E-2,1.791566E-1
5.672333E0,4.927405E-4,1.964863E-1,-2.589377E-2,1.793813E-1
5.705700E0,-1.287760E-3,1.961777E-1,-2.791387E-2,1.794644E-1
5.739067E0,-3.050058E-3,1.958113E-1,-2.994506E-2,1.795553E-1
5.772433E0,-4.790972E-3,1.954181E-1,-3.196288E-2,1.795593E-1
5.805800E0,-6.615305E-3,1.951233E-1,-3.398920E-2,1.795187E-1
5.839167E0,-8.428741E-3,1.946149E-1,-3.599243E-2,1.794647E-1
5.872533E0,-1.017977E-2,1.942650E-1,-3.800244E-2,1.793453E-1
5.905900E0,-1.201999E-2,1.937132E-1,-4.002424E-2,1.792340E-1
5.939267E0,-1.382222E-2,1.931813E-1,-4.207600E-2,1.790468E-1
5.972633E0,-1.563809E-2,1.925543E-1,-4.407729E-2,1.787463E-1
6.006000E0,-1.740421E-2,1.920135E-1,-4.607453E-2,1.784667E-1
6.039367E0,-1.923059E-2,1.912373E-1,-4.812900E-2,1.782194E-1
6.072733E0,-2.111888E-2,1.904801E-1,-5.018986E-2,1.777788E-1
6.106100E0,-2.296821E-2,1.898110E-1,-5.223674E-2,1.773118E-1
6.139467E0,-2.476953E-2,1.889216E-1,-5.430711E-2,1.769583E-1
6.172833E0,-2.663031E-2,1.882080E-1,-5.637367E-2,1.764367E-1
6.206200E0,-2.835155E-2,1.872304E-1,-5.833158E-2,1.758336E-1
6.239567E0,-3.012329E-2,1.863483E-1,-6.040036E-2,1.752519E-1
6.272933E0,-3.203754E-2,1.853048E-1,-6.236635E-2,1.745084E-1
6.306300E0,-3.393004E-2,1.841754E-1,-6.445380E-2,1.738679E-1
6.339667E0,-3.573537E-2,1.832452E-1,-6.648609E-2,1.731106E-1
6.373033E0,-3.758880E-2,1.819614E-1,-6.857440E-2,1.722064E-1
6.406400E0,-3.950668E-2,1.807860E-1,-7.070139E-2,1.714007E-1
6.439767E0,,,-7.281239E-2,1.705685E-1
6.473133E0,,,-7.501268E-2,1.696243E-1
6.506500E0,,,-7.713890E-2,1.686920E-1
6.539867E0,,,-7.936003E-2,1.676168E-1
6.573233E0,,,-8.150056E-2,1.666499E-1
6.606600E0,,,-8.374684E-2,1.655492E-1
6.639967E0,,,-8.604599E-2,1.643775E-1
6.673333E0,,,-8.816396E-2,1.633334E-1
6.706700E0,,,-9.054609E-2,1.620922E-1
6.740067E0,,,-9.267896E-2,1.609799E-1
6.773433E0,,,-9.506619E-2,1.597076E-1
6.806800E0,,,-9.727621E-2,1.583714E-1
6.840167E0,,,-9.958256E-2,1.570152E-1
6.873533E0,,,-1.019496E-1,1.556685E-1
6.906900E0,,,-1.041042E-1,1.542954E-1
6.940267E0,,,-1.064707E-1,1.528801E-1
6.973633E0,,,-1.086343E-1,1.514740E-1
7.007000E0,,,-1.109419E-1,1.499336E-1
7.040367E0,,,-1.132112E-1,1.482953E-1
7.073733E0,,,-1.155239E-1,1.466946E-1
7.107100E0,,,-1.177773E-1,1.451272E-1
7.140467E0,,,-1.199661E-1,1.434294E-1
7.173833E0,,,-1.223928E-1,1.416596E-1
7.207200E0,,,-1.245840E-1,1.399283E-1
7.240567E0,,,-1.269324E-1,1.381008E-1
7.273933E0,,,-1.292549E-1,1.362016E-1
7.307300E0,,,-1.316138E-1,1.342222E-1
7.340667E0,,,-1.337603E-1,1.323636E-1
7.374033E0,,,-1.362711E-1,1.301649E-1
7.407400E0,,,-1.385093E-1,1.282689E-1
7.440767E0,,,-1.407627E-1,1.260445E-1
7.474133E0,,,-1.430268E-1,1.239002E-1
7.507500E0,,,-1.454492E-1,1.217176E-1
7.540867E0,,,-1.478625E-1,1.194921E-1
7.574233E0,,,-1.501050E-1,1.172763E-1
7.607600E0,,,-1.524315E-1,1.149485E-1
7.640967E0,,,-1.546767E-1,1.125215E-1
7.674333E0,,,-1.570164E-1,1.101186E-1
7.707700E0,,,-1.592755E-1,1.077297E-1
7.741067E0,,,-1.615558E-1,1.052053E-1
