elapsed,encpos1,encpos2,encpos1_zero,encpos2_zero
0.0,8980.0,10102.0,-5608,28480
16.0,8296.0,9698.0,-5608,28480
32.0,7440.0,9528.0,-5608,28480
48.0,6556.0,9510.0,-5608,28480
64.0,5728.0,9524.0,-5608,28480
80.0,5032.0,9514.0,-5608,28480
96.0,4408.0,9524.0,-5608,28480
112.0,3812.0,9520.0,-5608,28480
128.0,3612.0,9518.0,-5608,28480
144.0,3596.0,9520.0,-5608,28480
160.0,3600.0,9514.0,-5608,28480
176.0,3612.0,9530.0,-5608,28480
192.0,3600.0,9520.0,-5608,28480
208.0,3580.0,9526.0,-5608,28480
224.0,3532.0,9614.0,-5608,28480
240.0,3284.0,9832.0,-5608,28480
256.0,3092.0,10134.0,-5608,28480
272.0,3044.0,10526.0,-5608,28480
288.0,2896.0,11072.0,-5608,28480
304.0,2764.0,11894.0,-5608,28480
320.0,2244.0,12630.0,-5608,28480
336.0,1708.0,13294.0,-5608,28480
352.0,1636.0,13990.0,-5608,28480
368.0,1376.0,14752.0,-5608,28480
384.0,1156.0,15656.0,-5608,28480
400.0,1156.0,16412.0,-5608,28480
416.0,1060.0,17034.0,-5608,28480
432.0,760.0,17590.0,-5608,28480
448.0,616.0,18220.0,-5608,28480
464.0,556.0,18748.0,-5608,28480
480.0,500.0,19258.0,-5608,28480
496.0,524.0,19922.0,-5608,28480
512.0,512.0,20714.0,-5608,28480
528.0,532.0,21478.0,-5608,28480
544.0,500.0,22316.0,-5608,28480
560.0,524.0,23142.0,-5608,28480
576.0,524.0,23904.0,-5608,28480
592.0,668.0,24510.0,-5608,28480
608.0,1288.0,24922.0,-5608,28480
624.0,1800.0,25326.0,-5608,28480
640.0,2472.0,25876.0,-5608,28480
656.0,3400.0,26610.0,-5608,28480
672.0,4276.0,27188.0,-5608,28480
688.0,4336.0,27268.0,-5608,28480
704.0,4360.0,27286.0,-5608,28480
720.0,4352.0,27274.0,-5608,28480
736.0,4360.0,27286.0,-5608,28480
752.0,4376.0,27310.0,-5608,28480
768.0,4492.0,27380.0,-5608,28480
784.0,4540.0,27418.0,-5608,28480
800.0,4576.0,27436.0,-5608,28480
816.0,4588.0,27432.0,-5608,28480
832.0,4744.0,27436.0,-5608,28480
848.0,6280.0,27434.0,-5608,28480
864.0,8128.0,27430.0,-5608,28480
880.0,10192.0,27466.0,-5608,28480
896.0,10772.0,27482.0,-5608,28480
912.0,10756.0,27482.0,-5608,28480
928.0,10760.0,27480.0,-5608,28480
944.0,10788.0,27482.0,-5608,28480
960.0,10780.0,27462.0,-5608,28480
976.0,10752.0,27034.0,-5608,28480
992.0,10772.0,26626.0,-5608,28480
1008.0,10764.0,26198.0,-5608,28480
1024.0,10784.0,25340.0,-5608,28480
1040.0,10768.0,24608.0,-5608,28480
1056.0,10768.0,23968.0,-5608,28480
1072.0,10776.0,23310.0,-5608,28480
1088.0,10760.0,22650.0,-5608,28480
1104.0,10776.0,21914.0,-5608,28480
1120.0,10764.0,21618.0,-5608,28480
1136.0,10756.0,21088.0,-5608,28480
1152.0,10768.0,20362.0,-5608,28480
1168.0,10776.0,19660.0,-5608,28480
1184.0,10784.0,18930.0,-5608,28480
1200.0,10784.0,18214.0,-5608,28480
1216.0,10764.0,17336.0,-5608,28480
1232.0,10764.0,16404.0,-5608,28480
1248.0,10780.0,15400.0,-5608,28480
1264.0,10780.0,14636.0,-5608,28480
1280.0,10784.0,13826.0,-5608,28480
1296.0,10792.0,13318.0,-5608,28480
1312.0,10784.0,12794.0,-5608,28480
1328.0,10760.0,12330.0,-5608,28480
1344.0,10768.0,11874.0,-5608,28480
1360.0,10728.0,11422.0,-5608,28480
1376.0,10696.0,10886.0,-5608,28480
1392.0,10668.0,10380.0,-5608,28480
1408.0,10456.0,10016.0,-5608,28480
1424.0,10008.0,9766.0,-5608,28480
1440.0,9748.0,9660.0,-5608,28480
1456.0,8956.0,9622.0,-5608,28480
