micros,encoder
2904.00,	 16383.0000000000
6332.00,	 16381.0000000000
9748.00,	 0.0000000000
13040.00,	 16382.0000000000
16520.00,	 3.0000000000
19832.00,	 0.0000000000
23172.00,	 1.0000000000
26484.00,	 0.0000000000
29836.00,	 0.0000000000
33176.00,	 16383.0000000000
36652.00,	 0.0000000000
40004.00,	 1.0000000000
43316.00,	 0.0000000000
46656.00,	 1.0000000000
49968.00,	 0.0000000000
53324.00,	 0.0000000000
56668.00,	 16383.0000000000
60144.00,	 1.0000000000
63460.00,	 1.0000000000
66780.00,	 0.0000000000
70124.00,	 0.0000000000
73468.00,	 0.0000000000
76828.00,	 0.0000000000
80168.00,	 2.0000000000
83484.00,	 0.0000000000
86840.00,	 1.0000000000
90168.00,	 0.0000000000
93512.00,	 16380.0000000000
96992.00,	 0.0000000000
100348.00,	 0.0000000000
103744.00,	 16383.0000000000
107264.00,	 4.0000000000
110644.00,	 0.0000000000
114032.00,	 1.0000000000
117404.00,	 1.0000000000
120776.00,	 16383.0000000000
124304.00,	 1.0000000000
127676.00,	 16383.0000000000
131224.00,	 1.0000000000
134564.00,	 16383.0000000000
138080.00,	 16383.0000000000
141592.00,	 16383.0000000000
145096.00,	 2.0000000000
148440.00,	 1.0000000000
151784.00,	 0.0000000000
155160.00,	 1.0000000000
158508.00,	 1.0000000000
161860.00,	 2.0000000000
165196.00,	 16383.0000000000
168708.00,	 1.0000000000
172060.00,	 16381.0000000000
175556.00,	 3.0000000000
178908.00,	 16383.0000000000
182424.00,	 16383.0000000000
185920.00,	 1.0000000000
189268.00,	 2.0000000000
192620.00,	 0.0000000000
195988.00,	 1.0000000000
199332.00,	 2.0000000000
202680.00,	 16383.0000000000
206196.00,	 1.0000000000
209536.00,	 0.0000000000
212916.00,	 2.0000000000
216268.00,	 16383.0000000000
219768.00,	 1.0000000000
223116.00,	 1.0000000000
226468.00,	 0.0000000000
229836.00,	 2.0000000000
233188.00,	 1.0000000000
236536.00,	 0.0000000000
239916.00,	 16383.0000000000
243420.00,	 16381.0000000000
246944.00,	 16382.0000000000
250448.00,	 16383.0000000000
253964.00,	 0.0000000000
257344.00,	 0.0000000000
260724.00,	 1.0000000000
264072.00,	 1.0000000000
267436.00,	 2.0000000000
270776.00,	 16383.0000000000
274288.00,	 16383.0000000000
277800.00,	 3.0000000000
281140.00,	 0.0000000000
284524.00,	 1.0000000000
287876.00,	 1.0000000000
291216.00,	 1.0000000000
294556.00,	 1.0000000000
297904.00,	 0.0000000000
301284.00,	 2.0000000000
304632.00,	 16383.0000000000
308144.00,	 0.0000000000
311524.00,	 0.0000000000
314900.00,	 1.0000000000
318252.00,	 3.0000000000
321604.00,	 1.0000000000
324940.00,	 2.0000000000
328288.00,	 16383.0000000000
331804.00,	 0.0000000000
335176.00,	 16383.0000000000
338680.00,	 1.0000000000
342028.00,	 1.0000000000
345368.00,	 16383.0000000000
348872.00,	 1.0000000000
352216.00,	 16383.0000000000
355724.00,	 1.0000000000
359064.00,	 0.0000000000
362444.00,	 2.0000000000
365792.00,	 1.0000000000
369148.00,	 1.0000000000
372500.00,	 1.0000000000
375852.00,	 16383.0000000000
379356.00,	 4.0000000000
382704.00,	 0.0000000000
386088.00,	 16383.0000000000
389592.00,	 16383.0000000000
393100.00,	 2.0000000000
396464.00,	 0.0000000000
399832.00,	 16383.0000000000
403344.00,	 1.0000000000
406696.00,	 1.0000000000
410048.00,	 16383.0000000000
413560.00,	 16383.0000000000
417076.00,	 0.0000000000
420444.00,	 0.0000000000
423824.00,	 0.0000000000
427204.00,	 1.0000000000
430544.00,	 0.0000000000
433924.00,	 1.0000000000
437276.00,	 0.0000000000
440644.00,	 0.0000000000
444012.00,	 1.0000000000
447360.00,	 0.0000000000
450740.00,	 0.0000000000
454108.00,	 0.0000000000
457484.00,	 2.0000000000
460836.00,	 16383.0000000000
464340.00,	 0.0000000000
467716.00,	 16383.0000000000
471232.00,	 16383.0000000000
474744.00,	 0.0000000000
478120.00,	 0.0000000000
481504.00,	 0.0000000000
484880.00,	 2.0000000000
488228.00,	 2.0000000000
491580.00,	 2.0000000000
494920.00,	 0.0000000000
498292.00,	 1.0000000000
501640.00,	 1.0000000000
504992.00,	 2.0000000000
508332.00,	 16382.0000000000
511848.00,	 0.0000000000
515244.00,	 0.0000000000
518624.00,	 1.0000000000
521976.00,	 0.0000000000
525360.00,	 1.0000000000
528708.00,	 0.0000000000
532076.00,	 1.0000000000
535424.00,	 16383.0000000000
538936.00,	 0.0000000000
542304.00,	 2.0000000000
545652.00,	 0.0000000000
549032.00,	 0.0000000000
552404.00,	 0.0000000000
555784.00,	 2.0000000000
559136.00,	 1.0000000000
562476.00,	 2.0000000000
565816.00,	 0.0000000000
569196.00,	 2.0000000000
572552.00,	 16383.0000000000
576056.00,	 2.0000000000
579404.00,	 1.0000000000
582756.00,	 0.0000000000
586124.00,	 16383.0000000000
589628.00,	 2.0000000000
592980.00,	 0.0000000000
596348.00,	 16383.0000000000
599852.00,	 1.0000000000
603204.00,	 4.0000000000
606544.00,	 1.0000000000
609896.00,	 1.0000000000
613244.00,	 1.0000000000
616600.00,	 0.0000000000
619972.00,	 0.0000000000
623352.00,	 0.0000000000
626744.00,	 0.0000000000
630112.00,	 1.0000000000
