t,Ax,Ay,Bx,By
0.000000E0,3.728116E-1,-1.757102E-1,4.013768E-1,-2.014042E-1
3.336667E-2,3.728808E-1,-1.757216E-1,4.013394E-1,-2.013843E-1
6.673333E-2,3.728134E-1,-1.757562E-1,4.013001E-1,-2.015597E-1
1.001000E-1,3.728925E-1,-1.757327E-1,4.014168E-1,-2.013601E-1
1.334667E-1,3.728167E-1,-1.756872E-1,4.013359E-1,-2.015659E-1
1.668333E-1,3.728701E-1,-1.757448E-1,4.013624E-1,-2.014226E-1
2.002000E-1,3.728350E-1,-1.757366E-1,4.012841E-1,-2.014262E-1
2.335667E-1,3.727691E-1,-1.756751E-1,4.013983E-1,-2.013492E-1
2.669333E-1,3.727852E-1,-1.757374E-1,4.013590E-1,-2.013370E-1
3.003000E-1,3.728857E-1,-1.756490E-1,4.012817E-1,-2.014544E-1
3.336667E-1,3.728213E-1,-1.757093E-1,4.013723E-1,-2.013989E-1
3.670333E-1,3.728640E-1,-1.757277E-1,4.013478E-1,-2.013093E-1
4.004000E-1,3.727802E-1,-1.757655E-1,4.013624E-1,-2.014347E-1
4.337667E-1,3.728310E-1,-1.757605E-1,4.013294E-1,-2.014792E-1
4.671333E-1,3.728309E-1,-1.757115E-1,4.013730E-1,-2.013263E-1
5.005000E-1,3.729020E-1,-1.756502E-1,4.013784E-1,-2.014718E-1
5.338667E-1,3.728128E-1,-1.757599E-1,4.014119E-1,-2.013652E-1
5.672333E-1,3.728211E-1,-1.756863E-1,4.013572E-1,-2.014183E-1
6.006000E-1,3.728140E-1,-1.757467E-1,4.012952E-1,-2.013968E-1
6.339667E-1,3.728821E-1,-1.757027E-1,4.013650E-1,-2.013503E-1
6.673333E-1,3.729490E-1,-1.757100E-1,4.013706E-1,-2.014796E-1
7.007000E-1,3.728628E-1,-1.757037E-1,4.013916E-1,-2.013229E-1
7.340667E-1,3.728792E-1,-1.756632E-1,4.013279E-1,-2.013728E-1
7.674333E-1,3.728543E-1,-1.756898E-1,4.013771E-1,-2.014641E-1
8.008000E-1,3.728327E-1,-1.757112E-1,4.014756E-1,-2.014654E-1
8.341667E-1,3.728215E-1,-1.757286E-1,4.013740E-1,-2.014835E-1
8.675333E-1,3.728725E-1,-1.756746E-1,4.014625E-1,-2.014717E-1
9.009000E-1,3.728823E-1,-1.757223E-1,4.013986E-1,-2.015376E-1
9.342667E-1,3.728545E-1,-1.757177E-1,4.014696E-1,-2.013857E-1
