t,Bx,By,Ax,Ay
0.000000E0,1.771400E-1,-9.748622E-2,1.471734E-1,-6.959941E-2
3.336667E-2,1.771975E-1,-9.747857E-2,1.471648E-1,-6.957442E-2
6.673333E-2,1.771409E-1,-9.743119E-2,1.471687E-1,-6.957213E-2
1.001000E-1,1.771722E-1,-9.745273E-2,1.472075E-1,-6.959931E-2
1.334667E-1,1.771418E-1,-9.744465E-2,1.471430E-1,-6.961144E-2
1.668333E-1,1.771538E-1,-9.743190E-2,1.471860E-1,-6.958490E-2
2.002000E-1,1.770666E-1,-9.745948E-2,1.471174E-1,-6.957314E-2
2.335667E-1,1.771105E-1,-9.743978E-2,1.471591E-1,-6.959977E-2
2.669333E-1,1.772331E-1,-9.741373E-2,1.471371E-1,-6.967605E-2
3.003000E-1,1.770667E-1,-9.752428E-2,1.471510E-1,-6.958730E-2
3.336667E-1,1.771693E-1,-9.749408E-2,1.472309E-1,-6.957639E-2
3.670333E-1,1.770995E-1,-9.745728E-2,1.473098E-1,-6.962941E-2
4.004000E-1,1.771219E-1,-9.743058E-2,1.471296E-1,-6.963829E-2
4.337667E-1,1.771731E-1,-9.751644E-2,1.471802E-1,-6.965211E-2
4.671333E-1,1.770891E-1,-9.739955E-2,1.471399E-1,-6.959059E-2
5.005000E-1,1.771572E-1,-9.744116E-2,1.471571E-1,-6.958149E-2
5.338667E-1,1.771543E-1,-9.742934E-2,1.471049E-1,-6.953220E-2
5.672333E-1,1.771624E-1,-9.742841E-2,1.470773E-1,-6.955379E-2
6.006000E-1,1.771108E-1,-9.746774E-2,1.471229E-1,-6.952637E-2
6.339667E-1,1.771356E-1,-9.746505E-2,1.471856E-1,-6.951347E-2
6.673333E-1,1.771863E-1,-9.744578E-2,1.470686E-1,-6.946635E-2
7.007000E-1,1.770845E-1,-9.740407E-2,1.471951E-1,-6.941831E-2
7.340667E-1,1.769584E-1,-9.739715E-2,1.471841E-1,-6.946928E-2
7.674333E-1,1.770819E-1,-9.743598E-2,1.471602E-1,-6.940727E-2
8.008000E-1,1.771829E-1,-9.739857E-2,1.472356E-1,-6.941792E-2
8.341667E-1,1.771069E-1,-9.732581E-2,1.471899E-1,-6.939623E-2
8.675333E-1,1.771633E-1,-9.734382E-2,1.472164E-1,-6.923604E-2
9.009000E-1,1.772417E-1,-9.724381E-2,1.473209E-1,-6.910587E-2
9.342667E-1,1.772349E-1,-9.699051E-2,1.473806E-1,-6.896405E-2
9.676333E-1,1.771340E-1,-9.687835E-2,1.473506E-1,-6.874880E-2
1.001000E0,1.771283E-1,-9.672729E-2,1.472999E-1,-6.834612E-2
1.034367E0,1.771272E-1,-9.666146E-2,1.475573E-1,-6.833282E-2
1.067733E0,1.770980E-1,-9.650506E-2,1.477116E-1,-6.821030E-2
1.101100E0,1.773058E-1,-9.641167E-2,1.477257E-1,-6.802635E-2
1.134467E0,1.772666E-1,-9.626970E-2,1.478517E-1,-6.787037E-2
1.167833E0,1.773269E-1,-9.598141E-2,1.478183E-1,-6.732952E-2
1.201200E0,1.772629E-1,-9.573839E-2,1.481071E-1,-6.716320E-2
1.234567E0,1.773026E-1,-9.561886E-2,1.481513E-1,-6.709506E-2
1.267933E0,1.772629E-1,-9.545707E-2,1.482394E-1,-6.684981E-2
1.301300E0,1.773241E-1,-9.525009E-2,1.484576E-1,-6.651044E-2
1.334667E0,1.773695E-1,-9.515831E-2,1.485215E-1,-6.631011E-2
1.368033E0,1.774410E-1,-9.496661E-2,1.486924E-1,-6.623527E-2
1.401400E0,1.774202E-1,-9.485434E-2,1.489068E-1,-6.589248E-2
1.434767E0,1.776604E-1,-9.459253E-2,1.489185E-1,-6.547176E-2
1.468133E0,1.777118E-1,-9.458824E-2,1.491338E-1,-6.521508E-2
1.501500E0,1.777239E-1,-9.442232E-2,1.493570E-1,-6.516738E-2
1.534867E0,1.778514E-1,-9.429494E-2,1.494985E-1,-6.496533E-2
1.568233E0,1.780244E-1,-9.404873E-2,1.495971E-1,-6.455214E-2
1.601600E0,1.780520E-1,-9.367390E-2,1.498822E-1,-6.429154E-2
1.634967E0,1.780797E-1,-9.356675E-2,1.499551E-1,-6.419208E-2
1.668333E0,1.780770E-1,-9.347026E-2,1.502044E-1,-6.403742E-2
1.701700E0,1.783566E-1,-9.344138E-2,1.504300E-1,-6.358071E-2
1.735067E0,1.783843E-1,-9.309707E-2,1.506279E-1,-6.330905E-2
1.768433E0,1.783769E-1,-9.307149E-2,1.507444E-1,-6.315978E-2
1.801800E0,1.786173E-1,-9.295615E-2,1.510833E-1,-6.312350E-2
1.835167E0,1.786084E-1,-9.278446E-2,1.512126E-1,-6.284328E-2
1.868533E0,1.788304E-1,-9.265523E-2,1.513400E-1,-6.256395E-2
1.901900E0,1.788162E-1,-9.266339E-2,1.515671E-1,-6.236126E-2
1.935267E0,1.788904E-1,-9.230527E-2,1.517942E-1,-6.227840E-2
1.968633E0,1.789431E-1,-9.220041E-2,1.519851E-1,-6.196073E-2
2.002000E0,1.793651E-1,-9.191471E-2,1.521247E-1,-6.161294E-2
2.035367E0,1.793394E-1,-9.185690E-2,1.523052E-1,-6.124949E-2
2.068733E0,1.794293E-1,-9.167670E-2,1.525880E-1,-6.119987E-2
2.102100E0,1.795392E-1,-9.152481E-2,1.528704E-1,-6.103507E-2
2.135467E0,1.795348E-1,-9.152148E-2,1.529588E-1,-6.082576E-2
2.168833E0,1.796502E-1,-9.140745E-2,1.531674E-1,-6.043440E-2
2.202200E0,1.797975E-1,-9.128312E-2,1.533856E-1,-6.027247E-2
2.235567E0,1.801366E-1,-9.095501E-2,1.536642E-1,-6.014499E-2
2.268933E0,1.801963E-1,-9.096398E-2,1.539294E-1,-6.005180E-2
2.302300E0,1.804094E-1,-9.070635E-2,1.538527E-1,-5.948345E-2
2.335667E0,1.805590E-1,-9.061337E-2,1.543287E-1,-5.912488E-2
2.369033E0,1.806209E-1,-9.046405E-2,1.543443E-1,-5.899994E-2
2.402400E0,1.808216E-1,-9.019157E-2,1.547928E-1,-5.891281E-2
2.435767E0,1.809015E-1,-9.006680E-2,1.549038E-1,-5.879619E-2
2.469133E0,1.809379E-1,-8.990520E-2,1.552022E-1,-5.839703E-2
2.502500E0,1.810888E-1,-8.975277E-2,1.553622E-1,-5.819178E-2
2.535867E0,1.812113E-1,-8.987101E-2,1.556454E-1,-5.813436E-2
2.569233E0,1.812851E-1,-8.949666E-2,1.558528E-1,-5.794817E-2
2.602600E0,1.817725E-1,-8.917205E-2,1.561000E-1,-5.770814E-2
2.635967E0,1.817967E-1,-8.923531E-2,1.564237E-1,-5.722959E-2
2.669333E0,1.819423E-1,-8.934749E-2,1.566321E-1,-5.715980E-2
2.702700E0,1.819926E-1,-8.918637E-2,1.568640E-1,-5.695260E-2
2.736067E0,1.819740E-1,-8.920401E-2,1.571423E-1,-5.682776E-2
2.769433E0,1.823771E-1,-8.882902E-2,1.574361E-1,-5.683516E-2
2.802800E0,1.825044E-1,-8.859998E-2,1.576481E-1,-5.663277E-2
2.836167E0,1.827600E-1,-8.842988E-2,1.579599E-1,-5.621100E-2
2.869533E0,1.826570E-1,-8.832389E-2,1.580899E-1,-5.610605E-2
2.902900E0,1.828853E-1,-8.849343E-2,1.583930E-1,-5.607396E-2
2.936267E0,1.828343E-1,-8.851376E-2,1.586679E-1,-5.603778E-2
2.969633E0,1.830502E-1,-8.858851E-2,1.588720E-1,-5.591159E-2
3.003000E0,1.832016E-1,-8.848742E-2,1.591172E-1,-5.565985E-2
3.036367E0,1.831565E-1,-8.842438E-2,1.592877E-1,-5.551534E-2
3.069733E0,1.833821E-1,-8.845094E-2,1.597519E-1,-5.537793E-2
3.103100E0,1.834935E-1,-8.850414E-2,1.599033E-1,-5.527159E-2
3.136467E0,1.835505E-1,-8.870802E-2,1.601309E-1,-5.528826E-2
3.169833E0,1.836252E-1,-8.855692E-2,1.604229E-1,-5.525703E-2
3.203200E0,1.840857E-1,-8.833847E-2,1.607465E-1,-5.525062E-2
3.236567E0,1.840929E-1,-8.838692E-2,1.610424E-1,-5.524770E-2
3.269933E0,1.842739E-1,-8.846150E-2,1.612725E-1,-5.526726E-2
3.303300E0,1.843648E-1,-8.846831E-2,1.615936E-1,-5.525271E-2
3.336667E0,1.844195E-1,-8.847564E-2,1.619161E-1,-5.526902E-2
3.370033E0,1.845886E-1,-8.845351E-2,1.620827E-1,-5.521370E-2
3.403400E0,1.849102E-1,-8.834483E-2,1.624410E-1,-5.500725E-2
3.436767E0,1.850294E-1,-8.834726E-2,1.625989E-1,-5.476797E-2
3.470133E0,1.851843E-1,-8.840123E-2,1.629396E-1,-5.454340E-2
3.503500E0,1.854996E-1,-8.828386E-2,1.632569E-1,-5.449143E-2
3.536867E0,1.856560E-1,-8.792053E-2,1.636014E-1,-5.447735E-2
3.570233E0,1.858153E-1,-8.781831E-2,1.637907E-1,-5.417909E-2
3.603600E0,1.859598E-1,-8.748040E-2,1.639486E-1,-5.391455E-2
3.636967E0,1.863997E-1,-8.707510E-2,1.644014E-1,-5.350675E-2
3.670333E0,1.864620E-1,-8.712154E-2,1.647704E-1,-5.333338E-2
3.703700E0,1.865069E-1,-8.706239E-2,1.650761E-1,-5.337164E-2
3.737067E0,1.865708E-1,-8.706142E-2,1.650724E-1,-5.300017E-2
3.770433E0,1.868886E-1,-8.652277E-2,1.652675E-1,-5.283694E-2
3.803800E0,1.871223E-1,-8.644415E-2,1.654954E-1,-5.263403E-2
3.837167E0,1.872817E-1,-8.610047E-2,1.658100E-1,-5.236348E-2
3.870533E0,1.874338E-1,-8.571055E-2,1.660266E-1,-5.207062E-2
3.903900E0,1.874634E-1,-8.559202E-2,1.662319E-1,-5.162583E-2
3.937267E0,1.878181E-1,-8.542410E-2,1.664236E-1,-5.140716E-2
3.970633E0,1.877510E-1,-8.519018E-2,1.665736E-1,-5.136877E-2
4.004000E0,1.878303E-1,-8.517652E-2,1.667408E-1,-5.132929E-2
4.037367E0,1.877872E-1,-8.510034E-2,1.669111E-1,-5.097588E-2
4.070733E0,1.880454E-1,-8.490841E-2,1.669696E-1,-5.088875E-2
4.104100E0,1.882523E-1,-8.478552E-2,1.671926E-1,-5.055431E-2
4.137467E0,1.881971E-1,-8.458543E-2,1.674486E-1,-5.053960E-2
4.170833E0,1.883888E-1,-8.439656E-2,1.675746E-1,-5.057880E-2
4.204200E0,1.885418E-1,-8.433850E-2,1.676423E-1,-5.008049E-2
4.237567E0,1.888546E-1,-8.387124E-2,1.677767E-1,-4.994639E-2
4.270933E0,1.889894E-1,-8.382986E-2,1.679263E-1,-4.949305E-2
4.304300E0,1.889046E-1,-8.362672E-2,1.681624E-1,-4.958502E-2
4.337667E0,1.890114E-1,-8.382315E-2,1.682412E-1,-4.950948E-2
4.371033E0,1.890272E-1,-8.352861E-2,1.683290E-1,-4.941380E-2
