t,Ax,Ay,Bx,By
0.000000E0,1.317412E-1,-7.103737E-2,1.572890E-1,-9.967676E-2
3.336667E-2,1.317412E-1,-7.101334E-2,1.573028E-1,-9.944052E-2
6.673333E-2,1.317226E-1,-7.093423E-2,1.573261E-1,-9.951482E-2
1.001000E-1,1.317370E-1,-7.093912E-2,1.572874E-1,-9.958121E-2
1.334667E-1,1.317114E-1,-7.094314E-2,1.573086E-1,-9.960852E-2
1.668333E-1,1.317156E-1,-7.099262E-2,1.572669E-1,-9.965089E-2
2.002000E-1,1.317255E-1,-7.096218E-2,1.573009E-1,-9.963686E-2
2.335667E-1,1.317152E-1,-7.097403E-2,1.572994E-1,-9.967830E-2
2.669333E-1,1.317133E-1,-7.099309E-2,1.573188E-1,-9.971013E-2
3.003000E-1,1.317060E-1,-7.100808E-2,1.572931E-1,-9.973309E-2
3.336667E-1,1.316958E-1,-7.102982E-2,1.572567E-1,-9.974920E-2
3.670333E-1,1.317108E-1,-7.105589E-2,1.572663E-1,-9.975314E-2
4.004000E-1,1.316907E-1,-7.104573E-2,1.572611E-1,-9.977153E-2
4.337667E-1,1.316736E-1,-7.099019E-2,1.572227E-1,-9.975806E-2
4.671333E-1,1.316712E-1,-7.102054E-2,1.572430E-1,-9.974586E-2
5.005000E-1,1.316819E-1,-7.101415E-2,1.572332E-1,-9.976387E-2
5.338667E-1,1.316769E-1,-7.100038E-2,1.572362E-1,-9.975050E-2
5.672333E-1,1.316718E-1,-7.097366E-2,1.572376E-1,-9.977325E-2
6.006000E-1,1.316777E-1,-7.099353E-2,1.572367E-1,-9.975764E-2
6.339667E-1,1.316689E-1,-7.096934E-2,1.572477E-1,-9.974762E-2
6.673333E-1,1.316713E-1,-7.092892E-2,1.572486E-1,-9.973933E-2
7.007000E-1,1.316906E-1,-7.092969E-2,1.572602E-1,-9.971832E-2
7.340667E-1,1.317109E-1,-7.087488E-2,1.573042E-1,-9.967938E-2
7.674333E-1,1.317390E-1,-7.077359E-2,1.572934E-1,-9.960935E-2
8.008000E-1,1.318001E-1,-7.070549E-2,1.573425E-1,-9.956691E-2
8.341667E-1,1.318608E-1,-7.056069E-2,1.573849E-1,-9.944520E-2
8.675333E-1,1.319826E-1,-7.035575E-2,1.573643E-1,-9.934193E-2
9.009000E-1,1.321940E-1,-7.007089E-2,1.574636E-1,-9.903505E-2
9.342667E-1,1.324216E-1,-6.974812E-2,1.574777E-1,-9.879244E-2
9.676333E-1,1.327103E-1,-6.943474E-2,1.576450E-1,-9.866232E-2
1.001000E0,1.329150E-1,-6.906006E-2,1.577307E-1,-9.842026E-2
1.034367E0,1.332479E-1,-6.869916E-2,1.579329E-1,-9.806274E-2
1.067733E0,1.335885E-1,-6.856903E-2,1.579402E-1,-9.789578E-2
1.101100E0,1.339040E-1,-6.822170E-2,1.580936E-1,-9.771407E-2
1.134467E0,1.341521E-1,-6.782345E-2,1.581700E-1,-9.744294E-2
1.167833E0,1.345409E-1,-6.742719E-2,1.583373E-1,-9.710331E-2
1.201200E0,1.348840E-1,-6.694993E-2,1.584256E-1,-9.689481E-2
1.234567E0,1.351982E-1,-6.653505E-2,1.585606E-1,-9.668925E-2
1.267933E0,1.355961E-1,-6.605451E-2,1.587616E-1,-9.641014E-2
1.301300E0,1.360248E-1,-6.562470E-2,1.590125E-1,-9.616913E-2
1.334667E0,1.364778E-1,-6.517316E-2,1.592207E-1,-9.590142E-2
1.368033E0,1.368836E-1,-6.467573E-2,1.593494E-1,-9.554203E-2
1.401400E0,1.373073E-1,-6.417136E-2,1.595951E-1,-9.524547E-2
1.434767E0,1.377440E-1,-6.366296E-2,1.598730E-1,-9.489628E-2
1.468133E0,1.381681E-1,-6.311954E-2,1.600531E-1,-9.456622E-2
1.501500E0,1.385656E-1,-6.258732E-2,1.602599E-1,-9.409085E-2
1.534867E0,1.390100E-1,-6.206116E-2,1.604992E-1,-9.369791E-2
1.568233E0,1.394780E-1,-6.143278E-2,1.607708E-1,-9.327804E-2
1.601600E0,1.399126E-1,-6.086922E-2,1.609532E-1,-9.288032E-2
1.634967E0,1.404007E-1,-6.030075E-2,1.611856E-1,-9.241730E-2
1.668333E0,1.408273E-1,-5.967076E-2,1.614196E-1,-9.195770E-2
1.701700E0,1.412614E-1,-5.901358E-2,1.616485E-1,-9.147331E-2
1.735067E0,1.416767E-1,-5.837839E-2,1.617891E-1,-9.095657E-2
1.768433E0,1.420251E-1,-5.769640E-2,1.618546E-1,-9.042924E-2
1.801800E0,1.423475E-1,-5.706549E-2,1.619542E-1,-8.997884E-2
1.835167E0,1.427361E-1,-5.645237E-2,1.620930E-1,-8.945749E-2
1.868533E0,1.430505E-1,-5.572173E-2,1.621464E-1,-8.891552E-2
1.901900E0,1.433276E-1,-5.502585E-2,1.621126E-1,-8.837091E-2
1.935267E0,1.435740E-1,-5.428112E-2,1.620798E-1,-8.773747E-2
