t,Ax,Ay,Bx,By
0.000000E0,4.011301E-1,-1.590042E-1,4.246523E-1,-1.894507E-1
3.336667E-2,4.010886E-1,-1.590129E-1,4.246340E-1,-1.894919E-1
6.673333E-2,4.014700E-1,-1.583819E-1,4.247741E-1,-1.890076E-1
1.001000E-1,4.017609E-1,-1.577080E-1,4.248403E-1,-1.884975E-1
1.334667E-1,4.019876E-1,-1.570828E-1,4.248730E-1,-1.879447E-1
1.668333E-1,4.023294E-1,-1.563588E-1,4.249519E-1,-1.873665E-1
2.002000E-1,4.026171E-1,-1.556159E-1,4.249982E-1,-1.867685E-1
2.335667E-1,4.028192E-1,-1.549388E-1,4.250121E-1,-1.862866E-1
2.669333E-1,4.030632E-1,-1.542321E-1,4.250784E-1,-1.856799E-1
3.003000E-1,4.033096E-1,-1.533847E-1,4.250432E-1,-1.850727E-1
3.336667E-1,4.035171E-1,-1.526268E-1,4.251062E-1,-1.844917E-1
3.670333E-1,4.037619E-1,-1.518204E-1,4.250494E-1,-1.838522E-1
4.004000E-1,4.039379E-1,-1.511016E-1,4.250711E-1,-1.832710E-1
4.337667E-1,4.041148E-1,-1.502184E-1,4.250330E-1,-1.825554E-1
4.671333E-1,4.042728E-1,-1.494543E-1,4.249836E-1,-1.819033E-1
5.005000E-1,4.044923E-1,-1.486100E-1,4.249530E-1,-1.812081E-1
5.338667E-1,4.045778E-1,-1.477884E-1,4.249335E-1,-1.805597E-1
5.672333E-1,4.046937E-1,-1.470111E-1,4.248253E-1,-1.798636E-1
6.006000E-1,4.048572E-1,-1.461353E-1,4.246551E-1,-1.791601E-1
6.339667E-1,4.049092E-1,-1.452776E-1,4.245124E-1,-1.783777E-1
6.673333E-1,4.049530E-1,-1.444139E-1,4.243383E-1,-1.776399E-1
7.007000E-1,4.049252E-1,-1.435315E-1,4.241106E-1,-1.768082E-1
7.340667E-1,4.049648E-1,-1.424895E-1,4.239261E-1,-1.760173E-1
7.674333E-1,4.048951E-1,-1.415142E-1,4.236622E-1,-1.752101E-1
8.008000E-1,4.048660E-1,-1.405214E-1,4.233263E-1,-1.742975E-1
8.341667E-1,4.048323E-1,-1.394713E-1,4.230364E-1,-1.734079E-1
8.675333E-1,4.047693E-1,-1.383937E-1,4.227060E-1,-1.724214E-1
9.009000E-1,4.047252E-1,-1.373164E-1,4.223214E-1,-1.714435E-1
9.342667E-1,4.046192E-1,-1.361988E-1,4.219187E-1,-1.703847E-1
9.676333E-1,4.044384E-1,-1.350339E-1,4.214765E-1,-1.694101E-1
1.001000E0,4.042595E-1,-1.338839E-1,4.209993E-1,-1.683062E-1
1.034367E0,4.041043E-1,-1.326100E-1,4.204959E-1,-1.672084E-1
1.067733E0,4.038223E-1,-1.314310E-1,4.198906E-1,-1.660723E-1
1.101100E0,4.035986E-1,-1.302165E-1,4.193396E-1,-1.650129E-1
1.134467E0,4.033199E-1,-1.289785E-1,4.187454E-1,-1.639519E-1
1.167833E0,4.029863E-1,-1.277885E-1,4.181287E-1,-1.628249E-1
1.201200E0,4.025890E-1,-1.265345E-1,4.175257E-1,-1.617375E-1
1.234567E0,4.021820E-1,-1.253398E-1,4.169196E-1,-1.605992E-1
1.267933E0,4.017608E-1,-1.240875E-1,4.161904E-1,-1.594226E-1
1.301300E0,4.012537E-1,-1.228510E-1,4.155590E-1,-1.582308E-1
1.334667E0,4.008323E-1,-1.214804E-1,4.148734E-1,-1.569494E-1
1.368033E0,4.003903E-1,-1.201640E-1,4.141991E-1,-1.556237E-1
1.401400E0,3.998579E-1,-1.188167E-1,4.136384E-1,-1.543365E-1
1.434767E0,3.993876E-1,-1.173259E-1,4.129103E-1,-1.529482E-1
1.468133E0,3.987855E-1,-1.159033E-1,4.122035E-1,-1.515127E-1
1.501500E0,3.982188E-1,-1.142705E-1,4.115069E-1,-1.499436E-1
1.534867E0,3.975459E-1,-1.127614E-1,4.107978E-1,-1.483723E-1
1.568233E0,3.969086E-1,-1.111160E-1,4.099867E-1,-1.467611E-1
1.601600E0,3.962236E-1,-1.094538E-1,4.091135E-1,-1.451518E-1
1.634967E0,3.955185E-1,-1.078277E-1,4.082029E-1,-1.434366E-1
1.668333E0,3.947589E-1,-1.059583E-1,4.072734E-1,-1.417230E-1
1.701700E0,3.939028E-1,-1.041404E-1,4.061772E-1,-1.399524E-1
1.735067E0,3.930095E-1,-1.020543E-1,4.049879E-1,-1.380303E-1
1.768433E0,3.921132E-1,-1.000421E-1,4.038866E-1,-1.361010E-1
1.801800E0,3.912461E-1,-9.796683E-2,4.027389E-1,-1.340390E-1
1.835167E0,3.901933E-1,-9.568888E-2,4.014963E-1,-1.318606E-1
1.868533E0,3.892353E-1,-9.343291E-2,4.001757E-1,-1.295873E-1
1.901900E0,3.879860E-1,-9.098695E-2,3.987719E-1,-1.272564E-1
1.935267E0,3.869293E-1,-8.836049E-2,3.973832E-1,-1.245901E-1
1.968633E0,3.856858E-1,-8.571495E-2,3.957898E-1,-1.219884E-1
2.002000E0,3.843922E-1,-8.299746E-2,3.941659E-1,-1.191977E-1
2.035367E0,3.831377E-1,-8.011766E-2,3.924980E-1,-1.163881E-1
2.068733E0,3.816789E-1,-7.706578E-2,3.908334E-1,-1.133109E-1
2.102100E0,3.802182E-1,-7.383007E-2,3.891412E-1,-1.101914E-1
2.135467E0,3.786599E-1,-7.059274E-2,3.872700E-1,-1.069132E-1
2.168833E0,3.771105E-1,-6.729677E-2,3.854100E-1,-1.036384E-1
2.202200E0,3.754019E-1,-6.393711E-2,3.836106E-1,-1.004228E-1
2.235567E0,3.738356E-1,-6.052376E-2,3.815325E-1,-9.694176E-2
2.268933E0,3.721475E-1,-5.714301E-2,3.796268E-1,-9.344238E-2
2.302300E0,3.705837E-1,-5.361884E-2,3.777251E-1,-9.002364E-2
2.335667E0,3.689189E-1,-5.018253E-2,3.756915E-1,-8.656271E-2
2.369033E0,3.672105E-1,-4.676361E-2,3.738109E-1,-8.298014E-2
2.402400E0,3.655295E-1,-4.292380E-2,3.719474E-1,-7.952372E-2
2.435767E0,3.637558E-1,-3.956023E-2,3.700815E-1,-7.585060E-2
2.469133E0,3.622322E-1,-3.627445E-2,3.681579E-1,-7.262815E-2
2.502500E0,3.606624E-1,-3.308435E-2,3.661482E-1,-6.950752E-2
2.535867E0,3.590495E-1,-2.998634E-2,3.642096E-1,-6.646413E-2
2.569233E0,3.574197E-1,-2.686468E-2,3.622266E-1,-6.338282E-2
2.602600E0,3.558249E-1,-2.365234E-2,3.604549E-1,-6.028626E-2
2.635967E0,3.542801E-1,-2.036190E-2,3.587019E-1,-5.702138E-2
2.669333E0,3.526783E-1,-1.725868E-2,3.566614E-1,-5.393632E-2
2.702700E0,3.511718E-1,-1.428302E-2,3.547056E-1,-5.109287E-2
2.736067E0,3.495874E-1,-1.149848E-2,3.526654E-1,-4.826986E-2
2.769433E0,3.479778E-1,-8.724131E-3,3.506120E-1,-4.550591E-2
2.802800E0,3.464015E-1,-5.936389E-3,3.487383E-1,-4.257848E-2
2.836167E0,3.448604E-1,-3.073445E-3,3.467890E-1,-3.963383E-2
2.869533E0,3.432789E-1,-3.210537E-4,3.449089E-1,-3.693874E-2
2.902900E0,3.416173E-1,2.330406E-3,3.431000E-1,-3.418784E-2
2.936267E0,3.399745E-1,4.957382E-3,3.410758E-1,-3.158747E-2
2.969633E0,3.384833E-1,7.512507E-3,3.390292E-1,-2.895491E-2
3.003000E0,3.369291E-1,1.003825E-2,3.371719E-1,-2.633469E-2
3.036367E0,3.353899E-1,1.223917E-2,3.351165E-1,-2.377639E-2
3.069733E0,3.338921E-1,1.464062E-2,3.331570E-1,-2.128827E-2
3.103100E0,3.323550E-1,1.701423E-2,3.311385E-1,-1.887436E-2
3.136467E0,3.307677E-1,1.933696E-2,3.291354E-1,-1.649968E-2
3.169833E0,3.293128E-1,2.157932E-2,3.270876E-1,-1.418566E-2
3.203200E0,3.276540E-1,2.373555E-2,3.252048E-1,-1.190184E-2
3.236567E0,3.261470E-1,2.591590E-2,3.231857E-1,-9.651347E-3
3.269933E0,3.246217E-1,2.773391E-2,3.211215E-1,-7.466387E-3
3.303300E0,3.231196E-1,2.976587E-2,3.192522E-1,-5.267490E-3
3.336667E0,3.215453E-1,3.171115E-2,3.173177E-1,-3.178529E-3
3.370033E0,3.199291E-1,3.365046E-2,3.151995E-1,-1.064586E-3
3.403400E0,3.184764E-1,3.551246E-2,3.132358E-1,9.682491E-4
3.436767E0,3.167705E-1,3.729047E-2,3.112560E-1,2.997854E-3
3.470133E0,3.152405E-1,3.908821E-2,3.092697E-1,4.932049E-3
3.503500E0,3.136711E-1,4.073357E-2,3.072394E-1,6.858242E-3
3.536867E0,3.119160E-1,4.235197E-2,3.053672E-1,8.733009E-3
3.570233E0,3.103512E-1,4.403616E-2,3.033194E-1,1.052389E-2
3.603600E0,3.087445E-1,4.559229E-2,3.013844E-1,1.232163E-2
3.636967E0,3.072407E-1,4.710641E-2,2.992706E-1,1.402984E-2
3.670333E0,3.055506E-1,4.853545E-2,2.972934E-1,1.569299E-2
3.703700E0,3.038547E-1,5.018779E-2,2.952962E-1,1.732601E-2
3.737067E0,3.020503E-1,5.155247E-2,2.932622E-1,1.890898E-2
3.770433E0,3.004965E-1,5.286270E-2,2.912315E-1,2.044950E-2
3.803800E0,2.988564E-1,5.413325E-2,2.893333E-1,2.191942E-2
3.837167E0,2.972661E-1,5.532861E-2,2.872685E-1,2.328886E-2
3.870533E0,2.956117E-1,5.650583E-2,2.853656E-1,2.469990E-2
3.903900E0,2.939595E-1,5.760626E-2,2.832824E-1,2.607118E-2
3.937267E0,2.922848E-1,5.896816E-2,2.813385E-1,2.736212E-2
3.970633E0,2.905239E-1,5.996656E-2,2.793507E-1,2.859274E-2
4.004000E0,2.889586E-1,6.092350E-2,2.773466E-1,2.980902E-2
4.037367E0,2.873791E-1,6.182255E-2,2.753669E-1,3.094937E-2
4.070733E0,2.856147E-1,6.269421E-2,2.733318E-1,3.204583E-2
4.104100E0,2.840186E-1,6.355502E-2,2.713029E-1,3.313928E-2
4.137467E0,2.823546E-1,6.458250E-2,2.693659E-1,3.418254E-2
4.170833E0,2.806184E-1,6.525835E-2,2.674133E-1,3.509293E-2
4.204200E0,2.789260E-1,6.591614E-2,2.653210E-1,3.593770E-2
4.237567E0,2.773820E-1,6.650378E-2,2.634485E-1,3.692271E-2
4.270933E0,2.757072E-1,6.708484E-2,2.615131E-1,3.776076E-2
4.304300E0,2.741582E-1,6.755802E-2,2.595349E-1,3.851309E-2
4.337667E0,2.725504E-1,6.797804E-2,2.575338E-1,3.921317E-2
4.371033E0,2.709388E-1,6.832352E-2,2.554859E-1,3.988816E-2
4.404400E0,2.693008E-1,6.861430E-2,2.535575E-1,4.054184E-2
4.437767E0,2.677613E-1,6.881801E-2,2.515227E-1,4.108831E-2
4.471133E0,2.661351E-1,6.889845E-2,2.494929E-1,4.154829E-2
4.504500E0,2.644095E-1,6.915225E-2,2.474783E-1,4.199628E-2
4.537867E0,2.627501E-1,6.912027E-2,2.454778E-1,4.235871E-2
4.571233E0,2.611300E-1,6.899743E-2,2.434121E-1,4.274633E-2
4.604600E0,2.593966E-1,6.883312E-2,2.414684E-1,4.297581E-2
4.637967E0,2.576860E-1,6.881670E-2,2.394184E-1,4.311480E-2
4.671333E0,2.559770E-1,6.852352E-2,2.373861E-1,4.345662E-2
4.704700E0,2.542659E-1,6.818416E-2,2.352831E-1,4.350632E-2
4.738067E0,2.524831E-1,6.794727E-2,2.332067E-1,4.357059E-2
4.771433E0,2.507242E-1,6.749620E-2,2.311335E-1,4.357763E-2
4.804800E0,2.490081E-1,6.709805E-2,2.290902E-1,4.354257E-2
4.838167E0,2.472628E-1,6.668331E-2,2.271573E-1,4.346105E-2
4.871533E0,2.455298E-1,6.617651E-2,2.250873E-1,4.327615E-2
4.904900E0,2.437627E-1,6.571200E-2,2.230377E-1,4.316331E-2
4.938267E0,2.419215E-1,6.514050E-2,2.210363E-1,4.302978E-2
4.971633E0,2.401556E-1,6.469367E-2,2.189706E-1,4.276623E-2
5.005000E0,2.383482E-1,6.410226E-2,2.169953E-1,4.243375E-2
5.038367E0,2.365407E-1,6.349404E-2,2.149227E-1,4.209586E-2
5.071733E0,2.347248E-1,6.298140E-2,2.129457E-1,4.173141E-2
5.105100E0,,,2.109034E-1,4.131436E-2
5.138467E0,,,2.088994E-1,4.085541E-2
