force,angle
-0.0009,-0.0182
-0.0018,-0.0182
-0.0017,-0.0402
-0.0005,0.0038
-0.0003,-0.0621
-0.0002,0.0038
-0.0010,0.0257
-0.0025,0.0257
-0.0024,0.0038
-0.0019,-0.0182
-0.0016,0.0038
-0.0023,-0.0182
-0.0027,0.0038
-0.0027,0.0038
-0.0056,-0.1281
-0.0202,-0.1281
-0.0362,-0.0182
-0.0442,-0.1720
-0.0481,-0.2160
-0.0495,-0.0841
-0.0505,-0.1720
-0.0523,-0.2160
-0.0531,-0.1940
-0.0543,-0.1940
-0.0547,-0.2160
-0.0547,-0.1940
-0.0561,-0.1720
-0.0543,-0.2160
-0.0552,-0.1940
-0.0546,-0.1940
-0.0556,-0.1720
-0.0547,-0.1500
-0.0532,-0.1500
-0.0532,-0.1281
-0.0542,-0.1720
-0.0537,-0.2379
-0.0536,-0.1720
-0.0540,-0.2160
-0.0523,-0.2379
-0.0503,-0.1720
-0.0512,-0.2379
-0.0524,-0.2160
-0.0513,-0.1720
-0.0513,-0.1940
-0.0529,-0.1720
-0.0519,-0.1500
-0.0513,-0.2160
-0.0531,-0.1940
-0.0526,-0.1720
-0.0464,-0.1061
-0.0361,-0.1061
-0.0160,0.2894
0.0379,0.5091
0.1332,0.7948
0.2139,1.0365
0.2851,1.1683
0.3575,1.4540
0.4292,1.6737
0.5051,1.9593
0.5844,2.1131
0.6647,2.4427
0.7476,2.7723
0.8344,3.0140
0.9251,3.2997
1.0185,3.6073
1.1161,3.9149
1.2158,4.0687
1.3106,4.4422
1.4017,4.7059
1.4944,5.0135
1.5872,5.2333
1.6764,5.4750
1.7599,5.7826
1.8431,6.0243
1.9263,6.2880
2.0106,6.5297
2.0968,6.7494
2.1829,7.1009
2.2707,7.3866
2.3617,7.6503
2.4536,7.9579
2.5501,8.2655
2.6493,8.5511
2.7478,8.8148
2.8428,9.1444
2.9376,9.4740
3.0328,9.7816
3.1240,10.0013
3.2118,10.2211
3.2984,10.5067
3.3815,10.8143
3.4624,11.0340
3.5453,11.1879
3.6281,11.4955
3.7105,11.7811
3.7956,12.1327
3.8868,12.4623
3.9814,12.7259
4.0752,13.0555
4.1684,13.3192
4.2636,13.6708
4.3573,13.9784
4.4499,14.1322
4.5400,14.5716
4.6292,14.7255
4.7137,15.0550
4.7952,15.1649
4.8741,15.4506
4.9492,15.7142
5.0229,16.1097
5.0992,16.2416
5.1756,16.5931
5.2537,16.7909
5.3359,17.0106
5.4207,17.4061
5.5085,17.7137
5.5994,18.0433
5.6900,18.2631
5.7766,18.6146
5.8635,18.8783
5.9497,19.0760
6.0337,19.4276
6.1129,19.6693
6.1898,19.9330
6.2637,20.1966
6.3353,20.3065
