force,angle
0.0013,-0.0362
0.0013,0.0297
0.0026,0.0517
0.0022,0.0297
0.0012,0.0078
0.0021,-0.0142
0.0022,0.0517
0.0020,0.0517
0.0024,-0.0581
0.0012,0.0737
0.0015,0.0737
0.0027,0.0078
0.0024,0.0297
0.0029,-0.0142
0.0027,0.0078
0.0022,0.0078
0.0018,0.0078
0.0027,-0.0142
0.0025,-0.0142
0.0029,0.0078
0.0022,-0.0581
0.0014,0.0297
0.0021,-0.0142
0.0019,0.0517
0.0018,-0.0801
0.0008,0.0297
0.0012,0.1176
0.0033,-0.0362
0.0026,0.0078
0.0025,0.0297
0.0025,-0.0581
0.0029,-0.0142
0.0011,-0.0142
0.0023,0.0297
0.0021,0.0517
0.0011,0.0297
0.0018,-0.0362
0.0032,0.0957
0.0042,0.0517
0.0030,0.0517
0.0024,-0.0142
0.0016,0.0297
0.0018,0.0297
0.0031,0.0517
0.0033,0.0297
0.0036,0.0297
0.0027,0.1176
0.0029,0.0517
0.0029,-0.0142
0.0039,0.0517
0.0034,0.0517
0.0017,0.0517
0.0017,-0.0801
0.0027,-0.0142
0.0024,0.0737
0.0026,0.0737
0.0025,0.0737
0.0076,0.0737
0.0310,0.0517
0.0291,0.0078
0.0285,-0.0142
0.0401,-0.0142
0.0201,0.0517
0.0032,0.0737
0.0033,0.0297
0.0116,0.0517
0.0607,-0.0801
0.1555,-0.0581
0.3293,-0.1460
0.6653,-0.4097
1.1213,-0.9370
1.5836,-1.3106
1.9305,-1.3326
2.0767,-1.3545
2.0205,-1.4424
2.1524,-1.4644
2.6037,-1.6621
3.3392,-1.5743
4.3186,-1.9038
5.4699,-1.8379
6.7699,-1.8819
7.9576,-1.9038
8.9987,-1.8819
9.9957,-1.7940
10.9345,-1.9917
11.6950,-1.9917
12.2504,-2.1016
12.6577,-2.0577
13.2149,-2.0577
13.8596,-2.0577
14.4333,-2.1675
14.8610,-2.1455
15.2902,-2.2334
15.7640,-2.3653
16.1935,-2.2994
16.6438,-2.4092
17.1341,-2.4532
17.5498,-2.5411
17.9867,-2.7168
18.4102,-2.6729
18.7229,-2.7388
19.0267,-3.0245
19.3739,-3.1343
19.7739,-3.2881
20.0966,-3.4859
20.3741,-3.5298
20.6485,-3.6617
20.8840,-3.6177
21.0319,-3.7935
21.1175,-3.7495
21.1859,-3.8155
21.2307,-3.7495
21.2600,-3.8374
21.3746,-3.9034
21.4731,-3.9912
21.5675,-4.1231
21.6544,-4.4087
21.7339,-4.4087
21.8958,-4.3648
21.9138,-4.4746
21.8837,-4.4966
22.0480,-4.4746
22.0880,-4.5625
22.0543,-4.5845
22.1039,-4.6724
22.1432,-4.6944
22.2365,-4.6504
22.2994,-4.7163
22.3377,-4.8262
22.3794,-4.7383
22.4304,-4.9141
22.4720,-4.8702
22.4738,-4.8042
22.2812,-4.8702
21.8801,-4.8482
21.6353,-4.9141
21.7238,-4.8702
21.9746,-4.9141
21.9753,-4.8042
21.7955,-4.7823
21.6514,-4.8702
21.4986,-4.7603
21.3355,-4.6944
21.1150,-4.6504
20.9332,-4.6504
20.7338,-4.5625
20.5382,-4.4966
20.3169,-4.3208
20.0597,-4.2110
19.8395,-4.0352
19.5250,-3.7935
19.1409,-3.3540
18.6904,-3.1783
18.1738,-2.8926
17.6161,-2.7168
17.0224,-2.5411
16.4796,-2.4751
15.9312,-2.2994
15.2924,-2.3213
14.7522,-2.2115
14.1753,-2.0796
13.3556,-1.8819
12.4493,-1.7720
11.2295,-1.6841
9.2854,-1.7720
6.5783,-1.5962
4.0345,-1.5303
2.3822,-1.4424
1.4385,-1.3326
0.9359,-1.1787
0.7208,-1.2447
0.7199,-1.1787
0.8678,-1.3545
1.1712,-1.3326
1.7835,-1.3326
2.6092,-1.4864
3.5296,-1.5083
4.4525,-1.5083
5.2075,-1.5962
5.9773,-1.5523
7.1178,-1.5743
8.8223,-1.6841
10.5329,-1.7281
12.0451,-1.8379
13.3574,-1.9038
14.4322,-1.8160
15.2915,-1.9917
16.1469,-2.0137
17.0656,-2.0796
17.8466,-2.2774
18.5297,-2.2994
19.0207,-2.4532
19.3383,-2.4971
19.6724,-2.6070
20.0243,-2.8926
20.3787,-2.8706
20.7069,-3.1783
20.9412,-3.4639
21.1714,-3.4419
21.3786,-3.6397
21.5817,-3.7715
21.7743,-3.9034
21.9333,-4.0791
22.0620,-4.0572
22.1694,-4.2329
22.2637,-4.4307
22.3683,-4.5186
22.4615,-4.7603
22.5554,-4.9580
22.6601,-5.0679
22.7324,-5.1338
22.7647,-5.1558
22.7740,-5.3755
22.8405,-5.4854
22.8918,-5.4414
22.9293,-5.5733
22.9545,-5.7491
23.0051,-5.7271
23.0561,-5.8150
23.0901,-5.8150
23.1062,-5.7930
23.0369,-5.8589
22.9517,-5.7710
23.0413,-5.7271
22.8031,-5.7271
22.4088,-5.8370
22.1479,-5.7271
21.9167,-5.6392
21.6974,-5.4854
21.4522,-5.2217
21.0526,-5.1119
20.6477,-4.8921
20.4086,-4.6504
20.2345,-4.4966
20.0222,-3.8814
19.6795,-3.5957
18.9653,-3.2662
18.2191,-3.0464
17.6607,-2.9585
17.1351,-2.8706
16.6292,-2.6949
16.0676,-2.7608
15.4486,-2.6949
14.8244,-2.6289
14.0391,-2.6070
13.2940,-2.4532
12.6018,-2.3653
11.7571,-2.3213
10.8565,-2.2334
9.7807,-2.1895
8.3250,-2.0577
6.5044,-1.9258
4.6264,-1.9258
3.2481,-1.9258
2.2874,-1.8379
1.5307,-1.7281
1.1028,-1.6621
0.9188,-1.6402
0.8179,-1.5743
0.7246,-1.3545
0.6322,-1.3106
0.5702,-1.2886
0.5315,-1.0469
0.4454,-0.9810
0.3662,-0.8272
0.2822,-0.7832
0.1255,-0.8711
0.0194,-0.6954
-0.0018,-0.6954
-0.0146,-0.7393
-0.0171,-0.7393
-0.0172,-0.7173
-0.0163,-0.8052
-0.0155,-0.6734
-0.0161,-0.7613
