force,angle
-0.0004,-0.0928
-0.0005,-0.0269
0.0001,-0.0489
-0.0000,0.0170
-0.0006,-0.0269
-0.0004,-0.0049
-0.0001,0.0170
-0.0004,-0.0049
-0.0003,-0.0928
-0.0014,-0.0928
-0.0008,0.0390
-0.0001,-0.0489
-0.0009,-0.0928
-0.0013,-0.0049
-0.0009,-0.0049
0.0007,0.1049
0.0006,0.0390
-0.0004,-0.0489
0.0014,0.0390
0.0011,-0.0269
0.0005,0.0170
0.0010,-0.0049
0.0004,-0.0489
0.0005,-0.0269
-0.0003,0.0170
0.0004,0.0830
0.0002,-0.0708
0.0000,-0.0489
0.0008,-0.0708
-0.0008,-0.0269
-0.0015,-0.0708
-0.0002,-0.0269
-0.0008,-0.0269
-0.0016,-0.0049
-0.0016,-0.0269
-0.0017,0.0170
-0.0000,-0.0269
-0.0001,-0.0269
-0.0015,-0.0049
-0.0004,-0.0049
0.0003,0.0170
-0.0007,0.0610
-0.0016,-0.0928
-0.0013,-0.0269
-0.0009,0.0390
-0.0002,0.0610
-0.0000,-0.0269
-0.0009,-0.0928
-0.0005,-0.0269
0.0001,0.0610
0.0004,-0.0269
-0.0026,-0.0708
-0.0011,-0.0708
0.0060,-0.0489
0.0127,-0.0269
0.0244,-0.0269
0.0148,-0.0489
0.0301,0.0390
0.0499,0.0390
0.0655,-0.0049
0.0635,0.1049
0.0273,-0.0269
0.0018,-0.1148
-0.0019,-0.0269
-0.0014,-0.0049
0.0006,-0.1148
-0.0004,0.0170
-0.0009,-0.0708
-0.0006,-0.0049
-0.0001,-0.0049
-0.0005,-0.0269
-0.0011,-0.0928
-0.0009,-0.0708
-0.0018,-0.0489
-0.0012,0.0170
-0.0008,0.0170
-0.0014,-0.0489
-0.0020,-0.0489
-0.0011,0.0170
-0.0013,0.0390
-0.0027,-0.0269
-0.0023,-0.0269
-0.0026,0.0170
-0.0020,-0.0489
-0.0013,-0.0708
-0.0019,-0.1148
0.0293,-0.1148
0.1396,-0.0928
0.3608,-0.3565
1.0021,-0.5103
1.6066,-0.5323
2.3235,-0.4444
3.2417,-0.6202
4.1475,-0.7300
5.5016,-1.0596
7.4280,-1.1255
9.1992,-1.2574
10.8947,-1.4332
12.6195,-1.4332
14.1294,-1.4991
15.2049,-1.4551
16.0488,-1.7188
16.8433,-1.7627
17.5421,-1.9385
18.0403,-2.0923
18.4828,-2.3121
18.9216,-2.4219
19.2918,-2.5757
19.6159,-2.6856
19.9333,-2.7955
20.1847,-2.8614
20.3408,-3.0811
20.5079,-3.1690
20.7205,-3.3448
20.8688,-3.3887
20.9734,-3.3667
21.0710,-3.4546
21.1481,-3.5865
21.2138,-3.6304
21.2901,-3.8501
21.3556,-3.7842
21.4046,-3.7623
21.4355,-3.7403
21.4400,-3.7183
21.3765,-3.9161
21.4672,-3.9600
21.6231,-4.0918
21.7358,-4.1138
21.8136,-4.1358
21.8675,-4.2896
21.9163,-4.3116
21.9615,-4.3775
22.0259,-4.5093
22.0982,-4.6192
22.1842,-4.6851
22.2801,-4.8609
22.3626,-4.8169
22.4334,-4.9268
22.4992,-4.9048
22.5532,-5.0147
22.6063,-5.1465
22.6523,-5.1685
22.6763,-5.1246
22.6984,-5.3223
22.7844,-5.2564
22.8428,-5.3003
22.9103,-5.4541
22.9746,-5.4761
23.0343,-5.5201
23.0833,-5.6958
23.1340,-5.7398
23.1988,-5.7837
23.2612,-5.7837
23.3052,-5.9595
23.3451,-5.9375
23.3991,-5.9595
23.4354,-6.0474
23.4724,-6.1133
23.5137,-6.1573
23.5493,-6.1792
23.5631,-6.2891
23.5811,-6.2671
23.6049,-6.3550
23.6241,-6.3331
23.5952,-6.2671
23.5707,-6.2671
23.5950,-6.3770
23.6528,-6.4209
23.6959,-6.4209
23.7306,-6.4649
23.7385,-6.4649
23.7426,-6.5528
23.7511,-6.5528
23.7606,-6.5088
23.7795,-6.5308
23.8004,-6.5528
23.8058,-6.5748
23.7891,-6.5967
23.8145,-6.6626
23.8361,-6.5967
23.8360,-6.6407
23.8425,-6.6626
23.8228,-6.7725
23.8344,-6.7725
23.8759,-6.7286
23.8831,-6.7066
23.8954,-6.7505
23.8815,-6.9043
23.8755,-6.7066
23.9151,-6.9043
23.9452,-6.8604
23.9500,-6.8165
23.9491,-6.9043
23.9433,-6.9043
23.9693,-6.9263
23.9527,-6.9263
23.9393,-6.9263
23.9722,-6.9263
23.9991,-6.9703
24.0114,-7.0142
23.9266,-6.8824
23.5803,-6.8165
23.1218,-6.7725
22.7714,-6.6626
22.5116,-6.6846
22.2690,-6.5967
22.0860,-6.5308
21.9339,-6.4649
21.7960,-6.4429
21.6582,-6.3550
21.5307,-6.2012
21.4185,-6.2671
21.3200,-5.9815
21.2140,-5.9375
21.0797,-5.8277
20.9280,-5.6739
20.7847,-5.4541
20.6166,-5.3223
20.4227,-5.2124
20.2379,-4.9488
20.0641,-4.7950
19.8721,-4.6851
19.6743,-4.5752
19.5253,-4.4654
19.3691,-4.5313
19.1790,-4.2896
19.0115,-4.1138
18.8541,-4.0479
18.6633,-4.0918
18.4754,-3.8501
18.3057,-3.7403
18.1024,-3.7842
17.9017,-3.6963
17.7115,-3.6084
17.4868,-3.5206
17.2173,-3.4327
16.9531,-3.4107
16.7083,-3.2349
16.4913,-3.2129
16.2870,-3.1910
16.0806,-3.1031
15.8349,-2.9712
15.5584,-3.0372
15.2308,-2.9712
14.8770,-2.7735
14.4619,-2.7076
14.0228,-2.7295
13.6917,-2.6636
13.4722,-2.6416
13.2573,-2.5098
12.9724,-2.5538
12.6764,-2.4659
12.3829,-2.4659
12.0251,-2.3780
11.6572,-2.3999
11.2243,-2.3560
10.8007,-2.2681
10.4629,-2.1363
10.1654,-2.2242
9.8338,-2.0923
9.3912,-2.0923
8.8178,-2.0264
8.1385,-1.9825
7.5056,-2.0704
6.9756,-1.8726
6.3149,-1.8946
5.4391,-1.7627
4.6346,-1.7627
4.0742,-1.7847
3.6710,-1.6749
3.3675,-1.8067
3.1212,-1.7188
3.0258,-1.6968
2.9734,-1.5870
2.8305,-1.7188
2.7464,-1.6749
2.7394,-1.7188
2.7728,-1.6749
2.7593,-1.6309
2.6314,-1.6089
2.4399,-1.6529
2.2547,-1.5650
2.1125,-1.5870
2.0246,-1.6309
1.9478,-1.5650
1.8486,-1.6089
1.7494,-1.6089
1.6577,-1.5870
1.5748,-1.5870
1.5000,-1.4991
1.4359,-1.5210
1.4048,-1.5870
1.4306,-1.6309
1.6440,-1.6309
2.6466,-1.6749
4.6776,-1.5650
7.0995,-1.6968
9.3681,-1.6089
11.2880,-1.6749
12.8011,-1.7408
14.0095,-1.8946
15.0215,-1.8287
15.7685,-1.9165
16.2708,-2.0704
16.6323,-2.0484
17.0311,-2.0923
17.3212,-2.1363
17.5630,-2.2022
17.8091,-2.4659
18.0875,-2.4439
18.4102,-2.5977
18.7263,-2.8174
19.0951,-2.9273
19.4212,-3.2349
19.6682,-3.4327
19.9334,-3.5865
20.2047,-3.8062
20.4674,-3.8282
20.6811,-4.0479
20.8716,-4.1578
21.0641,-4.3335
21.2674,-4.5313
21.4492,-4.6851
21.6091,-4.7730
21.7597,-4.8829
21.8920,-5.0586
22.0147,-5.1465
22.1218,-5.2344
22.2132,-5.4322
22.3412,-5.6299
22.4872,-5.6739
22.6172,-5.8497
22.7250,-5.8936
22.8146,-6.0035
22.9070,-6.1573
23.0053,-6.3111
23.1037,-6.2891
23.2045,-6.3770
23.2892,-6.5308
23.3516,-6.5967
23.4163,-6.7066
23.4850,-6.8165
23.5743,-6.8824
23.6537,-6.9263
23.7073,-7.0582
23.7813,-7.1900
23.8415,-7.2120
23.8947,-7.2999
23.9465,-7.3438
23.9657,-7.3438
23.9873,-7.4317
24.0390,-7.5415
24.0501,-14.0674
20.8681,-14.2212
10.2625,-14.1333
2.5893,-14.2212
0.6819,-14.1553
0.5656,-14.0894
0.3615,-13.7818
0.1264,-13.7598
0.0383,-13.6939
0.0175,-13.7159
0.0138,-13.6939
0.0138,-13.5181
0.0115,-12.7710
0.0091,-12.0020
0.0153,-11.3428
0.0149,-10.2222
0.0128,-9.1675
0.0154,-8.3326
0.0157,-7.5635
0.0139,-7.0142
0.0151,-6.7066
0.0152,-6.5308
0.0138,-5.8497
0.0119,-4.7510
0.0106,-3.4986
0.0137,-1.8506
0.0133,-0.6421
0.0177,-0.4664
0.0228,-0.4883
0.0169,-0.4664
0.0136,-0.4883
0.0137,-0.5103
0.0146,-0.4883
0.0156,-0.4444
0.0156,-0.4664
0.0140,-0.4224
0.0142,-0.4664
0.0142,-0.4224
0.0144,-0.4444
0.0129,-0.4444
0.0145,-0.4004
0.0145,-0.4664
0.0142,-0.4444
0.0153,-0.5103
0.0160,-0.4444
0.0151,-0.4004
0.0142,-0.4224
