force,angle
0.0090,-0.0793
-0.0671,-0.0134
0.0440,0.0525
-0.0495,0.0965
-0.0437,-0.0134
0.0382,-0.0573
-0.0378,0.0305
-0.0086,-0.0134
-0.0027,-0.0354
-0.0554,0.0086
0.0382,0.0305
-0.0437,0.0305
0.0090,0.0305
0.0323,-0.0793
-0.0203,0.0305
0.0090,0.0525
0.0382,0.0086
-0.0612,0.0525
0.0148,0.0305
-0.0378,0.0305
-0.0203,-0.0134
-0.0027,0.1404
0.0031,0.0305
-0.0320,-0.0134
0.0206,0.0305
-0.0495,0.0525
-0.0027,0.0745
-0.0203,0.0745
-0.0378,0.0086
0.0557,-0.0134
-0.0320,0.0305
-0.0144,0.0745
0.0265,-0.0134
-0.0729,0.0525
-0.0261,-0.0793
-0.0612,0.0965
-0.0203,0.0086
0.0206,-0.0134
0.0206,-0.0134
-0.0027,0.0086
-0.0027,-0.0134
-0.0495,0.0086
0.0090,0.0086
0.0031,-0.0134
-0.0261,-0.0134
0.0323,0.0965
-0.0378,-0.0134
0.0148,0.0086
0.0206,0.0525
-0.0612,-0.0134
0.0206,0.0745
0.0031,0.0525
-0.0378,0.0525
-0.0027,0.0745
-0.0203,-0.0573
-0.0671,0.0305
0.0031,0.0745
-0.0203,0.0086
0.0031,0.0745
-0.0144,0.0305
-0.0378,0.0965
0.0031,0.0305
0.0031,-0.0793
-0.0086,0.0086
-0.0027,0.0965
-0.0554,-0.0573
0.0148,0.0745
-0.0144,0.0305
-0.0378,-0.0354
0.0031,0.0086
-0.0027,-0.0134
-0.0027,-0.0354
-0.0027,-0.0134
-0.0729,0.1404
-0.0144,0.0525
-0.0027,-0.1013
-0.0320,0.0086
-0.0144,-0.0354
-0.0437,0.0086
-0.0554,-0.0793
0.0382,0.0525
-0.0378,-0.0573
-0.0144,-0.0793
-0.0203,0.0745
-0.0086,-0.0134
0.0148,-0.0134
-0.0027,0.0745
-0.0671,0.0525
0.0557,-0.1013
-0.0261,-0.0134
-0.0261,-0.0354
-0.0027,0.0745
-0.0378,0.0086
-0.0144,0.0745
0.0148,0.0305
-0.0203,-0.0793
-0.0086,-0.0134
0.0090,-0.0793
-0.0144,0.0305
0.0031,0.0086
-0.0437,-0.0134
0.0382,0.0086
0.0265,0.0305
-0.0437,-0.0354
-0.0027,-0.0573
-0.0086,0.0525
-0.0203,0.0086
0.0206,0.0305
-0.0027,0.0525
-0.0027,-0.0354
-0.4647,0.0305
-0.0203,0.0086
0.0265,0.0086
-0.0027,-0.0134
-0.0086,-0.0134
0.0148,0.0745
-0.0144,-0.0354
0.0148,0.0525
0.0206,-0.0354
-0.0203,0.0745
0.0382,0.1184
-0.0203,0.0965
-0.0437,0.0305
0.0265,0.0745
-0.0320,0.1184
-0.0378,0.0086
-0.0086,0.0305
-0.0320,-0.0354
-0.0261,0.0086
-0.0320,0.0305
-0.0320,-0.0573
0.0206,-0.0573
-0.0495,-0.1233
-0.0144,0.0305
-0.0027,-0.0573
-0.0203,0.0525
0.0265,-0.0793
0.0323,0.0086
-0.0261,0.0305
0.0148,-0.0354
0.0031,-0.0134
-0.0203,0.0525
0.0090,-0.0134
-0.0203,0.0525
-0.0203,-0.0354
-0.0027,0.0086
-0.0437,-0.0793
0.0265,0.0086
-0.0378,0.0086
-0.0612,-0.0573
0.0382,0.1184
-0.0378,0.0745
0.0031,-0.0354
-0.0437,-0.0354
-0.0671,-0.1013
0.0265,0.0745
0.0148,0.0965
-0.0437,0.0305
0.0265,0.1624
-0.0495,0.1404
-0.0027,0.0525
-0.0027,-0.0573
-0.0144,-0.0134
-0.0086,0.0965
-0.0027,-0.0354
-0.0144,0.0305
0.0265,-0.1013
-0.0144,0.0525
-0.0027,0.0305
-0.0437,0.0525
-0.0261,0.0086
0.0206,0.0305
-0.0320,0.0086
-0.0320,-0.0573
0.0499,0.0525
-0.0554,-0.0134
-0.0086,0.0525
0.0148,-0.0573
-0.0086,0.0745
0.0382,-0.0354
0.0090,0.0745
-0.0144,0.0086
0.0206,-0.0354
-0.0495,0.0086
-0.0144,0.0745
0.0031,0.0965
-0.0437,-0.0134
-0.0203,0.0965
0.0031,-0.0134
-0.0086,-0.1013
0.0148,-0.0793
-0.0437,-0.0354
0.0206,-0.0134
0.0148,0.0086
-0.0261,0.0086
-0.0261,-0.0134
-0.0320,0.0965
-0.0027,0.0525
0.0031,-0.0793
-0.0554,-0.0573
-0.0027,0.1184
0.0031,-0.0354
-0.0729,0.0086
0.0090,0.0305
-0.0144,0.0305
-0.0203,-0.0573
0.0323,0.0305
-0.0086,0.0086
-0.0203,0.0305
-0.0086,-0.0354
-0.0378,0.0305
0.0206,-0.0134
-0.0261,0.0086
-0.0144,0.0305
-0.0086,-0.0134
-0.0437,0.0086
0.0090,0.0086
0.0265,0.0745
-0.0086,-0.0134
-0.0086,0.0745
-0.0086,-0.0573
-0.0086,0.0086
0.0148,0.0086
-0.0320,-0.0354
-0.0261,-0.0793
0.0265,0.0305
-0.0320,0.0305
-0.0144,0.0305
-0.0320,0.0965
-0.0729,0.0305
0.0206,0.0086
0.0440,0.0525
-0.0261,0.0525
-0.0027,0.0745
-0.0554,0.0305
0.0031,-0.0793
-0.0027,0.0525
-0.0437,0.0525
0.0265,0.0525
-0.0203,0.0305
-0.0203,0.1184
0.0031,0.0305
-0.0378,-0.1233
-0.0495,-0.0573
0.0440,-0.0573
-0.0378,-0.0134
-0.0144,0.0525
0.0031,0.1184
-0.0495,0.0305
0.0031,-0.0134
0.0090,-0.0573
-0.0203,0.0745
0.0323,0.0086
-0.0437,-0.0134
-0.0144,-0.0793
-0.0144,0.0305
-0.0261,0.0305
-0.4647,0.0305
-0.0320,0.0086
-0.0203,0.0086
0.0090,-0.1013
-0.0495,0.0525
-0.0203,0.0305
0.0206,-0.0354
-0.0437,0.0525
0.0148,0.0525
-0.0612,0.0525
0.0031,-0.0793
0.0440,-0.1013
-0.0378,0.0745
0.0031,0.0745
-0.0320,0.0965
-0.0554,-0.0354
0.0265,0.0525
-0.0144,0.0086
-0.0144,-0.0573
0.0031,0.0525
-0.0378,0.0305
0.0323,-0.0793
0.0090,0.0086
-0.0612,0.0745
-0.0144,0.0086
0.0265,0.0305
-0.0261,0.0305
0.0148,-0.0573
-0.0495,0.0305
-0.0027,-0.1013
-0.0203,0.0305
-0.0495,-0.0134
0.0206,-0.0354
-0.0144,-0.0573
0.0090,0.0086
0.0148,0.0525
-0.0378,0.0305
-0.0495,0.0965
0.0090,-0.1013
-0.0320,0.0305
-0.0203,0.0525
-0.0320,0.0086
-0.0144,0.0745
0.0616,-0.0354
-0.0203,-0.0134
-0.0378,0.0305
0.0265,0.0086
-0.0378,-0.0354
0.0031,0.0086
-0.0144,0.0086
0.0090,0.0305
-0.0027,-0.0793
-0.0203,0.0525
-0.0086,-0.0134
0.0616,0.0086
-0.0027,0.0086
0.0090,-0.1452
0.0148,0.0525
-0.0027,0.0305
-0.0144,0.0525
-0.0144,-0.0134
0.0031,0.0086
0.0148,0.0086
-0.0437,0.0305
0.0090,-0.0134
0.0148,-0.0354
-0.0378,0.0965
0.0265,-0.0354
0.0148,-0.0354
-0.0203,-0.0134
0.0265,0.0086
-0.0203,-0.0573
0.0265,0.0305
-0.0086,0.0086
0.0148,0.0305
0.0499,0.0525
-0.0320,-0.0354
-0.0027,-0.0793
-0.0144,-0.0793
-0.0378,0.0305
-0.0027,0.0086
-0.0378,-0.0134
-0.0320,0.0525
0.0382,0.0086
0.0031,0.0305
-0.0261,0.0305
0.0382,-0.0573
-0.0495,0.0525
-0.0086,-0.0354
-0.0086,-0.0354
-0.0437,0.0525
0.0382,0.0305
-0.0203,-0.0573
0.0323,0.0086
-0.4647,-0.0793
-0.0378,0.0086
0.0557,0.0305
0.0148,-0.0573
0.0206,0.0745
0.0557,0.0305
-0.0320,0.0086
0.0206,-0.0354
0.0265,-0.0354
0.0148,-0.0573
0.0440,0.0086
-0.0027,-0.0354
-0.0144,-0.0134
0.0440,-0.0354
-0.0203,0.0525
0.0382,-0.0134
0.0557,-0.0793
-0.0086,-0.0134
0.0557,0.0086
0.0031,0.0305
-0.0086,0.0086
0.0616,-0.0793
-0.0027,-0.0134
0.0499,-0.1013
-0.0027,0.0086
0.0031,0.0305
0.0206,-0.0354
-0.0027,-0.0134
0.0031,-0.0354
0.0265,0.0305
0.0031,-0.0134
0.0440,0.0745
-0.0261,0.0745
-0.0027,-0.0134
0.0148,0.0086
0.0031,0.0745
0.0440,0.0305
-0.0086,0.0305
0.0557,-0.0354
0.0090,0.0305
-0.0027,-0.0134
0.0148,0.0745
-0.0027,-0.0354
-0.0203,0.0086
0.0557,-0.0793
0.0090,-0.0354
0.0382,-0.0573
0.0148,-0.1233
-0.0554,-0.1013
0.0323,-0.0354
-0.0203,0.0086
-0.0086,-0.0134
0.0733,0.0745
-0.0144,0.0086
0.0206,0.0305
0.0557,-0.1233
-0.0378,0.0305
0.0557,0.0086
0.0733,-0.0354
0.0090,-0.0354
0.0323,0.0086
0.0323,-0.0354
0.0206,-0.0354
0.0323,-0.0354
0.0031,0.0086
0.0850,-0.0573
0.0148,-0.0573
0.0382,-0.1013
0.1084,-0.0793
-0.0203,-0.0573
0.0733,0.0305
0.0148,0.0745
0.0148,0.0745
0.0382,-0.0354
-0.0086,-0.0134
0.0616,-0.0354
0.0440,-0.0354
0.0616,-0.0793
0.0499,-0.0134
0.0148,-0.0134
0.0323,0.0745
0.0323,-0.0793
0.0148,-0.0134
0.0616,-0.0134
0.0031,0.0525
0.0557,-0.0354
0.0499,0.0086
-0.0144,-0.0354
0.0557,-0.0134
0.0031,0.1404
0.0323,-0.0354
0.0382,-0.0134
-0.0027,-0.0573
0.0265,0.0745
-0.0027,-0.0354
-0.0027,-0.1672
0.0557,-0.0793
-0.0027,0.0305
0.0382,-0.0354
0.0382,-0.1233
-0.0320,0.0086
0.0031,0.0525
-0.0144,0.0745
-0.0203,-0.0354
-0.0086,-0.0134
-0.1021,-0.0134
-0.1548,0.0305
-0.1138,0.0086
-0.1723,0.0086
-0.1548,0.0745
-0.1606,0.0745
-0.2074,0.0965
-0.2542,0.0745
-0.2015,0.0965
-0.3360,0.1184
-0.3594,0.0965
-0.4004,0.0965
-0.4004,0.1624
-0.4354,0.2283
-0.4764,0.1844
-0.4822,0.2063
-0.4705,0.1624
-0.5407,0.3162
-0.5465,0.2283
-0.6635,0.2722
-0.7103,0.3162
-0.7044,0.4041
-0.7220,0.3162
-0.7746,0.2503
-0.7453,0.3601
-0.7395,0.3821
-0.8214,0.3162
-0.9149,0.4261
-0.9558,0.4041
-0.9792,0.3821
-0.9909,0.4480
-0.9675,0.4920
-0.9441,0.4261
-1.0319,0.5139
-1.1137,0.5139
-1.1722,0.6238
-1.2424,0.5579
-1.3359,0.6458
-1.3359,0.6018
-1.3827,0.6238
-1.3944,0.6458
-1.3710,0.6678
-1.3359,0.7117
-1.3768,0.6897
-1.3476,0.6678
-1.3418,0.6238
-1.4295,0.7117
-1.5055,0.6897
-1.5756,0.8216
-1.6458,0.8875
-1.6634,0.8655
-1.6575,0.7337
-1.6458,0.8435
-1.6400,0.8435
-1.7452,0.8216
-1.8095,0.9314
-1.8797,0.9314
-1.8680,1.1072
-1.9557,0.9973
-1.9849,0.9754
-1.9849,0.9754
-2.0142,1.0852
-2.0376,1.1072
-2.0610,1.1512
-2.0493,1.1731
-2.1077,1.0852
-2.1019,1.1731
-2.1721,1.2171
-2.2305,1.2830
-2.2481,1.2171
-2.2422,1.1951
-2.2890,1.3050
-2.2364,1.2830
-2.3241,1.2830
-2.3475,1.3489
-2.3826,1.3269
-2.4352,1.3709
-2.4703,1.3050
-2.5580,1.4148
-2.5755,1.4368
-2.6106,1.4368
-2.5989,1.5467
-2.5931,1.5467
-2.5872,1.4368
-2.6574,1.4807
-2.6048,1.4588
-2.6983,1.4148
-2.6691,1.4807
-2.7392,1.7005
-2.7392,1.6565
-2.7860,1.6785
-2.8620,1.7664
-2.8679,1.7224
-2.8503,1.6785
-2.8796,1.7224
-2.9556,1.8103
-2.9439,1.7664
-2.9965,1.8763
-3.1018,1.8323
-3.0433,1.8763
-3.0842,1.8763
-3.1076,1.9641
-3.1018,2.1399
-3.1076,2.0740
-3.1661,1.9641
-3.1895,2.0081
-3.1953,2.1399
-3.2479,2.1180
-3.2947,2.1399
-3.3006,2.3157
-3.3357,2.3377
-3.3532,2.3816
-3.3941,2.4256
-3.3649,2.3157
-3.3824,2.3596
-3.4526,2.3377
-3.4175,2.4036
-3.4584,2.4036
-3.4935,2.5135
-3.4701,2.5135
-3.5637,2.6013
-3.5403,2.4915
-3.5111,2.5574
-3.5345,2.5794
-3.5579,2.6673
-3.5929,2.5574
-3.6105,2.7991
-3.6456,2.7552
-3.6163,2.7771
-3.6514,2.7332
-3.6573,2.7991
-3.6865,2.8211
-3.7157,2.6892
-3.4760,2.9529
-3.7450,2.8870
-3.7040,2.9309
-3.7508,2.9969
-3.7216,2.9529
-3.7684,2.9090
-3.8093,3.0408
-3.8151,2.9309
-3.7976,3.0188
-3.8093,3.0847
-3.8444,2.9749
-3.8210,2.9749
-3.7567,3.0628
-3.8210,3.1287
-3.8268,2.9309
-3.8210,3.0847
-3.9262,3.0847
-3.9028,3.1067
-3.9262,3.1067
-3.9204,3.0408
-3.9613,3.2166
-3.9730,3.2605
-3.9905,3.1726
-3.9964,3.3264
-4.0139,3.3704
-4.0373,3.3924
-4.0490,3.3924
-4.0783,3.3484
-4.0490,3.3704
-4.0958,3.5681
-4.0958,3.4363
-4.0958,3.4583
-4.1718,3.5901
-4.1192,3.4583
-4.1484,3.3924
-4.1543,3.5681
-4.1660,3.6341
-4.1835,3.6341
-4.2069,3.6780
-4.1777,3.5901
-4.1952,3.5901
-4.2069,3.6121
-4.2244,3.6341
-4.2420,3.7220
-4.2712,3.7000
-4.2888,3.7659
-4.2946,3.7439
-4.3004,3.8318
-4.3355,3.7879
-4.2654,3.8098
-4.2829,3.8538
-4.3180,3.8538
-4.2771,3.7659
-4.3297,3.9197
-4.3589,3.8538
-4.3765,4.0735
-4.4291,3.9856
-4.4115,4.0296
-4.3882,3.9637
-4.4466,3.9417
-4.4349,4.0515
-4.3823,4.1834
-4.4291,4.0955
-4.4349,4.1175
-4.4583,4.2273
-4.5109,4.2054
-4.5109,4.2273
-4.5168,4.1614
-4.4642,4.2273
-4.4700,4.1175
-4.4759,4.2713
-4.5051,4.2273
-4.5402,4.3152
-4.6103,4.4251
-4.6571,4.4031
-4.5753,4.4471
-4.5987,4.4251
-0.4822,4.4910
-4.6337,4.5349
-4.5753,4.5130
-4.6103,4.4690
-4.6513,4.4690
-4.5987,4.4471
-4.6279,4.5789
-4.6454,4.4910
-4.6805,4.5789
-4.6981,4.5130
-4.6337,4.6228
-4.6805,4.6668
-4.7331,4.6668
-4.7565,4.7107
-4.7799,4.7327
-4.7390,4.7547
-4.7682,4.8206
-4.8384,4.8645
-4.8442,4.8206
-4.8325,4.9305
-4.8384,4.8865
-4.8325,4.8865
-4.9027,4.9964
-4.8092,4.9744
-4.8559,4.9305
-4.9086,4.9964
-4.8852,4.9305
-4.8442,5.0403
-4.8208,4.9305
-4.8501,5.0623
-4.8852,4.9964
-4.8735,5.0843
-4.8559,5.0403
-4.9144,4.9964
-4.9144,5.1282
-4.8618,5.1721
-4.9027,5.1941
-4.9963,5.1282
-4.9963,5.1502
-4.9846,5.4138
-5.0197,5.2820
-5.0313,5.2820
-5.0021,5.3919
-5.0255,5.3040
-5.0430,5.3479
-5.0080,5.3479
-4.9612,5.3919
-5.0430,5.3260
-5.0372,5.2820
-5.0372,5.3260
-5.0430,5.2600
-5.0138,5.3919
-5.0021,5.3479
-5.0255,5.3919
-5.0372,5.3699
-5.0430,5.4358
-5.0547,5.4578
-5.0781,5.5017
-5.0840,5.4578
-5.0664,5.5677
-5.0840,5.5457
-5.0723,5.4798
-5.1015,5.4798
-5.0781,5.5237
-5.1015,5.5017
-5.0606,5.4798
-5.1424,5.5017
-5.1308,5.4578
-5.0898,5.5677
-5.1015,5.5457
-5.1658,5.6116
-5.1600,5.6555
-5.1775,5.6995
-5.1424,5.6336
-5.1132,5.6995
-5.1541,5.7434
-5.1541,5.7654
-5.1541,5.6116
-5.1892,5.6775
-5.2068,5.8094
-5.2009,5.7654
-5.2302,5.8753
-5.2535,5.7874
-5.2477,5.7874
-5.2185,5.8753
-5.2126,5.8313
-5.2360,5.8972
-5.2185,5.9192
-5.3003,5.8753
-5.2652,5.9412
-5.2828,5.8753
-5.3062,5.8533
-5.2302,5.9851
-5.3354,5.8533
-5.3062,5.9412
-5.2652,5.9412
-5.2945,6.0071
-5.2945,6.0730
-5.3413,6.0730
-5.3880,6.0291
-5.3471,6.0950
-5.3763,6.0291
-5.3646,6.0950
-5.3880,6.1170
-5.3705,6.2268
-5.3588,6.0950
-5.3880,6.2268
-5.4114,6.1829
-5.4348,6.2488
-5.3880,6.1609
-5.4933,6.2049
-5.4757,6.2708
-5.4640,6.3587
-5.4991,6.3147
-5.5108,6.2928
-5.4816,6.3587
-5.4933,6.4026
-5.5225,6.4685
