des,motor,enc
0,2,902
0,2,902
0,2,902
0,2,903
0,2,902
0,2,902
0,2,902
0,2,902
0,2,902
0,2,902
0,2,902
0,2,902
0,2,902
0,2,902
0,2,902
0,2,902
0,2,902
0,2,902
0,2,903
0,2,902
0,2,902
0,2,902
0,2,902
1,2,902
2,64,902
3,125,901
4,193,901
5,258,902
6,320,901
7,381,901
8,449,900
9,513,900
10,576,900
11,637,899
12,705,899
13,769,899
14,832,899
15,893,898
16,961,897
17,1024,897
18,1088,897
19,1149,896
20,1217,895
21,1280,895
22,1344,895
23,1405,893
24,1473,893
25,1536,893
26,1600,892
27,1661,891
28,1729,890
29,1791,890
30,1856,890
31,1917,888
32,1985,887
33,2047,887
34,2112,887
35,2173,885
36,2241,884
37,2302,884
38,2368,883
39,2429,881
40,2497,880
41,2557,880
42,2623,880
43,2685,878
44,2752,876
45,2814,876
46,2877,875
47,2941,874
48,3008,872
49,3069,872
50,3133,871
51,3196,869
52,3264,867
53,3325,867
54,3389,866
55,3451,863
56,3520,861
57,3581,861
58,3645,860
59,3707,857
60,3776,855
61,3837,855
62,3901,854
63,3963,851
64,4032,848
65,4093,848
66,4157,847
67,4219,844
68,4285,840
69,4348,840
70,4413,838
71,4474,836
72,4541,832
73,4604,831
74,4668,830
75,4730,826
76,4799,823
77,4860,822
78,4924,822
79,4986,817
80,5055,814
81,5116,814
82,5180,813
83,5242,809
84,5309,805
85,5372,805
86,5436,803
87,5498,798
88,5565,795
89,5628,794
90,5692,792
91,5754,788
92,5821,785
93,5883,784
94,5948,783
95,6010,779
96,6077,776
97,6139,774
98,6204,773
99,6266,769
100,6331,765
101,6394,762
102,6458,761
103,6521,758
104,6587,752
105,6649,748
106,6713,747
107,6777,744
108,6839,744
109,6900,741
