t,x,y
0.000000E0,9.857835E-3,4.998423E-2
1.666813E-2,,
3.333626E-2,,
5.000439E-2,,
6.667251E-2,,
8.334064E-2,9.966814E-3,5.010453E-2
1.000088E-1,,
1.166769E-1,,
1.333450E-1,,
1.500132E-1,,
1.666813E-1,9.856714E-3,4.992108E-2
1.833494E-1,,
2.000175E-1,,
2.166857E-1,,
2.333538E-1,,
2.500219E-1,9.920988E-3,4.998311E-2
2.666901E-1,,
2.833582E-1,,
3.000263E-1,,
3.166944E-1,,
3.333626E-1,9.924351E-3,5.017257E-2
3.500307E-1,,
3.666988E-1,,
3.833670E-1,,
4.000351E-1,,
4.167032E-1,9.799166E-3,5.023796E-2
4.333713E-1,,
4.500395E-1,,
4.667076E-1,,
4.833757E-1,,
5.000439E-1,9.729287E-3,4.986017E-2
5.167120E-1,,
5.333801E-1,,
5.500482E-1,,
5.667164E-1,,
5.833845E-1,9.984141E-3,4.998199E-2
6.000526E-1,,
6.167208E-1,,
6.333889E-1,,
6.500570E-1,,
6.667251E-1,9.795803E-3,5.004850E-2
6.833933E-1,,
7.000614E-1,,
7.167295E-1,,
7.333977E-1,,
7.500658E-1,9.660529E-3,4.954552E-2
7.667339E-1,,
7.834020E-1,,
8.000702E-1,,
8.167383E-1,,
8.334064E-1,9.847745E-3,4.941585E-2
8.500746E-1,,
8.667427E-1,,
8.834108E-1,,
9.000789E-1,,
9.167471E-1,1.010372E-2,4.960083E-2
9.334152E-1,,
9.500833E-1,,
9.667515E-1,,
9.834196E-1,,
1.000088E0,9.917625E-3,4.979365E-2
1.016756E0,,
1.033424E0,,
1.050092E0,,
1.066760E0,,
1.083428E0,9.418007E-3,5.011838E-2
1.100096E0,,
1.116765E0,,
1.133433E0,,
1.150101E0,,
1.166769E0,9.734892E-3,5.017593E-2
1.183437E0,,
1.200105E0,,
1.216773E0,,
1.233442E0,,
1.250110E0,9.796924E-3,5.011166E-2
1.266778E0,,
1.283446E0,,
1.300114E0,,
1.316782E0,,
1.333450E0,9.855593E-3,4.985792E-2
1.350118E0,,
1.366787E0,,
1.383455E0,,
1.400123E0,,
1.416791E0,9.682355E-3,5.019098E-2
1.433459E0,,
1.450127E0,,
1.466795E0,,
1.483463E0,,
1.500132E0,9.966218E-3,4.923320E-2
1.516800E0,,
1.533468E0,,
1.550136E0,,
1.566804E0,,
1.583472E0,9.770154E-3,4.948740E-2
1.600140E0,,
1.616808E0,,
1.633477E0,,
1.650145E0,,
1.666813E0,9.767485E-3,4.933701E-2
1.683481E0,,
1.700149E0,,
1.716817E0,,
1.733485E0,,
1.750154E0,9.625998E-3,4.984097E-2
1.766822E0,,
1.783490E0,,
1.800158E0,,
1.816826E0,,
1.833494E0,9.576759E-3,4.989199E-2
1.850162E0,,
1.866830E0,,
1.883499E0,,
1.900167E0,,
1.916835E0,9.835410E-3,5.033869E-2
1.933503E0,,
1.950171E0,,
1.966839E0,,
1.983507E0,,
2.000175E0,9.634007E-3,5.029212E-2
2.016844E0,,
2.033512E0,,
2.050180E0,,
2.066848E0,,
2.083516E0,9.579429E-3,5.004237E-2
2.100184E0,,
2.116852E0,,
2.133520E0,,
2.150189E0,,
2.166857E0,9.874860E-3,4.973626E-2
2.183525E0,,
2.200193E0,,
2.216861E0,,
2.233529E0,,
2.250197E0,9.727145E-3,4.988932E-2
2.266865E0,,
2.283534E0,,
2.300202E0,,
2.316870E0,,
2.333538E0,9.519512E-3,4.949185E-2
2.350206E0,,
2.366874E0,,
2.383542E0,,
2.400211E0,,
2.416879E0,9.515953E-3,4.929133E-2
2.433547E0,,
2.450215E0,,
2.466883E0,,
2.483551E0,,
2.500219E0,9.871301E-3,4.953575E-2
2.516887E0,,
2.533556E0,,
2.550224E0,,
2.566892E0,,
2.583560E0,9.571420E-3,4.959122E-2
2.600228E0,,
2.616896E0,,
2.633564E0,,
2.650232E0,,
2.666901E0,9.571420E-3,4.959122E-2
2.683569E0,,
2.700237E0,,
2.716905E0,,
2.733573E0,,
2.750241E0,9.778163E-3,4.993855E-2
2.766909E0,,
2.783577E0,,
2.800246E0,,
2.816914E0,,
2.833582E0,9.627778E-3,4.994122E-2
2.850250E0,,
2.866918E0,,
2.883586E0,,
2.900254E0,,
2.916923E0,9.821172E-3,4.953664E-2
2.933591E0,,
2.950259E0,,
2.966927E0,,
2.983595E0,,
3.000263E0,9.623328E-3,4.969058E-2
3.016931E0,,
3.033599E0,,
3.050268E0,,
3.066936E0,,
3.083604E0,9.924099E-3,4.968524E-2
3.100272E0,,
3.116940E0,,
3.133608E0,,
3.150276E0,,
3.166944E0,9.811384E-3,4.898523E-2
3.183613E0,,
3.200281E0,,
3.216949E0,,
3.233617E0,,
3.250285E0,9.659219E-3,4.888764E-2
3.266953E0,,
3.283621E0,,
3.300289E0,,
3.316958E0,,
3.333626E0,9.814054E-3,4.913561E-2
3.350294E0,,
3.366962E0,,
3.383630E0,,
3.400298E0,,
3.416966E0,9.663668E-3,4.913828E-2
3.433635E0,,
3.450303E0,,
3.466971E0,,
3.483639E0,,
3.500307E0,9.919649E-3,4.943460E-2
3.516975E0,,
3.533643E0,,
3.550311E0,,
3.566980E0,,
3.583648E0,9.719136E-3,4.943816E-2
3.600316E0,,
3.616984E0,,
3.633652E0,,
3.650320E0,,
3.666988E0,9.667228E-3,4.933879E-2
3.683656E0,,
3.700325E0,,
3.716993E0,,
3.733661E0,,
3.750329E0,9.912531E-3,4.903357E-2
3.766997E0,,
3.783665E0,,
3.800333E0,,
3.817001E0,,
3.833670E0,9.664558E-3,4.918841E-2
3.850338E0,,
3.867006E0,,
3.883674E0,,
3.900342E0,,
3.917010E0,1.005402E-2,4.852962E-2
3.933678E0,,
3.950346E0,,
3.967015E0,,
3.983683E0,,
4.000351E0,9.806935E-3,4.873458E-2
4.017019E0,,
4.033687E0,,
4.050355E0,,
4.067023E0,,
4.083692E0,9.803375E-3,4.853407E-2
4.100360E0,,
4.117028E0,,
4.133696E0,,
4.150364E0,,
4.167032E0,9.658329E-3,4.883751E-2
4.183700E0,,
4.200368E0,,
4.217037E0,,
4.233705E0,,
4.250373E0,9.706678E-3,4.873636E-2
4.267041E0,,
4.283709E0,,
4.300377E0,,
4.317045E0,,
4.333713E0,9.862402E-3,4.903446E-2
4.350382E0,,
4.367050E0,,
4.383718E0,,
4.400386E0,,
4.417054E0,9.812274E-3,4.903535E-2
4.433722E0,,
4.450390E0,,
4.467058E0,,
4.483727E0,,
4.500395E0,9.712907E-3,4.908726E-2
4.517063E0,,
4.533731E0,,
4.550399E0,,
4.567067E0,,
4.583735E0,9.608201E-3,4.883840E-2
4.600404E0,,
4.617072E0,,
4.633740E0,,
4.650408E0,,
4.667076E0,9.952871E-3,4.848127E-2
4.683744E0,,
4.700412E0,,
4.717080E0,,
4.733749E0,,
4.750417E0,9.546504E-3,4.818762E-2
4.767085E0,,
4.783753E0,,
4.800421E0,,
4.817089E0,,
