force,angle
-0.0012,-0.0419
-0.0002,-0.0199
-0.0006,0.0021
-0.0004,0.0021
0.0001,-0.0638
-0.0007,0.0021
-0.0009,-0.0199
-0.0005,-0.0199
-0.0012,-0.0199
-0.0011,0.0021
-0.0011,0.0241
-0.0016,0.0460
-0.0019,0.0241
-0.0020,0.0021
-0.0004,-0.0419
0.0001,0.0021
-0.0014,0.0021
-0.0015,0.0241
-0.0004,0.0021
-0.0004,0.0460
-0.0005,-0.0199
0.0006,0.0241
0.0005,0.0241
-0.0003,0.0241
-0.0016,0.0241
-0.0016,0.0021
-0.0026,-0.0199
-0.0009,-0.0419
-0.0005,-0.0199
-0.0014,0.0460
-0.0016,-0.0199
-0.0013,-0.0858
-0.0012,-0.0419
-0.0021,0.0460
-0.0015,-0.0199
0.0001,-0.0419
0.0004,0.0241
0.0001,0.0021
0.0003,0.0680
-0.0004,-0.0638
-0.0013,0.0460
-0.0027,-0.0419
-0.0016,0.0021
-0.0014,-0.0419
-0.0010,0.0021
-0.0014,-0.0199
-0.0005,0.0021
-0.0006,0.0680
-0.0013,0.0021
-0.0012,0.0460
-0.0004,-0.0638
-0.0007,-0.0199
-0.0014,-0.0199
-0.0025,0.0460
-0.0018,-0.0199
-0.0011,0.0021
-0.0007,0.0021
-0.0011,-0.0638
-0.0021,-0.0419
-0.0016,0.0241
-0.0017,0.0460
-0.0004,0.0241
0.0001,-0.0419
-0.0013,0.0021
-0.0009,0.0680
-0.0016,0.0680
-0.0005,0.0680
0.0004,0.0460
-0.0001,-0.0199
-0.0012,-0.0419
-0.0006,0.0021
-0.0013,0.0021
-0.0012,-0.0199
-0.0003,-0.0199
0.0001,0.0021
0.0005,0.0241
-0.0002,-0.0419
-0.0007,-0.0199
-0.0011,-0.0419
-0.0019,-0.0638
-0.0013,0.0460
-0.0012,0.0241
-0.0002,-0.0199
0.0012,0.0680
0.0003,0.2658
0.0024,0.4855
0.0400,0.6393
0.1196,0.9030
0.1858,1.1227
0.2575,1.3424
0.3315,1.5841
0.4085,1.8258
0.4852,2.0895
0.5615,2.2653
0.6354,2.4411
0.7102,2.7706
0.7845,3.0343
0.8600,3.2321
0.9370,3.3859
1.0113,3.6715
1.0886,3.9132
1.1705,4.2428
1.2548,4.4625
1.3424,4.7042
1.4349,5.0119
1.5297,5.2975
1.6265,5.6051
1.7243,5.9347
1.8226,6.2203
1.9184,6.4840
2.0101,6.7257
2.1034,7.0553
2.1918,7.2531
2.2767,7.5387
2.3582,7.8683
2.4400,8.0001
2.5210,8.3517
2.6029,8.5714
2.6856,8.8351
2.7699,9.1427
2.8562,9.3624
2.9466,9.7140
3.0430,10.0216
3.1413,10.3073
3.2387,10.6149
3.3366,10.8786
3.4355,11.2521
3.5304,11.4938
3.6220,11.8014
3.7101,11.9992
3.7955,12.2628
3.8759,12.5485
3.9562,12.7243
4.0392,13.0538
4.1217,13.2736
4.2002,13.4494
4.2736,13.5592
4.3294,13.6691
4.3688,13.8449
4.3991,13.9767
4.4401,14.3722
4.5161,14.6798
4.6174,15.0753
4.7293,15.4928
4.8419,15.8004
4.9560,16.1520
5.0675,16.5695
5.1705,16.8112
5.2700,17.1408
5.3662,17.3605
5.4603,17.6681
5.5519,18.0416
5.6434,18.3932
5.7323,18.6788
5.8257,19.0744
5.9284,19.3820
6.0347,19.9093
6.1433,20.2389
6.2525,20.5245
6.3601,20.8761
6.4612,21.1837
6.5576,21.4694
6.6537,21.7330
6.7465,22.1286
6.8355,22.3703
6.9218,22.6779
7.0026,23.0734
7.0821,23.3810
7.1651,23.6886
7.2553,24.0621
7.3472,24.3917
7.4443,24.8312
7.5462,25.0949
7.6446,25.4464
7.7388,25.7101
7.8320,25.7760
7.9052,25.8200
7.9193,25.8200
7.9127,25.8419
7.9097,25.8419
7.9138,25.9078
7.9219,25.8419
7.9241,25.8639
7.9127,25.8859
7.8878,25.8639
7.8767,25.9078
7.8718,25.8639
7.8665,25.7760
7.8630,25.8419
