force,angle
0.9402,-0.2412
0.9670,-0.1753
1.0176,-0.1313
1.0003,-0.1533
0.9458,-0.0874
0.8869,-0.1972
0.8435,-0.2192
0.8317,-0.2412
0.8683,-0.1972
0.9476,-0.1533
1.0259,-0.1533
1.0695,-0.1753
1.0703,-0.1313
1.0509,-0.1313
1.0463,-0.2192
1.0163,-0.1094
0.9968,-0.1313
1.0038,-0.1753
1.0466,-0.0874
0.9084,-0.0654
0.3257,-0.1094
0.0447,-0.1094
0.0274,-0.0654
0.0278,-0.1753
0.0255,-0.1094
0.0241,-0.1094
0.0241,-0.1313
0.0251,-0.1753
0.0257,-0.0654
0.0251,-0.1313
0.0266,-0.1313
0.0259,-0.1533
0.0269,-0.1533
0.0262,-0.1533
0.0483,-0.0654
0.1521,-0.1533
0.2267,-0.1313
0.2978,-0.1313
0.3845,-0.1753
0.4796,-0.1094
0.5916,-0.1533
0.6988,-0.2192
0.8055,-0.2192
0.9033,-0.2851
0.9784,-0.4389
0.9919,-0.3950
1.0708,-0.3950
1.3991,-0.4609
1.8181,-0.3730
2.2302,-0.3730
2.5744,-0.4389
2.8727,-0.4829
3.1619,-0.4829
3.4315,-0.5049
3.6886,-0.5268
4.0313,-0.6587
4.4238,-0.6806
4.7949,-0.7246
5.1853,-0.7246
5.5601,-0.8125
5.8480,-0.9883
6.0714,-0.9663
6.2415,-1.1640
6.4043,-1.1201
6.5741,-1.2080
6.7223,-1.4057
6.8540,-1.5596
6.9933,-1.8013
7.1239,-1.8232
7.2309,-1.9770
7.3105,-2.1528
7.3466,-2.3506
7.4126,-2.4604
7.4859,-2.5923
7.5334,-2.9658
7.6025,-2.9878
7.6795,-3.0537
7.6639,-3.0317
7.5710,-3.3393
7.6402,-3.8227
7.7591,-4.1523
7.8567,-4.3940
7.9270,-4.6577
7.9919,-4.8335
8.0641,-4.9873
8.1224,-5.0312
8.1598,-5.2510
8.1923,-5.5586
8.2580,-5.9541
8.3502,-6.2837
8.4607,-6.9429
8.5700,-7.2724
8.6765,-7.6899
8.7572,-7.6460
8.8116,-7.8437
8.8550,-7.9536
8.8910,-8.2392
8.9229,-8.3930
8.9689,-8.7226
9.0124,-8.6787
9.0489,-8.8764
9.0803,-9.1841
9.1206,-9.4477
9.1684,-9.5576
9.2114,-9.7993
9.2541,-9.9751
9.3028,-10.1289
9.3466,-10.2827
9.3806,-10.4145
9.4196,-10.6343
9.4608,-10.8320
9.5010,-11.0078
9.5376,-11.2055
9.5708,-11.2495
9.6018,-11.3594
9.6227,-11.5791
9.6555,-11.7109
9.6934,-11.6670
9.7207,-11.7768
9.7416,-11.8647
9.7590,-11.8867
9.7686,-11.9306
9.7840,-12.0185
9.8055,-12.1504
9.8235,-12.1064
9.8323,-12.2163
9.8416,-12.1943
9.8232,-12.1723
9.7562,-12.1064
9.6769,-11.8428
9.5988,-11.6889
9.5042,-11.4912
9.3932,-11.1616
9.2880,-10.8760
9.2094,-10.6343
9.1352,-10.0410
9.0577,-9.7334
8.9721,-9.5576
8.8927,-9.2939
8.8237,-8.8545
8.7491,-8.4809
8.6609,-8.1074
8.5696,-7.6460
8.4834,-7.0967
8.3917,-6.7231
8.2919,-6.2617
8.1840,-5.9321
8.0778,-5.4927
7.9833,-5.1631
7.8822,-4.7895
7.7884,-4.3501
7.7005,-4.0864
7.6071,-3.7568
7.5031,-3.2075
7.3833,-2.8779
7.2422,-2.6142
7.1208,-2.3066
6.9990,-2.0869
6.8569,-1.8013
6.6958,-1.6694
6.5108,-1.3838
6.3019,-1.2519
6.0844,-1.1201
5.8001,-1.0542
5.4066,-0.8784
4.8435,-0.7246
4.1305,-0.7246
3.3938,-0.6587
2.7864,-0.6587
2.2772,-0.6367
1.9347,-0.5488
1.8163,-0.6587
1.9533,-0.7246
2.4554,-0.7685
3.2650,-0.9883
4.0736,-1.0542
4.8148,-1.2739
5.5528,-1.4717
6.1938,-1.8232
6.6479,-1.9770
6.9378,-2.5923
7.1630,-3.0317
7.3476,-3.4931
7.4908,-4.1523
7.6535,-4.8774
7.8347,-5.5366
7.9944,-6.4595
8.1582,-6.9868
8.3342,-7.5581
8.4782,-7.9316
8.5896,-8.2392
