force,angle
0.0003,0.0062
0.0007,0.0062
0.0000,-0.0377
0.0006,0.0062
-0.0008,0.0062
0.0002,0.0722
0.0006,0.0502
0.0007,0.0282
-0.0004,-0.0597
0.0008,-0.0157
0.0037,-0.0157
0.0007,-0.0377
-0.0014,-0.0157
-0.0007,0.0722
-0.0002,-0.0597
-0.0001,0.0062
0.0008,-0.0157
-0.0000,0.0282
0.0009,0.0722
0.0012,0.0282
0.0010,-0.0377
0.0003,0.0282
-0.0004,-0.0377
0.0000,-0.0157
0.0006,-0.0157
0.0001,0.0941
-0.0011,-0.0597
-0.0005,0.0062
0.0000,0.0282
-0.0013,0.0062
-0.0001,-0.0157
0.0008,0.0722
0.0005,0.0941
0.0004,-0.0597
-0.0002,0.0282
0.0001,-0.0377
0.0009,0.0062
-0.0005,0.0282
-0.0011,-0.0157
0.0189,-0.0157
0.1122,0.0282
0.3009,-0.0157
0.7696,0.0062
1.2520,-0.0157
1.2846,0.0062
1.0624,-0.0157
0.6817,-0.0377
0.3253,-0.0377
0.1659,-0.0597
0.2206,0.0062
0.5705,0.0282
1.4490,-0.0377
2.8193,-0.1036
4.4327,-0.1256
5.4559,-0.2355
6.5125,-0.2574
7.6565,-0.4112
8.4466,-0.4552
9.0155,-0.7408
9.5426,-0.8287
9.9239,-1.0924
10.1291,-1.4220
10.3036,-1.5099
10.5034,-1.8614
10.6600,-2.1471
10.8460,-2.5206
11.0358,-2.7623
11.1915,-3.0699
11.3189,-3.4435
11.4407,-3.5753
11.5935,-3.7950
11.8220,-3.9488
12.1129,-4.1905
12.4825,-4.3224
12.8235,-4.4103
13.0122,-4.8058
13.1429,-4.9156
13.2200,-5.1793
13.3575,-5.1354
13.4369,-5.2892
13.4646,-5.3331
13.4818,-5.4430
13.4728,-5.4430
13.4444,-5.3990
13.2598,-5.3551
13.0267,-5.3331
12.8160,-5.1573
12.5119,-4.9156
12.0774,-4.4762
11.4873,-4.0367
10.6587,-3.3116
9.7763,-2.4547
8.9839,-1.9713
8.2620,-1.5099
7.6352,-0.9825
6.9403,-0.8067
6.1402,-0.6749
5.1440,-0.4772
3.7394,-0.4772
2.5536,-0.4112
2.0326,-0.5211
2.1346,-0.4772
2.3721,-0.4991
2.4686,-0.3893
2.4652,-0.5431
2.6839,-0.3893
3.2551,-0.4332
3.9736,-0.5211
4.7712,-0.5650
5.5460,-0.5431
6.3728,-0.8067
7.1668,-1.0924
7.8909,-1.1144
8.4211,-1.3780
8.7252,-1.5758
8.9885,-1.7296
9.1838,-1.9933
9.3446,-2.0372
9.4902,-2.1910
9.6088,-2.2130
9.7288,-2.3229
9.8311,-2.4767
9.9391,-2.7623
10.0646,-2.9161
10.2113,-3.0919
10.3648,-3.4215
10.4898,-3.5973
10.6480,-3.7071
10.7312,-3.6632
10.7580,-3.6852
10.8354,-3.8390
10.9781,-3.7731
11.1163,-3.8170
11.1705,-3.9928
11.2817,-4.0367
11.4571,-4.1466
11.6374,-4.2784
11.8302,-4.2565
11.9661,-4.3004
12.0496,-4.3663
12.1076,-4.4762
12.1946,-4.5860
12.3181,-4.7399
12.4534,-4.8937
12.5881,-4.9816
12.6840,-5.0475
12.7545,-5.1354
12.8236,-5.0694
12.8979,-5.2452
12.9378,-5.2452
12.9843,-5.3551
13.0658,-5.3331
13.0714,-5.3551
12.9457,-5.3331
12.7533,-5.1573
12.5494,-5.0694
12.2250,-4.8937
11.8192,-4.6520
11.3423,-4.5201
10.8768,-4.3663
10.5558,-4.1686
10.2570,-4.1686
9.9800,-3.6632
9.6459,-3.3995
9.2742,-3.1578
8.9877,-3.0699
8.7661,-2.7623
8.5586,-2.5426
8.3024,-2.4547
8.0251,-2.0812
7.7629,-1.9713
7.4392,-1.8614
7.1294,-1.7076
6.8210,-1.5758
6.4372,-1.3341
6.0063,-1.2242
5.6196,-1.1363
5.3267,-0.9606
4.9773,-0.8287
4.3816,-0.7628
3.5473,-0.6969
2.4520,-0.4772
1.3326,-0.5650
0.4404,-0.5211
0.0996,-0.5431
0.0644,-0.6090
0.0632,-0.6090
0.0635,-0.4991
0.0626,-0.5650
0.0631,-0.4991
0.0632,-0.5431
0.0570,-0.5431
0.0495,-0.5650
0.0476,-0.5870
0.0485,-0.5650
0.0476,-0.4552
0.0462,-0.4991
0.0442,-0.5431
0.0446,-0.5650
0.0463,-0.4552
0.0462,-0.5431
0.0459,-0.5870
0.0458,-0.5211
0.0447,-0.5211
0.0455,-0.4772
0.0472,-0.4772
0.0473,-0.5211
0.0458,-0.5431
0.0469,-0.5431
0.0482,-0.4552
0.0476,-0.4991
0.0471,-0.5211
0.0473,-0.5211
0.0462,-0.4552
0.0454,-0.5650
0.0459,-0.4991
0.0473,-0.5650
0.0475,-0.5211
0.0474,-0.5431
0.0476,-0.4772
0.0477,-0.4991
0.0470,-0.4991
0.0484,-0.4772
0.0477,-0.5870
0.0475,-0.4772
0.0478,-0.4991
0.0486,-0.5431
0.0486,-0.4332
0.0475,-0.5431
0.0479,-0.5650
0.0486,-0.5431
0.0483,-0.4772
0.0475,-0.5431
0.0479,-0.5211
0.0469,-0.4332
0.0467,-0.5431
0.0477,-0.5211
0.0481,-0.6090
0.0497,-0.5870
0.0492,-0.4552
0.0484,-0.5650
0.0491,-0.4772
0.0495,-0.5211
