force,angle
-0.0000,0.0075
0.0002,-0.0145
-0.0009,0.0294
-0.0000,0.0294
-0.0009,0.0075
-0.0013,0.0734
-0.0008,0.0294
-0.0002,0.0075
0.0001,-0.0145
0.0015,0.0514
-0.0005,-0.0145
-0.0014,-0.0145
-0.0005,0.0075
-0.0005,0.0075
-0.0010,-0.0145
0.0004,0.0294
0.0023,0.0514
0.0004,0.0075
0.0009,0.0075
0.0163,0.0075
0.0705,-0.0145
0.0982,0.0075
0.1606,-0.0145
0.2285,0.0294
0.2956,-0.1024
0.4073,0.0294
0.5580,0.0294
0.7238,-0.0585
0.8854,-0.1024
1.0523,-0.0585
1.2074,-0.0804
1.3444,-0.1244
1.4730,-0.1463
1.6029,-0.1683
1.7403,-0.1463
1.8740,-0.1463
2.0166,-0.2123
2.1341,-0.2562
2.2111,-0.3002
2.2647,-0.4540
2.2929,-0.3661
2.3156,-0.6078
2.3375,-0.7396
2.3624,-0.7616
2.3861,-0.9813
2.4023,-1.4208
2.4169,-1.7504
2.4384,-2.1239
2.4599,-2.3216
2.4706,-2.5633
2.4824,-2.9149
2.4951,-3.3763
2.5019,-3.7279
2.5126,-3.9916
2.5297,-4.4310
2.5442,-4.8924
2.5591,-5.1781
2.5749,-5.6175
2.5917,-6.2108
2.6110,-7.0677
2.6376,-7.8807
2.6692,-8.5619
2.7031,-9.2430
2.7357,-9.7484
2.7626,-10.1659
2.7863,-10.7372
2.8078,-11.1327
2.8273,-11.8358
2.8498,-12.4730
2.8766,-13.1981
2.9055,-13.7254
2.9359,-14.4505
2.9672,-15.1976
3.0000,-15.7909
3.0313,-16.4720
3.0633,-17.1752
3.0981,-17.8563
3.1335,-18.3837
3.1661,-18.5375
3.1917,-19.0428
3.2109,-19.6800
3.2348,-20.0316
3.2607,-20.3392
3.2841,-20.4930
3.3014,-20.9325
3.3161,-21.1302
3.3307,-21.3060
3.3447,-21.5257
3.3575,-21.7235
3.3710,-22.0970
3.3862,-22.2508
3.4007,-22.3168
3.4128,-22.7123
3.4244,-22.9320
3.4358,-22.9759
3.4441,-23.1957
3.4539,-23.4813
3.4670,-23.8109
3.4837,-23.9427
3.4999,-23.9427
3.5065,-23.9867
3.5098,-24.0306
3.5142,-24.1844
3.5216,-24.2284
3.5302,-24.3382
3.5376,-24.3163
3.5428,-24.5360
3.5499,-24.7118
3.5639,-24.8656
3.5784,-24.9315
3.5903,-24.9095
3.5975,-25.0194
3.6029,-25.2611
3.6123,-25.2831
3.6213,-25.3050
3.6297,-25.3929
3.6336,-25.3929
3.6274,-25.2831
3.6202,-25.3050
3.6092,-25.2831
3.5911,-25.2391
3.5641,-25.0633
3.5313,-25.0853
3.5042,-24.9974
3.4897,-24.5580
3.4721,-24.0526
3.4487,-23.5912
3.4229,-23.0858
3.3955,-22.4925
3.3660,-21.6796
3.3319,-21.1522
3.2964,-20.8666
3.2674,-20.4930
3.2465,-20.0975
3.2283,-19.7679
3.2085,-19.4164
3.1882,-18.9989
3.1675,-18.4276
3.1461,-17.9442
3.1229,-17.3949
3.0950,-16.6039
3.0645,-16.1424
3.0357,-15.8129
3.0106,-15.3295
2.9903,-14.6703
2.9680,-14.3627
2.9450,-14.0770
2.9239,-13.5497
2.9059,-13.2421
2.8884,-12.8026
2.8709,-12.5609
2.8543,-12.1434
2.8378,-11.6820
2.8179,-11.3085
2.7983,-10.8910
2.7806,-10.4955
2.7645,-9.9681
2.7436,-9.4188
2.7223,-9.1771
2.7013,-8.9574
2.6869,-8.6717
2.6737,-8.3202
2.6607,-8.2103
2.6484,-7.9466
2.6372,-7.6171
2.6252,-7.3094
2.6120,-7.0238
2.5974,-6.8041
2.5867,-6.5843
2.5747,-6.2767
2.5633,-6.0130
2.5529,-5.7933
2.5398,-5.6175
2.5283,-5.2879
2.5151,-4.9803
2.4993,-4.8705
2.4860,-4.7826
2.4777,-4.4750
2.4702,-4.2992
2.4613,-4.1014
2.4507,-3.7279
2.4362,-3.4203
2.4201,-3.2225
