force,angle
-0.0320,0.1844
-0.0671,0.1844
-0.0846,0.1844
-0.0320,0.1184
-0.0554,0.2283
-0.0963,0.2722
-0.0612,0.1404
-0.0437,0.1624
-0.0788,0.1844
-0.0086,0.2063
-0.0846,0.2283
-0.0261,0.1184
-0.0495,0.2063
-0.0612,0.2063
-0.0437,0.1404
-0.0027,0.1404
-0.0729,0.2722
-0.0437,0.2283
-0.0378,0.2063
-0.0729,0.1844
-0.0144,0.1844
-0.0963,0.0965
-0.0554,0.1184
-0.0437,0.2503
-0.0846,0.2283
-0.0846,0.1184
-0.0378,0.2283
-0.0612,0.1184
-0.0729,0.1844
-0.0320,0.1404
-0.0963,0.1404
0.0031,0.2063
-0.0086,0.1624
-0.1080,0.2063
-0.0495,0.1624
-0.0612,0.2063
-0.0788,0.0525
-0.0437,0.1404
-0.0671,0.2503
-0.4647,0.0965
-0.0437,0.2503
-0.1138,0.2283
-0.0437,0.2063
-0.0144,0.2722
-0.0963,0.1404
-0.0554,0.2063
-0.0495,0.2063
-0.1138,0.2063
-0.0027,0.1184
-0.0788,0.2283
-0.1021,0.3162
-0.0144,0.2283
-0.0261,0.2283
-0.0554,0.2722
-0.0144,0.2942
-0.0963,0.0525
-0.0729,0.2283
-0.0437,0.1844
-0.1021,0.2503
-0.1021,0.1844
-0.0554,0.1404
-0.0905,0.1404
-0.0554,0.1844
-0.0437,0.2503
-0.0671,0.2283
-0.0320,0.1624
-0.0846,0.1404
-0.0905,0.2503
-0.0203,0.1404
-0.0788,0.2063
-0.0495,0.1404
-0.0144,0.2063
-0.1021,0.2283
-0.0437,0.2503
-0.0320,0.2283
-0.0963,0.3162
-0.0320,0.2503
-0.0729,0.1844
-0.0495,0.1184
-0.0495,0.2722
-0.0612,0.1184
-0.0378,0.1404
-0.0261,0.2283
-0.0963,0.1844
-0.0261,0.1184
-0.0437,0.1184
-0.0612,0.1404
-0.0261,0.1844
-0.0144,0.1624
-0.0963,0.2503
-0.0203,0.3162
-0.0788,0.2063
-0.0671,0.1844
0.0206,0.1184
-0.0729,0.2283
-0.0437,0.2283
-0.0320,0.2503
-0.0788,0.1844
-0.0729,0.2503
-0.0788,0.1844
-0.0846,0.2283
-0.0320,0.1404
-0.0437,0.2063
-0.0905,0.2063
-0.0378,0.2722
-0.0963,0.3162
-0.0729,0.1624
-0.0027,0.1404
-0.0554,0.2942
-0.0554,0.2063
-0.0261,0.2283
-0.0729,0.2283
-0.0554,0.1624
-0.0905,0.1404
-0.1021,0.2942
-0.0437,0.2283
-0.4647,0.2283
-0.0788,0.2283
