force,angle
0.0064,0.0775
0.0054,-0.0544
0.0069,-0.0544
0.0058,0.0116
0.0037,-0.1203
0.0019,0.0116
0.0055,0.0116
0.0101,0.0555
0.0149,0.0116
0.0122,0.0335
0.0130,0.0555
0.0099,-0.0324
0.0010,-0.0544
0.0119,-0.0324
0.0286,-0.0324
0.0296,0.0335
0.0182,-0.0544
0.0076,0.0116
-0.0088,0.0335
-0.0154,-0.0544
-0.0112,0.0116
-0.0006,-0.0544
0.0049,-0.0324
0.0069,-0.0983
0.0041,0.0335
-0.0019,0.0555
-0.0107,0.0116
-0.0451,0.0555
-0.1575,0.0994
-0.3614,0.3411
-0.6738,0.6048
-1.0605,0.7806
-1.5182,1.0003
-1.9892,1.2420
-2.4372,1.3519
-2.8243,1.6375
-3.2515,1.8792
-3.6923,2.0770
-4.0565,2.1649
-4.4605,2.3846
-4.8475,2.5384
-5.2813,2.7362
-5.7283,3.0218
-6.1379,3.0438
-6.4926,3.1976
-6.8229,3.4393
-7.1179,3.4393
-7.3660,3.5931
-7.6442,3.7908
-7.9450,3.9447
-8.2201,4.0765
-8.5137,4.2083
-8.7786,4.3402
-8.9961,4.5819
-9.2943,4.8016
-9.6161,4.9115
-9.8571,5.0433
-10.0479,5.1312
-10.2237,5.2191
-10.2649,5.1092
-10.1710,4.9774
-9.9364,4.8236
-9.5421,4.6258
-9.0972,4.5159
-8.7354,4.2742
-8.4377,4.1864
-8.1153,4.1424
-7.7828,3.8568
-7.3910,3.7469
-6.9862,3.5052
-6.5489,3.3953
-6.1347,3.2635
-5.7917,3.1317
-5.5149,3.0438
-5.2183,2.9559
-4.9020,2.8021
-4.6008,2.7581
-4.3591,2.6702
-4.2044,2.6043
-4.0088,2.4945
-3.8068,2.4725
-3.6074,2.4505
-3.4170,2.3407
-3.3228,2.2528
-3.1587,2.1209
-2.8754,1.9671
-2.6350,2.0111
-2.3849,1.8792
-2.1400,1.8792
-1.9959,1.8792
-1.8798,1.7913
-1.7041,1.6595
-1.5652,1.4398
-1.3981,1.4837
-1.2517,1.3299
-1.1656,1.0003
-1.0413,0.9344
-0.8847,0.9564
-0.7028,0.8905
-0.5941,0.8685
-0.5485,0.7586
-0.4413,0.6707
-0.3210,0.5169
-0.1144,0.4949
0.0619,0.4510
0.0862,0.5169
0.0794,0.3631
0.0763,0.3851
0.0747,0.4510
0.0730,0.2752
0.0704,0.4730
0.0691,0.4290
0.0700,0.3631
0.0708,0.3192
0.0680,0.3631
0.0628,0.2972
0.0624,0.3851
0.0625,0.2972
0.0623,0.2533
0.0617,0.3411
0.0582,0.2972
0.0556,0.3631
0.0536,0.2752
0.0500,0.2752
0.0470,0.2752
0.0453,0.3192
0.0423,0.2093
0.0390,0.2972
0.0378,0.2533
0.0355,0.2533
0.0321,0.3192
0.0291,0.2972
0.0277,0.2752
0.0280,0.2752
0.0277,0.2972
0.0247,0.3851
-0.0092,0.3411
-0.1142,0.4290
-0.2913,0.6927
-0.6010,0.6927
-0.9213,0.9124
-1.1828,1.0443
-1.4936,1.1322
-1.7807,1.2420
-2.0426,1.5936
-2.2998,1.5716
-2.5279,1.6595
-2.7399,1.7474
-2.9384,1.8133
-3.1194,1.8792
-3.3593,2.0770
-3.5818,2.2088
-3.8090,2.2528
-4.1002,2.4505
-4.4065,2.5164
-4.6690,2.5384
-4.8398,2.6483
-4.9595,2.6263
-5.0832,2.7142
-5.1967,2.7801
-5.3713,2.7801
-5.5364,2.9339
-5.7170,3.0218
-5.8641,3.0218
-5.9292,3.0877
-6.0227,3.1317
-6.1299,3.1756
-6.2639,3.3294
-6.4568,3.3074
-6.6781,3.2855
-6.8139,3.3953
