force,angle
-0.0004,-0.0252
0.0006,-0.0032
-0.0002,0.0188
0.0013,-0.0252
0.0014,0.0188
0.0004,0.0627
0.0014,0.0407
0.0019,0.0407
0.0007,-0.0252
-0.0007,-0.0252
-0.0012,0.0407
0.0000,0.0407
0.0014,0.0627
0.0011,0.0407
0.0012,0.0407
0.0003,0.0407
-0.0000,0.0188
0.0010,0.0188
0.0017,-0.0032
0.0019,-0.0252
-0.0005,-0.0032
0.0013,-0.0032
0.0013,-0.0032
0.0007,0.0188
0.0009,-0.0472
0.0009,-0.0252
0.0016,-0.0032
0.0017,0.0407
0.0008,-0.0252
0.0011,-0.0032
0.0003,0.0627
0.0004,0.0188
0.0019,0.0407
0.0014,0.0407
0.0005,0.0188
0.0007,0.0407
0.0016,0.0188
0.0024,0.0627
0.0017,0.0188
0.0013,-0.0252
0.0005,0.0847
0.0004,0.0847
0.0003,0.0407
0.0012,0.0627
0.0013,0.0407
0.0015,0.0188
0.0014,0.0627
0.0016,0.0407
0.0010,0.0627
0.0010,0.0627
0.0013,0.0407
0.0012,0.0188
0.0019,0.0407
0.0010,0.0847
-0.0000,0.0627
0.0001,-0.0032
0.0004,0.0407
0.0009,-0.0252
0.0009,0.0847
0.0007,0.0407
0.0003,0.0407
0.0015,0.0407
0.0019,0.0188
0.0011,0.0627
0.0018,0.0407
0.0020,0.0407
0.0013,0.0188
0.0001,0.0188
0.0005,0.0188
0.0015,0.0847
0.0026,-0.0032
0.0018,0.0847
0.0014,0.1286
0.0009,0.0847
0.0004,-0.0032
0.0018,0.0627
0.0021,0.0847
0.0007,0.0188
-0.0006,0.0188
-0.0001,0.0407
0.0011,-0.0252
0.0020,0.0627
0.0012,0.0188
0.0003,0.0627
-0.0010,0.0407
0.0007,0.0188
0.0019,0.0627
0.0016,0.0188
0.0007,-0.0032
0.0017,0.0407
0.0019,0.0847
0.0008,-0.0472
0.0023,0.0407
0.0017,0.0407
0.0014,0.0407
0.0021,-0.0032
0.0024,0.0627
0.0019,-0.0032
0.0015,0.0188
0.0008,-0.0032
0.0011,0.0627
0.0020,0.0627
0.0022,-0.0032
0.0023,0.0407
0.0017,0.0407
0.0009,0.0188
0.0013,0.1286
0.0014,0.0847
0.0014,0.0188
0.0019,0.0627
0.0017,-0.0032
0.0023,0.0407
0.0012,0.0847
0.0019,0.3264
0.0048,1.0734
0.0206,1.3591
0.0567,1.9523
0.0919,2.2600
0.1284,2.6335
0.1638,3.1389
0.1980,3.5783
0.2382,4.0397
0.2812,4.5451
0.3233,4.9846
0.3644,5.3581
0.4053,5.8635
0.4413,6.2370
0.4727,6.8083
0.5098,7.2258
0.5502,7.6872
0.5907,8.0827
0.6300,8.6101
0.6694,9.1594
0.7122,9.5988
0.7561,10.0822
0.7980,10.5437
0.8406,11.0271
0.8835,11.5324
0.9257,12.0598
0.9683,12.5432
1.0121,13.0266
1.0548,13.5539
1.0922,14.0593
1.1298,14.5866
1.1727,14.9602
1.2129,15.5534
1.2508,15.9050
1.2896,16.3225
1.3290,16.9157
1.3672,17.3332
1.4050,17.8166
1.4447,18.3439
1.4862,18.7834
1.5268,19.2888
1.5663,19.7722
1.6062,20.2556
1.6464,20.7170
1.6855,21.1345
1.7232,21.6618
1.7617,22.0573
1.7971,22.5627
1.8323,23.0022
1.8677,23.4636
1.9044,23.9030
1.9393,24.4304
1.9767,24.8918
2.0155,25.3972
2.0524,25.8806
2.0893,26.2541
2.1233,26.7375
2.1603,27.2209
2.2017,27.6384
2.2531,28.1657
